,drug,condition,rating,duration,review_date,upvotes,review,username
0,Yasmin,Birth Control,9.0,Taken for 1 to 6 months,"March 24, 2022",0,"When I started I didn’t feel any side effects, I expected tender breasts, I had no weight gain, no mood swings, even three months in and my skin started to clear up.",Tash
1,Yasmin,Birth Control,9.0,Taken for 2 to 5 years,"March 7, 2022",0,"Took it for about 4 years, before I had the Diane for some years which is similar. Now I’m off it for also 2 years, using a copper IUD. Looking back, the Diane had me more depressed. The Yasmin gave me amazing spotless and vital skin, bigger boobs, nice smooth shiny hair, less peach fuzz on the rest of my body, stable mood, easy periods. The whole last year with the copper IUD has been horrible. In the 2 years without the pill my boobs shrunk incredibly, my sex drive is less, hair is very hard to manage and has a different structure, my skin has a lot of acne and wrinkles and the peach fuzz got a lot worse again. Really considering getting back on the Yasmin.",Monique
2,Yasmin,Birth Control,2.0,Taken for 1 to 2 years,"March 2, 2022",0,"I have been on this pill for 2 years. The first year and a half was good. Lost weight, cleared acne etc. However, now I am severely tired all the time, my periods are still 7 days long, I have extreme anxiety which is causing relationship breakdowns and constantly crying. I don recommend this pill.",IB AUSTRALIA
3,Yasmin,Birth Control,1.0,Taken for 5 to 10 years,"February 28, 2022",0,"I used this horrible pill for 10 years. It caused me to have horrible mood swings, rage outbursts, changed personality and suicidal thoughts. Last year after having harmed myself I thought I'd quit the pill and turns out the self harm and horrible angry jealous anxious thoughts went away. I'm still a nervous wreck though. I felt like I had no control over my emotions, I was scared I would harm myself, my pets or loved ones. Stay away from this pill, please. Especially if you already suffer from anxiety and depression. Don't wait for the symptoms to go away.",soljavu
4,Yasmin,Birth Control,10.0,Taken for 10 years or more,"February 23, 2022",1,I have been on Yasmin for over 15 years. I have never had any issues other than switching from the Name Brand to the generic. This pill never gave breakouts or adverse reactions. My only issue is that my insurance company refused to cover the cost since it is the Name Brand. I have tried the generic and it is not the same. It produced greater PMS symptoms and also gave me hormonal acne. I am now 33 and considering going off the pill altogether in fear of starting something new. Has anyone else stopped Yasmin? If so could you please share your experience? I am a bit nervous - (not about having a baby) but any side effects from stopping the hormone??,Anonymous
5,Yasmin,Birth Control,10.0,Taken for 6 months to 1 year,"February 21, 2022",0,It didn’t cause depression for me. I lost weight and my boobs got bigger. It’s easy to use,-/:;
6,Yasmin,Birth Control,10.0,Taken for 10 years or more,"January 31, 2022",2,"I took Yasmin for almost 20 years, from age 18 years old to 37 years old. I never experienced ANY unwanted side effects. My period came every month like clockwork, I could literally time it to the clock. My periods were 5 days (only Monday thru Friday) and light. I never once experienced any spotting or breakthrough bleeding. I scheduled my life around its perfect predictability. I can count on one hand the number of times I missed a dose. I’ve recently had to stop taking Yasmin for my age and other risks for VTE. I miss it dearly and am at a loss about what to transition to because all other non-estrogen methods do not regulate cycles and are not predictable like Yasmin.",Perfect for me
7,Yasmin,Birth Control,2.0,Taken for 1 to 6 months,"January 1, 2022",0,"I had taken this pill for PCOS for 6 months and that was probably the worst time of my life when I suffered from severe anxiety and depression. While I lost 6 kgs weight and had clear skin, on the other hand I lost my sleep and sanity! The most difficult phase was my mental condition after I stopped taking the pill that I had to seek medical help to get out of that condition! It is strongly advised not to take this pill especially if you are already suffering from any kind of mental health issue.",Annie
8,Yasmin,Birth Control,1.0,Taken for 6 months to 1 year,"December 31, 2021",0,"I wish I would have read these reviews before I had taken this birth control. I feel like doctors don't warn us enough about the side effects so many women report about this. Then again for profit medicine is just about the bottom line not the welfare of the patients. I lost an alarming amount of hair, I've been religious about rogain to help it come back, I changed my doctor to someone who is helping me get my hormones back to normal, and I recovering from clinical depression that it caused. My hair has just started to come back 8-9 months later. This medication really impacted my life and wellbeing. My story is just one of millions I've found out and not even the worst which scares me and should scare others. I've never felt like a medication should be banned so strongly. Please do not take this medication if you value your physical and emotional health.",Beware
9,Yasmin,Birth Control,1.0,Taken for less than 1 month,"December 22, 2021",1,"Should be banned. Mood swings, depression, nightmares, weight gain, aggressiveness to name just a few. Almost ruined my relationship.",Ana
10,Yasmin,Birth Control,2.0,Taken for 1 to 2 years,"December 13, 2021",0,"Please don't take Yasmin. It cleared my skin up don't get me wrong. But the mental health effects aren't worth the risk. My already poor relationship with food developed into bulimia and I also became really depressed on this pill. I questioned my relationship with my boyfriend, I had no energy to do anything, for days at a time I couldn't bare to leave the house. Please don't do this to yourself.",Izzy
11,Yasmin,Birth Control,7.0,Taken for 2 to 5 years,"November 21, 2021",0,"Been on this pill for 3 years now. Really really worked. Balanced my appetite, helped me maintain my weight, got a lot of compliments on my skin, and no effects on my mental health compared to Levlen which really messed my mental health and weight up. I went on this pill because all of my close friends suggested that it was good. However, 3 years latter my eyesight started getting worse and I went to the optometrist recently and she told me that combination pills causes your sclera to thin overtime! What! I have to wear glasses now and I used to have 20/20 vision! I constantly have dry eyes and can't fight any allergens or foreign particles with my eyes, have constant itchy eyes and blisters on the skin around my eyes due to constant itching! If I knew this would be a side effect I would not have taken it. There’s nothing anywhere that says it.",Yoon
12,Yasmin,Birth Control,7.0,Taken for 5 to 10 years,"November 10, 2021",0,"Been on it for approximately 10 years. I had no crazy side effects. Maybe a bit of weight gain, libido loss. It took away the minimal acne I did have. One thing I have been noticing maybe the last couple of years is terrible migraines on the placebo week. Like constant, will not go away with 6 (spread throughout the day) advil/tylenol/excedrin. Because of this I am considering getting off of it and giving my body a break.  But all in all I wouldn't say this birth control was terrible.",mimi
13,Yasmin,Birth Control,3.0,Taken for 6 months to 1 year,"November 6, 2021",0,"I have had to go on Yasmin twice in the past few years In 2020 in around January I believe is when I first started taking the pill. the reason I had to go on it was because I had my period for 17 days and when I went to the doctor this was the only option given to me. I was definitely a lot more irritable on the pill and smaller things would make me cry. It worked for what I went on it for though, I had a regular period cycle. Due to things shutting down during covid in around May I wasn't able to get my prescription refilled which I was secretly thankful for because the side effects bothered me a lot. Again in 2021 in April I had my period for a month straight the reason I waited so long to go to a doctor this time was bc I knew they were going to put me on birth control which they did again it worked for what It was prescribed for I am still on it now in November 2021. I feel like. I've gotten used to being depressed and often thinking of suicide.",Susie
14,Yasmin,Birth Control,1.0,Taken for less than 1 month,"November 5, 2021",1,"This was the most horrendous experience of my life. Yasmin totally destroyed my brain chemistry/hormone levels, leading to a multitude of crippling changes to my personality, confidence and ability to live. I am shocked this is allowed to be given out to otherwise healthy, happy young women. It could be repurposed as an instrument of torture. My advice is DO NOT TAKE IT.",Lea
15,Yasmin,Birth Control,3.0,Taken for less than 1 month,"November 5, 2021",1,"I started taking this pill on the 27th October, it’s now the 5th November and I have never felt so depressed and anxious In my whole life. As someone that struggles with anxiety anyway I'm aware of the everyday struggles but with this it’s totally severe. I feel as if I can’t do anything without obsessive thoughts that something is going to happen and having this impending doom feeling though there is absolutely nothing wrong within my life? As a whole other than very sore boobs I have had no other side affects but after only 1 week taking this pill I am stopping before it gets any worse.  ⚠️DO NOT RECOMMEND⚠️",Chloemae28
