,drug,condition,rating,duration,review_date,upvotes,review,username
0,Risperidone,Schizoaffective Disorder,9,Taken for 1 to 6 months,"July 29, 2021",2,"Risperdal (risperidone):This is the only anti psychotic that did not cause me to gain weight. It's also the only antipsychotic I didn't 'feel' (tired, apathetic, no emotions) when I took it. When I was put on doses too high for me I felt it, but not as strongly as other antipsychotics I've been on in the past. I keep my normal eating habits on this and a normal weight and really go about my day not thinking of it. I feel like my normal self on this and I'm not going to try other antipsychotics because this works for me. Weight gain and apathy were my biggest issues with other antipsychotics in the past and risperdal is the only one I've tried that does not cause these side affects in me.",Jennana
1,Risperidone,Schizoaffective Disorder,1,Taken for 2 to 5 years,"May 26, 2021",2,"First of all I would say  we are real people facing the side effects of this awful drug they call Risperdone. There are some people with positive comments and as an earlier stated review mentioned when  it works it works brilliantly yes in a rare occurrence it works.  But most of the time it has lifelong side effects, this is coming from as someone who has taken  the drug for a few years so I can weigh in literally on this topic.  I'm a 100 pounds heavier and not to mention  hair loss and loss of a grip on reality. It may stop the so called patients ""hallucinations"" at what cost? In my case they couldn't pin a full diagnosis on me so gave me a cauldron brew of meds on top of this. It might help a little but at the cost of the body your price is too high. Side note what are they worried about me thinking or experiencing....",Jodeep
2,Risperidone,Schizoaffective Disorder,8,Taken for 2 to 5 years,"April 2, 2021",1,Had my first psychotic episode about 2 years ago and had to go to a mental hospital. They gave me a resperidone injection and I passed out for the night. I was in a bit of a brain fog for  a week or so but eventually recovered while taking resperidone daily. My positive symptoms all subsided besides a faint voice every once in awhile like someone's talking on the radio when it's really quiet. Makes me really tired during the day and working is hard though. Glad I found something to keep me out of psychosis. I take 4 MG daily with no negative side effects,Kklc
3,Risperidone,Schizoaffective Disorder,4,Taken for 1 to 6 months,"January 13, 2021",2,"Risperdal (risperidone):Prescribed 4mg daily after auditory hallucinations.  Works well for that, but has caused a notable increase in anxiety, complete loss of appetite and sex drive.  Looking to come off this and try a new med.",Desmondini
4,Risperidone,Schizoaffective Disorder,10,Taken for 10 years or more,"September 9, 2020",11,"Risperdal (risperidone):I take 6 mg of Risperdal at night for Schizoaffective Disorder,  However, my mania was getting out of control during the next day; my thinking was very accelerated and euphoric.  So I decided to split the dose 3mg/night, and 3mg/day.I got much better results.  My manic episodes were stopped on their tracks.",Diesel
5,Risperidone,Schizoaffective Disorder,1,,"February 15, 2020",5,"This was the first antipsychotic I tried for schizophrenia. It did absolutely nothing for me but cause severe anxiety (worse than I already had), made me gain weight and I was tired all the time.Antipsychotics have ruined my health. I used to weigh 160 pounds and was a very thin male, now I'm over 220 pounds. All thanks to antipsychotics. And that weight gain occurred within the first year and a half of starting antipsychotics. I was on Risperidone for about a month before being switched to Zyprexa which made me gain 20+ pounds in one month!",Druger
6,Risperidone,Schizoaffective Disorder,1,Taken for 1 to 6 months,"December 28, 2019",21,"Risperdal (risperidone):Hello this drug is very bad and not helpful. Still hallucinated on it. Blurry vision, restlessness, does not make you tired, brain pain?!, motor control malfunctioning, difficulty thinking on it, lack of emotion on it. Please don't take this ""medicine"". Very bad. Does not work.",PoopyRisperdalPills
7,Risperidone,Schizoaffective Disorder,1,Taken for 1 to 6 months,"December 6, 2019",9,Risperdal (risperidone):This med did not work for me. Did not help my thinking. Still felt depressed. Psychosis was still there. I was on it with other drugs too so that is probably why it didn't work. Also bad side effects too.,Sean
8,Risperidone,Schizoaffective Disorder,3,Taken for less than 1 month,"June 28, 2019",4,"I had both good and bad effects. First off, risperidone made me feel less paranoid when driving and when being around people. I enjoyed that part as nothing else has worked for me in the area of paranoia yet. The awful side of it was nightly nightmares. And I don't usually get dreams or nightmares. But these were frightening and affected my mood for a while after awaking. The nightmares were absolutely frightening and I didn't look forward to sleeping at all. I changed to Geodon lately and we'll have to see where that leads me. have a great day.",sportay
9,Risperidone,Schizoaffective Disorder,1,Taken for 6 months to 1 year,"June 4, 2019",11,"OMGoodness, terrible drug, fine for the first 6 months then anxiety, no sexual pleasure all gone, made me very tired, I lost all interest in life. suicidal, depressed, couldn't be bothered to brush my teeth when I woke up as I was to tired, I look and feel like a tramp it has turned me into a soap dodger, messes with the receptors in the brain, cigarettes, tea and coffee and fast food never tasted the same no buzz.I wake after 3 or 4 hours sleep and I am still having trouble with sleep staying up all night and sleeping through the day, I have been off it for 2 months now and I started getting ringing and piecing sounds in the ears after being off it for about 3 weeks and this could be permanent.Should ban this dangerous drug don't think I will be able to return to work.Best regardsLucky",Geo
10,Risperidone,Schizoaffective Disorder,1,Taken for less than 1 month,"March 13, 2019",13,Risperdal (risperidone):Took two milligrams for one day. Nausea for several days. I actually broke down and cried for hours because it was the closest to torture I had been. I didn't really need it anyway.,BazingaXDDDDDLAMO
11,Risperidone,Schizoaffective Disorder,1,,"October 15, 2018",24,"Risperdal (risperidone):Absolutely horrible drug! I had worsened serious depression and severe akathisia from it. Agitation, irritability anxiety, aggression also came into play. I have tried many antipsychotics on the market and this one is by far the worst (Now on Quitepine and Abilify - much better!). No redeeming qualities whatsoever.",Metalstorm
12,Risperidone,Schizoaffective Disorder,1,Taken for less than 1 month,"September 15, 2018",4,horrible drug.,mike
13,Risperidone,Schizoaffective Disorder,10,,"April 14, 2018",5,"I’ve been on risperidone for 13 years now. I’m 31 now and I have a masters degree, and I have experience working at major corporations. I only had 2 relapses since 2005. In 2011 they put me on the depot injection after the first relapse and added escitolapram (I reached 25 that year). Now they took away the depot and replaced it with tablets and put me on flupenthixol depot and kept the escitolapram. So I’m still on it now.It caused weight gain (olanzapine level weight gain, which is partly why they the depot injection wasn’t worth it), gynecomastia (enlarged breasts) and ejaculatory dysfunction (I can still have sex just fine, it’s just that I don’t always ejaculate- the orgasm is the same) which is ok, since my sex drive dropped with the disease (I’m the depressive type).I don’t agree that it clouds your mind; severe mental illnesses come with cognitive impairments (such as disorganized thinking, tangential thoughts and mangled speech.",Rollingstone
14,Risperidone,Schizoaffective Disorder,3,Taken for 1 to 6 months,"February 7, 2018",1,"Definitely worked as a PRN, got heavily sedated I slept through a whole day, but apart from the sedation I had no other effect. I initially started on 0.5mg and that did nothing, so we tried it a second time and I got up to 4mg. Did nothing for the depression and only made the voices a little bit quieter. Quite a bit of weight gain, tremors, PERMANENT prolactin increase and the sedation messed with my schedule. I would say not worth it but it works really well for some people.",moadej
