,drug,condition,rating,duration,review_date,upvotes,review,username
0,Guaifenesin,Cough,1.0,Taken for less than 1 month,"January 18, 2022",0,Mucinex (guaifenesin):I got these mucinex cough drops to try them and they are nasty and they don’t help. I think I will stick to halls.,Jen
1,Guaifenesin,Cough,1.0,Taken for less than 1 month,"December 14, 2021",0,YoooI know every body is different but this stuff acted is so awful for me . I was unable to sleep because of post nasal drip and a cough so I decided to take one dose of the children's version of guaifenesin. After one hour I suddenly got extremely dizzy and was violently vomiting. I think that's over now that it's out of my system hopefully but lord knows I will never ever take this stuff again. I felt like I was going to die. The irony is I took this to help with a sore throat from the post nasal drip but now my throat hurts even worse than before because of the vomiting. I hope this reaction isn't common for people. I wouldn't wish my experience on anyone.,CJ L
2,Guaifenesin,Cough,1.0,,"December 8, 2021",0,Mucinex (guaifenesin):I spent $21.00 on mucinex day and night  cough medicine and cough drops . I was disappointed the product didn’t do anything. Would love a refund .,Patrice
3,Guaifenesin,Cough,,Taken for less than 1 month,"September 28, 2021",0,"I was on the verge of thinking I had a serious lung problem when I decided to try my luck on guaifensen.  Within 2 days I was able to enjoy eating again without a coughing fit, I'm able to take deep breathes and I can now sleep without feeling like I was drowning in phlegm and as an added bonus my hand joints no longer hurt.  Thank you so much!  I have my life back.",Paty
4,Guaifenesin,Cough,9.0,Taken for 1 to 6 months,"March 6, 2021",0,Works pretty well for clearing my throat. Might make my nose a bit more runny but otherwise fine.,Hoppimike
5,Guaifenesin,Cough,10.0,Taken for less than 1 month,"February 4, 2021",0,"Taking 400mg guaifenesin immediate release tablets that are generic. It does help loosen mucus so I am able to cough it up easily. I would like to try liquid as I know that would work faster. You do need to drink more water, to thin mucus and for dry mouth.",Ktkann
6,Guaifenesin,Cough,10.0,Taken for 10 years or more,"October 4, 2020",3,Liqufruta Garlic Cough Medicine (guaifenesin):Its one of the best cough mixtures if have any other medical conditions it does not effect other medications that you maybe  taking.  I've used it for years and now I can't get it except on line,Smurf67
7,Guaifenesin,Cough,1.0,Taken for less than 1 month,"May 15, 2020",4,Omg! First of all my stomach turned shortly after taking and I had to run for the restroom!  Then I was so nauseas and weak! This went on the entire day. I do not know what Is in this stuff that made me worse then I started off but I would never ever consider taking this again! Felt like a terrible flu!,Jlo
8,Guaifenesin,Cough,5.0,,"May 3, 2020",5,"Mucinex (guaifenesin):Mucinex is good but tough .... finally you will get through it, but try another kind is possible.",John
9,Guaifenesin,Cough,1.0,Taken for less than 1 month,"April 22, 2020",8,Mucinex (guaifenesin):Doesnt work for me!,John
10,Guaifenesin,Cough,1.0,Taken for 1 to 2 years,"April 21, 2020",0,"Mucinex Maximum Strength (guaifenesin):Musinex Max strength did not work for me,  doctor recommended,",Katty
