,drug,condition,rating,duration,review_date,upvotes,review,username
0,Diphenhydramine,NauseaVomiting,5.0,Taken for less than 1 month,"March 22, 2021",0,Benadryl (diphenhydramine):I used it originally for food allergies but ended up puking (expected tbh). Not long after I took another to wave off the extra symptoms like nausea. All it did was induce vomiting again.,Wil
1,Diphenhydramine,NauseaVomiting,10.0,Taken for 6 months to 1 year,"January 24, 2021",6,Benadryl (diphenhydramine):Take it for my migraines or cluster headaches to help with nausea. Works amazing for me.,Anonymous
2,Diphenhydramine,NauseaVomiting,10.0,Taken for less than 1 month,"September 12, 2020",7,Benadryl (diphenhydramine):Benadryl seems to help with light nausea from hormones and/or motion sickness.,Di
3,Diphenhydramine,NauseaVomiting,10.0,Taken for 6 months to 1 year,"June 1, 2020",1,The diphenhydramine works for me when I have nausea and headaches. The only side effects I experience are sleepiness and dry mouth but I have insomnia so it's actually a big bonus drug for me and they are cheap. A bottle of Great Value is 4 bucks for 100 pills.,Rem
4,Diphenhydramine,NauseaVomiting,1.0,Taken for less than 1 month,"February 29, 2020",6,Benadryl (diphenhydramine):Made me very anxious and didn't help my nausea at all.,Alma
5,Diphenhydramine,NauseaVomiting,10.0,Taken for 5 to 10 years,"July 24, 2019",8,"Uhhhhhh.... wow..... all I have to say, is that I have had extreme nausea all night... I tried Dramamine. Didn’t work. I remembered that diphenhydramine can also be used for nausea relief. So I took a liquid gel (50 mg) And it’s been maybe 10-15 minutes and I already feel better.  THANKS AGAIN DIPHENHYDRAMINE !!",Melangus
6,Diphenhydramine,NauseaVomiting,8.0,Taken for less than 1 month,"June 27, 2019",1,"My review is about the IV and IM form of diphenhydramine (for migraines)1. Works great for migraines and helps other drugs work better.2. Can cause anxiety & restlessness. this has to do with how quickly your body processes the drug.3. You will build up a tolerance quickly, so do not take this everyday. 4. If receiving this through an IV, ask them to push it slowly. It can burn, and it also makes me cough.",Bear
7,Diphenhydramine,NauseaVomiting,9.0,Taken for 1 to 6 months,"June 7, 2019",9,"Have nausea often, especially if I under eat one day, I'll be nauseous and have trouble eating for days on end. I've been given zofran, phenergan, and bentyl at ER. When those ran out and the nausea didn't, I looked on the web and saw Benadryl recommended. It's worked very well for me every time! You will most likely be pretty sleepy though. Plan on some nap time.",Sickly boi
8,Diphenhydramine,NauseaVomiting,10.0,Taken for 2 to 5 years,"December 18, 2018",5,"For me, this is the most reliable medication for nausea and vomiting for multiple purposes, and I’ve tried everything else including ondanzetron. For any kind of nausea taking this early enough stops vomiting altogether, and really helps for nausea side effects from other medication like morphine etc. Great as well for migraines as it reduces nausea, stops vomiting and seems to help with making other medication more effective too. I tried everything for motion sickness both natural and pharmaceutical and this is the only one that helps at all. Shame many pharmacists in the UK are so poorly informed about this medication and refuse to allow you to buy it if you say it’s for nausea- so always just say you want it for occasion sleep issues ",Beth
9,Diphenhydramine,NauseaVomiting,1.0,Taken for less than 1 month,"August 7, 2018",23,"Benadryl (diphenhydramine):I took a single pill of Benadryl and it made me vomit, nauseous, diarrhea, dry throat, and gave me a stuffy nose. I wouldn't give this to my worst enemy.",Amy
