,drug,condition,rating,duration,review_date,upvotes,review,username
0,Doxepin,Anxiety,7.0,Taken for 1 to 2 years,"December 11, 2021",1,"25mg 3x a day as needed.Takes the edge off, of acute anxiety, but only modestly reduces the constant background anxiety 'buzzing'.",Iskra1908
1,Doxepin,Anxiety,3.0,,"July 16, 2021",3,"Before, I was taking amitriptyline for depression/anxiety & it worked in just 2 weeks. I was completely depression/anxiety free for the first time in 7 years. I didn't want to stop taking amitriptyline as it worked WAY better than the countless SSRI's I tried in the past, but sadly amitriptyline raised my resting heart rate way too high (a common side effect of amitriptyline). So I switched to doxepin which I hoped would be similar to amitriptyline as doxepin is also an older TCA type of antidepressant, but doxepin for me was a disaster. It gave me really bad nightmares & extreme vivid dreams. It also caused me to have a headache almost all the time I was taking it. It also caused a heavy sedation feeling when taking each tablet (I took 50mg each night) & all that aside, it didn't work well enough on my depression/anxiety.  I have switched to citalopram now, & those side effects have gone and I'm doing ok, so will stick with citalopram. Doxepin suits some people so good luck if you try it",JColley
2,Doxepin,Anxiety,10.0,Taken for 10 years or more,"July 1, 2021",5,"I’ve been on sinequan  for 26 years, I take 50 mg in the morning plus 1 1/2 Xanax,In the afternoon I take the same,And at night I take 3 sineqan (50g each) plus 2 Xanax & 2 imovane 7.5mg to help me sleep, and I wake normal (no side effects whatsoever) I can’t live without them, I highly recommend Sinequan  is the best  antidepressant  !!!!",Parapett
3,Doxepin,Anxiety,10.0,,"June 13, 2021",44,"I have suffered from anxiety, depression, eating disorders, sleep issues since my teens. I began doxepin in combination with hydroxyzine and I have experienced life changing results. I used to sleep 12 hours I would still be exhausted. My cognitive function is amazing. I no longer feel sick all the time, I wake up completely alert instead of groggy and in physical pain. The hydroxyzine has been very effective when I begin to notice myself getting over stimulated during the day. My anxiety essentially turns down to normal which has been a game changer for me. Fears that had been extremely taxing on me mentally and physically due to excessive anxiety and irregular sleep and eating are easy now. I used to crumble under pressure, procrastinate everything rather than just doing it... I am frankly blown away by the results. I feel normal for the first time in my life.",Neverwithouthope
4,Doxepin,Anxiety,9.0,,"June 2, 2021",8,"I have been suffering with anxiety, depression and insomnia, but doxepin helped me to get my life back. Thank you for those who created this medicine. My concern is how long will I take this medicine? Is this going for life? I am thinking to ask my doctor. It really helped to relieve anxiety and depression. I take right in the bed and it works good.9/10",Kgebriel
5,Doxepin,Anxiety,,,"May 8, 2021",1,I’m going to start it tonight and was wonder if anyone takes it for pain!,Anonymous
6,Doxepin,Anxiety,10.0,,"April 23, 2021",33,"I’m taking 10mg doxepin in the evening.  This is an older medicine that came out in 1969, this means that it has been around a long time and so what side effects there are, are largely known by now. I opted for the 10mg since 3mg & 6mg (for insomnia) is expensive. I have suffered with anxiety & insomnia for a few years now.  The higher mg’s (150mg-300mg) target areas of the brain affected by depression and anxiety (per MD). The 10mg has helped both with my insomnia & anxiety.  I have taken many different medicines to deal with my anxiety.  I was having insomnia with Celexa & had to take Xanax to deal with it, it worked aside from insomnia.  I have struggled for a long time to find something that actually works & I am grateful that I am able to sleep & be free of anxiety!  I read the reviews on doxepin prior to taking it & saw several that said it caused them to gain weight.  This has not been my experience.  I’ve had no side effects &, best of all, I’ve gotten my life back.",Pmillz0704
7,Doxepin,Anxiety,10.0,,"January 8, 2021",39,"I was on doxepin a while ago but weaned myself off it, thinking my anxiety wasn't that bad and I could try mindfulness/natural herbs. Well that wasn't a good idea. Ended up in hospital with heat arrhythmia and terrible anxiety/no sleep. I didn't realise how well this medication works while on it. After 2 days back on it I'm sleeping and my heart has gone back to normal. I'm on 75mg and will be for life. I have had no unpleasant side effects apart from going off it. Saved my life really. 10/10",Ang
8,Doxepin,Anxiety,8.0,Taken for 10 years or more,"October 16, 2020",33,"After most of my life at least 40 Years. I have been on tricyclic antidepressants it took a long time to get diagnosed I see my condition as generalised anxiety as I had no real classic signs of depression, 10 years ago I enede up in Hospital and they gave me anti psychotic medications seraquel nothing worked. After giving me xanax which within an hour I was back to myself they discharged me on xanax.  I saw my psychiatrist of 20 years and he prescribed Doxepin and within 4 week I came literally out of a nightmare.  I still have 2 hour to come round in the morning but it sure is better than the extreme anxiety and worry I was experiencing. So I don't  want to upset the apple cart as I have so I continue to keep up my regime and I'm quite pleased with have a life without extreme anxiety panic disorder which is my exact diagnosis.",Marco
9,Doxepin,Anxiety,10.0,,"August 14, 2020",20,Been taking doxepin med for a few days and already helping my anxiety. It is a good med to dry for anxiety depression,Bill b
