,drug,condition,rating,duration,review_date,upvotes,review,username
0,Botox,Migraine,9,Taken for 2 to 5 years,"March 15, 2022",0,"I’ve been on Botox for years now but for spasticity from a stroke. I’ve had migraines since I was 7 years old. My doctor that was giving me Botox for my spasticity suggested I get Botox for my migraines since they were so frequent and debilitating. I have tried so many other techniques, therapy and medications and nothing has worked. The first day I got Botox for migraines, I had the worst headache. After that I only had one migraine so far and very few headaches. Botox has helped soo much in the frequency and severity of my migraines.",Nuarb7
1,Botox,Migraine,8,Taken for 1 to 2 years,"December 15, 2021",1,"I've had botox injections for the past 1.5 years, every 3 months. Initially it was a miracle drug, I'd get a bad headache the day of the injection, but then after a day or so my headaches and migraines practically went away. I went from 2 migraines a week and some level of headache the rest of the days (I didn't have a headache-less day at all before botox) to maybe one or 2 migraines in the 3 months between doses. It does wear off around 2 weeks before my next round, and the daily headaches come back.The last 2 rounds though I've had new facial pain, down my temples and my whole lower jaw. The only new med was the botox, maybe the constant dulling of my head muscles put more strain on my jaw muscles that weren't deadened by the botox? My Neurologist didn't really give me a yes or a no on if this is coorelated.Overall though, I'd recommend botox for migraines. I've tried SOOO many types of preventative and abortive migraine meds, and this is the first to actually have an effect.",Theanthean
2,Botox,Migraine,1,Taken for 1 to 6 months,"October 6, 2021",0,Took it didn't have a head ache for one day after that my head hurts worse now. I have got neck pain and everything. Botox horrible I had two rounds made them worse it seems,Keep kee
3,Botox,Migraine,10,Taken for 1 to 6 months,"July 15, 2021",4,"I’ve had migraines since I was a kid of about 11 I am now 59 and also have chronic daily headaches I have tried just about everything.I got my first injections of Botox on April 1 st  I was in so much pain a few days later my neck hurt so bad and my shoulders and then pounding headaches. I really wasn’t sure if I wanted any more but everything I read said it really doesn’t work til the second or third time and you will notice a difference .I have since found another Dr and went in July 9 th and had the second round and I’m so happy I did this as its the first time in my life I haven’t had a headache every day. I’ve noticed a few trying to start and they go away , too bad I couldn’t of had this done years ago I feel I have missed so much of my life from headaches.",KMM
4,Botox,Migraine,1,Taken for less than 1 month,"July 5, 2021",0,"It has been a month and has yet to help, it definitely is not worth the pain of getting it and I would definitely not do it again unless it starts actually helping with my migraines",idk
5,Botox,Migraine,1,Taken for 1 to 6 months,"January 24, 2021",4,"I got Botox for headaches after I had Deviated Septum Surgery for which I was having daily headaches and weekly migraines.  I never had headaches before in my life until I had Deviated Septum Surgery.   My swollen nose and frontal sinus were/are inflamed and therefore have a headache everyday.  I became desperate for relief as I had tried every migraine and headache medicine and nothing was working. Even went to the ER a couple times and nothing they gave me helped. Well, Botox doesn't help either.  It hasn't lessened the pain, it hasn't minimized the # of headaches I get. It hasn't done squat.  All it does is feel like I have 5 extra pounds in my head. Never again. I had high hopes for this. Sadly, it did nothing for me.",blue-sky
6,Botox,Migraine,10,Taken for 2 to 5 years,"December 20, 2020",6,"Botox is one of the only things besides heavy opioid pain medication (which I don’t want to take again) that actually helps me live with my migraine headaches. My migraines stem from my severe TMJ disorder, so most likely they are caused by muscle and sinus tightness and pressure stemming from my dysfunctional jaw joint.  However, they present life regular migraines, and they’re terrible. If I used botox somewhat regularly (injections every 3-4 months) it is so much better; from headaches every day and migraines 4+ times. Week, to maybe 1-2 mild headaches a week and 1 migraine a month. I have tried everything else — steroid injections, all the migraine medications, heavy painkillers (which work but they’re addictive and have side effects), muscle relaxers, physical therapy, ortho, teeth pulled, mouth guards and on and on. Botox is a life saver for me. It’s the only thing that truly helps.",SummerBlake
7,Botox,Migraine,6,Taken for 2 to 5 years,"June 29, 2020",2,"Botox mitigates most of the headaches, but there is that pain in the back of the eye thing still going on and the tenderness on the side of the head (right).  I still get a breakthrough full-on migraine about once a week.  I have just been prescribed a new medicine to back up the Botox when the full-on ones come.  I have had migraines for about 35 years and have tried a lot of different meds (they really liked fiorinol for the longest time.  The barbituates were hard to deal with).  The Botox has worked the best at taking away a lot of the headache effects and allowing me to use my day more the way I want to.  I also use a bio feedback/meditation for chronic pain.  I guess as long as it works, go for it!",Shellie
8,Botox,Migraine,1,Taken for 6 months to 1 year,"March 1, 2020",4,I tried Botox several times as administered from a Migraine Specialist/Neurologist.  It didn't help at all.,Rainmaker
9,Botox,Migraine,10,Taken for 1 to 6 months,"December 1, 2019",6,"Botox worked for me almost immediately for my migraines.   So far, I have not had one migraine since my first round of Botox 5 weeks ago.  It feels like a miracle for me.",Kim221
