,drug,condition,rating,duration,review_date,upvotes,review,username
0,Clindamycin,Sinusitis,10.0,Taken for less than 1 month,"March 11, 2022",0,Prescribed prior to cyst removal. Totally cleared up chronic sinusitis and improved bowel movements. 300 mg twice daily for 7 days,Falcon
1,Clindamycin,Sinusitis,1.0,Taken for less than 1 month,"January 7, 2022",4,"Went to the ER for sinus infection, Doctor prescribed me amoxicillin even tho I told her I was allergic to it so the pharmacy switched it to clindamycin.  First two days were ok and the pressure in my head was going away so I thought it was working except the extreme heartburn. Third day I started vomiting and my head felt like it was gonna explode. Then that night I woke up and my body felt like it was on fire and I was itchy and broke out in very bad hives. My body started swelling up bad and I ended up back in the ER.",Anonymous
2,Clindamycin,Sinusitis,2.0,Taken for less than 1 month,"June 12, 2021",2,"Developed acute sinus infection couple days after wisdom teeth extraction. Was switched to this antibiotic. Messed up stomach within a day, felt like a punch to the gut. By day 4 (today) broke out in hives all over and had a severe reaction. Currently sitting at the ER to get checked out. Can’t recommend. The infection feels better but its still there. Switching to a different med.",Lord_Helmet
3,Clindamycin,Sinusitis,10.0,Taken for less than 1 month,"April 11, 2020",14,After many months of trying other antibiotic for sinus infection and chronic cough  my doctor prescribed Clindamycin. It worked after just a few days with just a bit of heart burn. As stated in many posts...take this with a lot of water and eat...especially yogurt prior to it. I am on my second round of 14 days as a preventative until I have surgery. It could be a while so I’m hoping I will not get the issues that many of you have had...All in all...it’s good stuff.,Bergie
4,Clindamycin,Sinusitis,1.0,,"March 25, 2020",8,"After 5 days of taking  clindamycin as directed for sinus by doctor/label, I developed hives, an allergic reaction, then discontinued medicating, and hives cleared up.",Gumby
5,Clindamycin,Sinusitis,,Taken for less than 1 month,"February 11, 2019",16,"After the first dose I went to sleep only to wake up with severe diarrhea and cramping, so much that I could not make it to the bathroom.  Immediately stopped the medication but was unable to get my gut back to normal.  Severe dehydration and diarrhea for 2 months despite trying different probiotics and home remedies.  Negative test for c diff., Many trips to specialists with no answers.  I was finally diagnosed with celiac and feel much better now that I'm following a strict diet.  I am allergic to penicillin and this medicine is often used as an alternative.  Don't use!  Ask the doctor to find an alternative medicine.",NoName
6,Clindamycin,Sinusitis,1.0,,"January 28, 2019",10,I have been taking clindamycin four days now and it hasn't done anything but give me the runs every day - and I'm taking it with probiotic daily.  It hasn't helped the sinus infection at all.  This is my 2nd round of antibiotics.,Anonymous
7,Clindamycin,Sinusitis,10.0,Taken for less than 1 month,"January 7, 2018",46,"Lots of sinus issues....2 sinus surgeries, allergy shots, whole nine yards. This antibiotic WORKS for me. I felt better after my first dose and continued feeling better and better as I continued with the medicine. Other antibiotics don't work this fast or as well. Thanks",Anonymous
8,Clindamycin,Sinusitis,,,"December 30, 2017",8,Had to stop taking due to causing severe hiccups,Anonymous
9,Clindamycin,Sinusitis,4.0,,"November 29, 2017",20,"Wow, this is a POWERFUL drug. I was prescribed clindamycin 300 mg for severe sinus infection. Amoxicillin did not work. After two doses I had the worst stomach pain and nausea I have ever had. I also had a throbbing headache. However I could feel it working in my sinuses already. So I tried to stick it out. After another day I was so profusely ill I couldn't get out of bed. Had the shakes, vomiting, horrific heartburn and headache. For the record I took the pills with Gravol and water, took probiotics and stayed upright after taking. This was not a good experience. Very frustrating because I believe the drug does work but the side effects make it impossible to take.",littlesilverlining113
10,Clindamycin,Sinusitis,,Taken for less than 1 month,"November 18, 2017",16,"I was prescribed this for sinus pressure, eustachian tube problems, and tooth/sinus pain. I'm allergic to penicillin, cipro, and sulfa. Antibiotics are a gamble these days. It appeared to relieve some of the symptoms, but I got a bad rash/hives on day 9 of a 10 day course. My chest and face looked like a velociraptor. I finished it and the hives lasted about a week. I still have the infection (CT confirmed) and am trying doxycycline. I also am on prednisone to reduce swelling and to deal with the hives.",Stubbornsinus
11,Clindamycin,Sinusitis,10.0,Taken for less than 1 month,"August 9, 2017",24,"I was given this for a severe sinus infection and double ear infections, received my first dose at the urgent care this was yesterday, I took my dose last night and laid down to no avail could I sleep it was so weird like I was full of energy. I did get a metallic taste in my mouth but that is all. I'm still sneezing a lot and ears still hurt but will see how I am in day 3. So far it's been good I am also allergic to everything under the sun so this is the only antibiotic I can take..",Ibeles
12,Clindamycin,Sinusitis,7.0,,"June 27, 2017",40,"I don't usually post reviews but thought I would share my basically good experience. Taking 300mg every 6 hrs for maxillary tooth (molar) and sinus pain - doctor and dentist were not sure if sinus infection or periapical (an acute or chronic inflammatory lesion around the apex of a tooth root which is caused by bacterial invasion of the pulp of the tooth) abscess. (Clogged sinus, pain in face and upper jaw, fatigue, squinty eyes, foul tasting drainage)  In two days pain was virtually gone. Very few side effects - BUT - be absolutely sure to drink lots of water (at least 8oz) and don't lie down for 15 minutes. Now on Day 7 or 8. My stomach is a little bloated more than usual, but bearable. Fairly normal bowel movements once a day. I should also mention: 1) Wake up with bitter taste in mouth - but it goes a way - not a lingering taste. 2) Pharmacist warned of sun sensitivity - I have not experienced that yet, but being cautious. Now started taking Sacchromyces boulardi 5-10 billion units - recommended as a probiotic for Clindamycin in particular against C Diff.",LFG
13,Clindamycin,Sinusitis,10.0,,"March 27, 2017",36,"I will concur with everyone on here that is recommending the water, no lying down within 30 minutes after taking your current dose (try not to take it right before bed) and taking probiotics to help stave off GI issues. These three actions are they holy trinity with taking this stuff - I cannot stress that enough. My first night taking it I forgot about the aux warning of ""do not lie down within 10 minutes of taking this drug"" (I recommend 30 min) - extreme heartburn ensued. Lots of water and yes, do eat; you will have a better experience. Note: ""a lot of water"" = at least a cup or two of water (8-16 ounces).",funtzman
14,Clindamycin,Sinusitis,3.0,Taken for less than 1 month,"March 20, 2017",11,"Started taking clindamycin for a sinus infection. On day one, I took one pill at breakfast and one at lunch. When I took one pill at dinner, I was having difficulty swallowing. It felt like there was something stuck in my throat. Also in my sternum area I felt a tightening. I didn't know what was happening. The next morning I looked up the side effects and difficulty swallowing and tightness in the chest are listed. I switched to a different antibiotic and will avoid this one as it obviously affects me.",RochelleBelle
15,Clindamycin,Sinusitis,1.0,Taken for less than 1 month,"January 16, 2017",11,"I was given this for a severe sinus infection, I have taken the full prescription as noted and am still suffering ailments of the sinusitis, each time the med is taken I cough uncontrollably, have the nastiest metallic taste in my mouth along with nausea and an enormous amount of heartburn,feverish feeling almost like I am sunburned I took 2 150mg 4x a day for 10 days. Will try to avoid this one next time.",Anonymous
16,Clindamycin,Sinusitis,8.0,,"July 14, 2016",34,"It was a little scary to take, after reading these reviews, but I used the recommended high potency softgel probiotics daily and was sure to take dosages on time, with plenty of water and a little food. No stomach upset, no heartburn, no side effects at all, really. I will continue to use the probiotics after my final dosage today, to ensure that things normalize post-treatment. I used a 7-day treatment after not responding to a 7-day treatment of amoxicillin. This seems to have done the trick.",KLlewl
17,Clindamycin,Sinusitis,1.0,,"August 25, 2015",23,It nor any other antibiotic have helped my sinus infection at all. I get bad headaches with mine and nothing works regardless of the multiple trips to doctors.,Gravy Train
18,Clindamycin,Sinusitis,6.0,,"April 11, 2015",42,"Had sinus surgery last tuesday and was prescribed Amox. My surgeons office called me at home that night , I believe to change my medication to Clindamycin because some matter that was removed from sinus tested positive for MRSA  Wonderful!!!   Anyhow, my medical team gave me a prescription for Clindamycin taken 3x daily 300mg     On the recommendation of a Scientist friend of mine and the medical staff, I bought softgel Probiotic which I take a half hour before my first Clindamycin in the morning.  Only one Probiotic is needed per day.  I have had no side effects of the Clindamycin at all so far on my fifth day of use!!!!   Taking the Softgel Probiotic is highly recommended.  Hopefully the Clindamycin works as well as the Probiotic",Joey57
19,Clindamycin,Sinusitis,10.0,Taken for less than 1 month,"July 15, 2014",81,For my sinus infection they originally gave me penicillin which landed me in the ER. Apparently the ER doctor said penicillin wasn't strong enough to combat it. So she prescribed me this clindamycin but told me that I will feel relief in 48 hours. Now being bedridden for 5 days on penicillin I was excited and 2 days later I can finally breath through my nose. Didn't have to worry about dry mouths since I had to breath through my mouth even when I TRIED sleeping.,zohair
20,Clindamycin,Sinusitis,9.0,,"January 23, 2014",122,"I get terrible sinus infections at least once a year. The doctor use to give me amoxicillin and it got to a point were it did no good at all, I went to another doctor and she gave clindamycin and it worked like magic in 2 days I felt so much better.",raiders25
