,drug,condition,rating,duration,review_date,upvotes,review,username
0,Lamotrigine,Schizoaffective Disorder,10.0,Taken for 1 to 6 months,"August 28, 2021",0,"I'm on 300 mg of Lamotrigine and I feel really awesome, I'm not in depressed mood and I've returned my routine",Dylan
1,Lamotrigine,Schizoaffective Disorder,10.0,Taken for 1 to 6 months,"May 1, 2020",14,"Lamotrigine has worked wonders for my mood. It’s been a difficult road to finding the right medication, but I think this is the one. It took some time to adjust to it, but once it started to work it really worked for me. I have schizoaffective disorder",L
2,Lamotrigine,Schizoaffective Disorder,10.0,,"October 29, 2019",37,"Lamictal (lamotrigine):Before I started taking Lamictal for schizoaffective disorder I couldn’t string a thought together and had started hallucinating, often seeing spiders crawling up the walls just out of the corner of my eyes and other nasty things that weren’t there. Been on Lamictal (Lamotragene) for almost five years now after gradually increasing dose to 300 mags. No weight gain, no excessive sleep, or any other side effects I can notice. I have actually had a good weight loss since my last increase to 300mg. Don’t know if the two are related but I had been very overweight. I would recommend working with your doctor to get to the correct dosage and the correct side meds, I take it with Latuda, since it was not as effective for me at lower doses. I have stopped having hallucinations and Have had very few manic episodes since I started Lamictal and really feel for most people it would be a very good choice.",Kat
3,Lamotrigine,Schizoaffective Disorder,,Taken for 5 to 10 years,"October 7, 2019",17,"Lamictal (lamotrigine):I have been taking lamictal for years now and can say it really does stabilize my mood and helps with the depression side of my illness. I take it with prolixin also known as fluphenazine,  these combination of these two drugs have worked the best for me for my schizo affective disorder and believe me I've been on lots. The weight gain hasn't been bad either compared to the geodon which caused me to  crave carbs and gain.  Drugs do make me sleepy ",Jubie
4,Lamotrigine,Schizoaffective Disorder,9.0,Taken for 2 to 5 years,"July 7, 2019",9,Lamictal (lamotrigine):Lamitcal has be effective  and working well at controlling suicidal ideation with Bipolar disorder. Take it along with Prozac and Zyprexa.,Jovial
5,Lamotrigine,Schizoaffective Disorder,1.0,Taken for 1 to 2 years,"October 13, 2018",26,Lamictal (lamotrigine):I have been taking lomtrigine for a year now. It has made me more depressed than I was before I started this medication. My emotions are totally numb. I don't have any joy in my life. It's like I am a walking zombie just going through the motions. I would not recommend this drug. It has helped some people but it's not worth the side effects for me.,Gilmore11
6,Lamotrigine,Schizoaffective Disorder,,Taken for less than 1 month,"July 18, 2018",5,My doctor has me on a half tablet of lamotrigine in the morning and half at night (100mg a day) and abilify in the morning. The abilify makes me so tired I can't function and take care of my kid. What other medications can I take with the lamotrigine? I need to be able to stay awake with my kid.,JustinJrsmommy
7,Lamotrigine,Schizoaffective Disorder,1.0,Taken for 1 to 6 months,"July 9, 2018",6,"This is the first drug my psychiatrists convinced me to try after months of talking. I have extreme paranoia concerning medications and I refused to take any antipsychotics so he suggested lamictal because he claimed it was the safest medication. I took it for about two months slowly increasing the dosage to 100mgs. I didn't feel any better or any worse, it was all the same. I suddenly woke up one day with dots all over my arms and I felt like I was dying and my family had to take me to the ER AND I had to be hospitalized for a week. I didn't have Stevens–Johnson syndrome (SJS)  but they couldn't figure out what was wrong with me.",Anonymous
8,Lamotrigine,Schizoaffective Disorder,9.0,Taken for 6 months to 1 year,"May 15, 2018",24,"Lamictal (lamotrigine):I've been on Lamotrigine for several months now, started a small dosage of 25mg, gradually increasing until I've gotten to 300mg per night. Each increase has improved my mood, made me content and more active. It has also taken away my depressed behavior of lying in bed watching TV series all day and overeating, as well as my sudden breakouts of irritation. I just hope I don't get the Stevens-Johnson syndrome, I don't know if the risk is less the more you've taken the medication without side-effects. Getting SJS would be extremely unfortunate given that I greatly depend on the medication.",Fer
9,Lamotrigine,Schizoaffective Disorder,8.0,,"February 17, 2018",10,Lamictal (lamotrigine):Works,Damipono
