,drug,condition,rating,duration,review_date,upvotes,review,username
0,Metoclopramide,Gastroparesis,1.0,Taken for less than 1 month,"February 7, 2022",0,I was prescribed this for Mild Oesophagel dysmotility. When I received the tablets it was mid-day and I was only able to take two tablets.  However later inthe same day I experienced  non-stop RLS with both legs.  My legs were constantly jerking all that evening and during the night.  In the morning I was back to normal.  The other two incidents which occured when I was sitting at my desk working when I fell asleep and was woken to find myself falling - thankfully I managed to save myself going any further by grabbing hold of the other end of the desk.   Then in the evening I was sitting at the table when I fell asleep and found myself once again falling off my chair.   After that I stopped taking the Metoclopramide - it was my decision as my doctor was away for a week.  What worried me was the fact that I might have the same experience whilst driving my car.,Stella
1,Metoclopramide,Gastroparesis,8.0,,"November 16, 2021",0,"Been taking this drug for several months to help with my gastroparesis/nausea. For the first few days it made me feel a bit out of sorts but after those first few days it has been the best thing I’ve had. It has help me eat a bit easier and not spend several times a day vomiting up the food I’ve eaten. Can the side effects be unpleasant when you first start, of course but for someone like myself it has been a game changer and has made my quality of life better.",Dee
2,Metoclopramide,Gastroparesis,1.0,Taken for less than 1 month,"November 4, 2021",1,Makes you go insane. Don't take it it's not worth it.,Fgfg
3,Metoclopramide,Gastroparesis,10.0,Taken for 10 years or more,"October 15, 2021",0,"Reglan (metoclopramide):I have had Type 2 diabetes for over 35 years. Approximately 12 years ago, I was diagnosed with gastroparesis. My GI doctor prescribed Reglan 10 mg 3x daily and at bedtime if needed. Due to my caution about side effects, he gradually let me relax this regimen. I now skip the breakfast and lunch doses, as those are my small meals of the day. At times, if we're having a light dinner, I can also skip the evening dose. (There are also times when eating a large dinner, I use the evening and bedtime doses.) I have had no negative side effects from managing my gastroparesis in this way. It works for me, and allays my fears of side effects as well.",Spellerbee
4,Metoclopramide,Gastroparesis,9.0,Taken for 5 to 10 years,"September 23, 2021",0,"After a HIDA scan showed that my gallbladder was a dud, it was removed. Soon after, the symptoms of delayed gastric emptying appeared. I had two rounds of tests and I was diagnosed with gastroparesis, probably triggered by my gallbladder removal but likely from having a genetic disorder, Ehlers-Danlos Syndrome. The GP was helped immensely by Reglan 5mg but I had to reduce my dosing as I developed a minor tic (nothing that really bothers me). I have awful insomnia from having EDS and have no chance of sleep unless I take 5 prescription medications. Many nights though, it was like I took nothing for sleep and I laid awake all night. I wondered if my GP was preventing my meds to pass from my stomach and be absorbed. Started taking one Reglan with my sleep meds and I now have the best sleep I’ve had in 15 years. EDS makes life very difficult but Reglan has helped me manage a couple of real troubling issues. My life would be very different without it.",DaniH
5,Metoclopramide,Gastroparesis,1.0,,"July 12, 2021",4,"Reglan (metoclopramide):I have been given this med several times in a GI cocktail at the ER when having belly pain from gastroparesis, undiagnosed. I began feeling afraid as it entered my system; a need to remove the IV and get the med out of my body. I felt I was going to die. I wanted to escape, but also felt like I couldn't move. The ER's in my area give medicine and not check back in for an hour +, so I suffered alone while texting my SO how scared I was. Later, getting diagnosis of gastroparesis, this was prescribed to me and began taking nightly. It caused the same reaction and I couldn't sleep for fear if I closed my eyes I wouldn't wake. I held onto my SO's arm saying ""I'm scared I will die if I fall asleep... please help..."" I then realized it was the same med in the GI cocktail and I told my dr I couldn't cope with the side effects. There are other treatments available. Nobody has to suffer this med if they have this reaction. I still get anxiety when going to ER due to the traumatic experiences.",Msk
6,Metoclopramide,Gastroparesis,,Taken for 1 to 2 years,"April 19, 2021",10,"Reglan (metoclopramide):I have read all the reviews and they are terrifying to say the least but I suffer from gastroparesis and was put on this 3 x a day. I cut it back to basically only taking it whenever I start feeling ""funky"" (nausea, vomiting, etc.).  It works fine for me. No side effects. Just take it when I need it which, controlled with diet I may take 5mg Reglan 3x a week. Works great for gastroparesis patients.",Jayy85
7,Metoclopramide,Gastroparesis,9.0,Taken for 1 to 6 months,"April 13, 2021",2,"Was on Reglan for years but as I have gotten older I have seen issues with effectiveness and really set back over last 2 to 3 years. Very discouraging and the nausea took away all appetite so I have had weight issues and inconsistent blood sugar started to take hold much more, up and down. In Feb of this year, I started taking a spray 15 mg Gimoti metoclopramide and it has given me better results than ever with oral metoclopramide.",Gimoti
8,Metoclopramide,Gastroparesis,,,"March 31, 2021",2,Was on this medication for two years then had to stop it as was making my spasms in my hands worse after stopping it I came out in a rash all over my body and it lasted six weeks anyone else had this with this medication.,Anonymous
9,Metoclopramide,Gastroparesis,9.0,Taken for 6 months to 1 year,"October 21, 2020",13,"Reglan (metoclopramide):I have gastroparesis due to what they think is Vegas nerve damage from funduplication in 2017, symptoms started 2 years later. I almost starved to death, it was the worst thing I've ever been through. Nothing they tried worked until Raglan. I was very scared to take it due to the stories I've heard, but It has saved my life!! It has helped me so much, I actually keep my food down and the horrible reflux is gone when taking Raglan. I'm so grateful for this medication. The only side effect I have experienced is vivid, sometimes bad dreams. I'll take the dreams over constant vomiting!",Dee
