,drug,condition,rating,duration,review_date,upvotes,review,username
0,Remeron,Major Depressive Disorder,9.0,Taken for 1 to 6 months,"January 7, 2022",6,"I was in another deep dark place. Have been on lexapro for years because I struggle w MDD. It seems the lex doesn’t help much like it used to. When I go downhill, my stomach is affected. I lose my appetite and can barely eat. I get these gnawing hunger pains, and eat to get rid of them, but then shortly after I’m hungry again but nothing sounds good or tastes good. I’m afraid of trying new meds. It’s so hard. So many don’t help and you have to be on them for quite awhile to know if they work. I’ve tried several in the past and they gave me chest pressure/pain. Unusual, but it happens. Didn’t want to try remeron but I was desperate. God heard my many prayers and many who were praying for me!  Started feeling better and eating normal within a week! Crazy dreams and shaky for awhile, but that got better. Also, am gaining weight back that I lost.",Mary
1,Remeron,Major Depressive Disorder,1.0,Taken for 1 to 6 months,"January 7, 2022",2,This medicine completely wipes me out. All it does is makes me sleep. I can sleep over 24 hours straight when I take this. Does nothing for depression because it makes me sleepy and can’t do anything anyways when you’re sleepy.,Lilmissmollysue2022
2,Remeron,Major Depressive Disorder,8.0,Taken for 1 to 6 months,"January 1, 2022",2,"Within 15 mins of taking it (at night) without fail, I became extremely hungry. Now, after three months of taking it, I can recognize it. I've gained weight because this is also used as an appetite stimulant. I don't eat now after I take it.",Anonymous
3,Remeron,Major Depressive Disorder,10.0,Taken for less than 1 month,"December 24, 2021",2,Wow. I have always refused taking medication after a bad experience years ago with citalopram. This time around I spiralled after a bad breakup and had brief psychotic disorder. I hardly left my bed. Couldn't eat. Couldn't sleep. My doctor prescribed me this medication and it has worked wonders. Slept a full night and 3 days in I was eating again. I'm on day 9 now and I am already experience positives to my mood. I have hardly had any side effects which is also a bonus! Everyone is different but for me this medication saved my life.,Anonymous
4,Remeron,Major Depressive Disorder,10.0,Taken for less than 1 month,"October 29, 2021",2,"Hi all just wanted to give an update on remeron 15 mg taken nightly. I'm diabetic type 2 and spoke to a few doctors regarding it's safety efficacy with diabetes, although most SSRI""Ssomehow interfere with diabetes I took the plunge and decided to still try it again cos it worked so well, could not have made a better decision, I sleep much better though using 75mg serequel and stilnox mr as well I've had a bit of brain fog in the morning but subsides at about 10 in the morning and then I'm great to go",Anonymous
5,Remeron,Major Depressive Disorder,5.0,Taken for 1 to 6 months,"September 12, 2021",2,"The only thing that that I would tell, that it is a very powerful drug , that can even change your life for Good or bad , it's close to the effect of MDMA and LSD combined.",Ramy
6,Remeron,Major Depressive Disorder,10.0,,"April 26, 2021",13,"I was taking this medication for six years and it was life changing. I was struggling to gain weight I never had appetite and I was depressed and no medication seemed to work but remeron was the only pill that worked for me. Unfortunately I put on 40 pounds and I have an almost overweight BMI so I will have to stop this medication. This medication won't ""cure"" your depression but it's as if nothing seems like a big deal when you're on it so therefore you feel less stressed and anxious.",Love
7,Remeron,Major Depressive Disorder,10.0,Taken for 1 to 6 months,"March 20, 2021",99,"I have been on Remeron for 5 weeks.Before taking this I had extreme anxiety, I felt like I had a steel band tightening around my midriff, heart beating like it was going to explode, shaking when I had to go out and lack of sleep.Now on this I have the confidence to go out, my heart rate feels normal and thank goodness the steel band has disappeared.I hope this has been helpful to someone out there, good luck",Grub
8,Remeron,Major Depressive Disorder,8.0,Taken for 6 months to 1 year,"December 2, 2020",11,"I took Remeron for 6 months, it did wonders for my depression and anxiety during the first weeks, I started with the 15mg dose, but as time passed, the effect started to disappear, I increased my dose to 30, the same thing happened, the effect disappeared, now I am taking 45mg, and the effect is not at all the same as I felt in the first weeks, unfortunately this medicine is not a long-term medicine, I am thinking of changing",Not
9,Remeron,Major Depressive Disorder,7.0,Taken for less than 1 month,"October 25, 2020",71,"I'm on week 4 of mirtazapine 30mg and still feeling anxious. I have some really good days, so I think the tablet has started working, but then the next day I can be anxious all day long, which then disheartens me. Im wondering whether to stick with it ? Any experience would be welcome.",Geraldine
10,Remeron,Major Depressive Disorder,9.0,Taken for 1 to 2 years,"October 15, 2020",21,"I have suffered from major depression for the past 20 years which caused severe insomnia Remeron has been a lifesaver . I have been able to sleep , but it causes weight gain . My doctor decreased it from 45 mg to 30 mg . There is no major difference between the dosage . I will be following a diet suggested by my dietician to lose 7 pounds gained from the meds",Taina
11,Remeron,Major Depressive Disorder,10.0,,"October 4, 2020",50,I have tried many antidepressants. I love Remeron.    I feel happy.   Side effect always hunger.   But it has done amazing things for me.   My family and friends gave noticed.   Have been on 30mg for 6 weeks.,Redds
12,Remeron,Major Depressive Disorder,9.0,Taken for 6 months to 1 year,"September 7, 2020",72,"Mirtazapine took my depression away in as little as 5 days.  It was great, now I can live.  5 months later I started having severe bouts of breathlessness.  My Psych says it is not the drug, it is anxiety.  I stopped the drug for three days and the symptom totally went away.   I went back on it real quick cuz the depression came on fast.   Doc put me on .5mg clonazepam twice a day, but doesn't help the breathing.  Anybody else have this breathlessness?",rubbernose
13,Remeron,Major Depressive Disorder,4.0,Taken for 1 to 6 months,"May 24, 2020",42,"I gained 25 lbs in 6 weeks on Remeron. I was 125lb when I started the medication and now I’m bordering on overweight. Luckily when I stopped the medication the weight gain stopped. It helped  slightly with my chronic migraines and did not make me sleepy. I feel it did improve my quality of sleep somewhat, but not enough to continue gaining weight at that rate. I did exercise and watch what I ate but it just made me too hungry. It had no effect on my depression unfortunately, and I feel much worse about myself after gaining all that weight. Ketamine therapy has been the only antidepressant to work for me yet.",1234
