,drug,condition,rating,duration,review_date,upvotes,review,username
0,Terazosin,High Blood Pressure,3.0,Taken for less than 1 month,"March 31, 2022",0,Took this meds and began dizzy and would faint. Did lower BP but side effects made it impossible to tolerate.,Reg
1,Terazosin,High Blood Pressure,1.0,Taken for 1 to 6 months,"February 20, 2022",0,This med is causing mental distress and anxiety and lowering my zest for life.  I stopped taking it and Wow! I have such an upbeat look on life again.  Back to the drawing board on a search for something to lower my blood pressure.   :(,Terazosin
2,Terazosin,High Blood Pressure,1.0,Taken for 1 to 6 months,"January 25, 2021",1,I have been taking it for about 3 months now. It has had no effect on my blood pressure at all. The dr. just increased my dose to 8mg a day. Keeping my fingers crossed.,mike
3,Terazosin,High Blood Pressure,1.0,Taken for less than 1 month,"October 1, 2019",6,"It was effective at lowering my blood pressure. However, at 1MG per day, it caused body aches and muscle spasms. I had to quit after 5 days.",Kdubya
4,Terazosin,High Blood Pressure,,Taken for less than 1 month,"July 4, 2019",8,I took meds and it lowered my blood pressure but caused urinary incontinence  was so bad I had to stop taking it.,gigi
5,Terazosin,High Blood Pressure,1.0,,"April 30, 2017",16,"Been on terazosin for 3 months for blood pressure.  My blood pressure went from 165/95 to 220/125. I also take a beta blocker, spirolactone and coversyl.  Did the opposite of what it was supposed to do.  Felt nauseous the entire time and almost fainted numerous times.  This drug had the adverse reaction for me and was a very difficult 3 months.  I'm back on amlodimine and my blood pressure has returned to normal.  Anyone else with similar experience?",Sally67
6,Terazosin,High Blood Pressure,4.0,,"November 19, 2015",22,"Terazosin helped with BP but the one big side effect I had was that it literally made my entire body hurt. Both shoulders and arms hurt so bad, I could not lift either arm without pain. I have been off Terazosin for 5 days now and am getting better by the day.",Jeff from New York
7,Terazosin,High Blood Pressure,7.0,,"March 1, 2015",17,Causes frequent nightime urination.,ugauga
8,Terazosin,High Blood Pressure,5.0,,"May 14, 2010",52,"Hytrin (terazosin):Well I have blood pressure that is normally high, but sometimes normal.  I have only been on Hytrin for a few days.  The first day it made me very dizzy and fill very bad.  My blood pleasure went from an average of 160's/90's to 110's/60's.   I am only on 1 mg. I only have been taking a 1/2 a mg since the first day.",dt1401
9,Terazosin,High Blood Pressure,9.0,,"December 17, 2009",53,"Works well for blood pressure, even better for Benign Prostate Hyperplasia.  I seldom have to get up during the night to use bathroom, best sleep I have had in years.  Only problem that I have noticed is a lack of energy during the day.",Anonymous
10,Terazosin,High Blood Pressure,9.0,,"June 27, 2009",61,"Hytrin (terazosin):Have been using Hytrin for about a year. It has lowered my blood pressure, helps me sleep and urinate and able to empty my bladder. Has not affected my sex life at all. Have woken and been dizzy, but I am able to slow myself and watch where I am going.",Anonymous
11,Terazosin,High Blood Pressure,10.0,,"May 21, 2009",47,Hytrin (terazosin):Hytrin is one of the few blood pressure medications that is controlling my hypertension problem. Very effective medication. I'm very happy with it.,brian lannen
12,Terazosin,High Blood Pressure,10.0,,"October 23, 2008",43,"Terazosin works well for both high blood pressure and BPH.One of the better medications for reducing blood pressure, in my opinion.",Anonymous
