,drug,condition,rating,duration,review_date,upvotes,review,username
0,Modafinil,ADHD,8.0,Taken for less than 1 month,"February 22, 2022",0,"I tried this drug for ADHD as an alternative to methylphenidate because it was causing disturbing side effects. While Modafinil increased my energy and motivation, it made me anxious. This seems like a drug that would do wonders for lethargic depression because it’s simply impossible to spend the day in bed while on Modafinil. But if you have co-morbid anxiety I would tread with caution. I tried experimenting with lower doses and found that with a low dose I would still derive some benefit without the anxiety. Overall, this medication definitely has therapeutic potential for some people with ADHD, though it doesn’t give you the kind of robotic, almost artificial focus that typical ADHD stimulants do in my experience.",pilkington
1,Modafinil,ADHD,4.0,Taken for less than 1 month,"November 12, 2021",0,"I begged my doctor for this after taking adderall for my ADHD. I was desperate to get off Adderall, it ruined my life and my brain chemistry. It made me extremely depressed and couldn't function without taking it. Besides just sitting around on the couch watching tv and browsing the internet I just could not bring myself to do anything else. Cleaning the house was like climbing mount everest. Long story short I begged my doc for this to stop the Adderall and I had such high hopes because of all the fantastic reviews and I even know a couple friends it worked great for. Unfortunately besides give me massive diarrhea and headaches it did nothing for me. I took a full 200mg pill and it felt like drinking a bad cup of coffee. It didn't give me the motivation or anything as others raved about. Give a try though! Everyone is different. Good luck!",Jas223
2,Modafinil,ADHD,8.0,Taken for 6 months to 1 year,"November 8, 2021",0,"When I found modafinil, I had the best couple months of my life. I felt confident and focused; for the first time, I was able to put my mind to something and do it. I felt alert and engaged with the world around me. My mood was even getting better. I no longer felt anxious; I was self-assured, confident, and even a bit cocky.Unfortunately, modafinil is not perfect. Care must be taken to not take it too late, because you will be up far later than you may want to be. Modafinil lets you feel 100% even with just a few hours of sleep, but it WILL catch up to you, and you don't want to be caught in a cycle like that. I also developed tolerance. After the first couple weeks, I was no longer able to take it daily and had to use it every other day at most for it to be effective. Even doubling my dosage didn't help much.Modafinil is great, but it is just a tool and it needs to be used correctly. Don't rely on it to always be there.",Pepper
3,Modafinil,ADHD,10.0,Taken for less than 1 month,"September 19, 2021",2,"I love modafinil. As someone without much options for treating adhd, it calms me down and I can focus on existing instead of overthinking. I’m not saying it’s a miracle pill as it’s a hit and miss for many but I feel like it’s better than nothing (with nothing I’m anxious and moody).  I tried armodafinil but I think it’s making me spacey and anxious so I went back to modafinil and it’s great. Worth a go!!",Anonymous
4,Modafinil,ADHD,1.0,Taken for 1 to 6 months,"April 14, 2021",8,"Doctor wanted me to try this before going back on amphetamines after years off of them in my early 20s. At 200mg a day it didn't do anything. Didn't feel side effects thankfully but didn't feel any relief. I have severe ADHD and social anxiety which is helped by amphetamines, so we stopped this and doctor put me back on amphetamines thankfully. I'm glad modafinil works for some but definitely didn't for me.",Maggie
5,Modafinil,ADHD,8.0,,"April 12, 2021",10,"Been on it for a month, 200mg per day. I like it, but definitely not the same person now.- Helped my chronic laziness. - Better focus. Feels very right, very normal. - I can hold coherent conversations with people now.- I can read more than a few lines without my mind drifting. - Confidence boost of sorts.- Makes me extremely jovial and exuberant. - Always had an eccentric and loud personality, but now I have literally no filter or composure and my ability to control or 'hold back' my impulses is worse, and I'll often find myself doing or saying whatever  is on my mind, more often than before. - Hyperactivity is worse.- Attention span is longer now, it's still not long enough to achieve much really. - Forgetfulness and overthinking I'd say is the same.Overall not sure if it's the Modafinil or the placebo effect that is owed more credit here, but works either way.",kitty
6,Modafinil,ADHD,7.0,,"June 8, 2020",24,"As a kid I was on Ritalin, without it I would have flunked. Once I reached my mid 20's the famed ADHD depression kicked in and I spent 10 years on anti-depressants.Work wise I ""grew out"" of my concentration problems, BUT it came back recently and I lost all focus. All I did at work was day dream for months.I code all day, and no this is not a magic pill to motivate you, you don't feel anything. Nothing at all..... BUT, I am sitting down at my desk and I'm typing. I still get distracted with the office chat and I don't get the unrelenting hyper focus others describe, but they helping.My mood is more level, dopamine is dopamine, my mood is neither up or down, or numb. I feel balanced but still like myself.I gave it 7 stars because my appetite vanishes and I get a dry mouth. When the effects subside I grow very hungry very quickly.",DannyDice
7,Modafinil,ADHD,9.0,Taken for 1 to 2 years,"May 14, 2020",40,"For those whose insurance won’t cover Modafinil: Try its prodrug Adrafinil. It’s metabolized into Modafinil in the liver, way cheaper (like $30 a month), classified as a food supplement in the US and unregulated in most countries.I (m, 38) have used both, Modafinil and Adrafinil for my ADD non hyperactive with considerable success. They seem to be interchangeable, but given a choice, I would prefer Modafinil as for me it seems to act faster and puts less of a strain on the liver. I am able to function well on it and it helps me overcome my task initiation blocks. I can stick to a boring task and get it done. It also helps improve my mood. Correct dosage is really important and I did develop tolerance after prolonged use. Taking a break from it for a few days every now and then helped with that. What I don’t like is that it makes my urine smell weird.",Martin
8,Modafinil,ADHD,1.0,Taken for less than 1 month,"May 7, 2020",12,"I think it helped with staying awake, thought that might have been placebo. Didn't do anything for ADHD-related symptoms.",Ian
9,Modafinil,ADHD,2.0,,"April 6, 2020",7,"For ADHD and narcolepsy. I took 300 MG a day for several months, hoping some improvement, but nothing, any difference. Even not side effects! Anything",Roro
