,drug,condition,rating,duration,review_date,upvotes,review,username
0,Amoxicillin and Clavulanate,Sinusitis,10.0,Taken for less than 1 month,"March 14, 2022",0,"Augmentin (amoxicillin / clavulanate):I had sinus for 6 months didn't get right doctor.A doctor in St John's prescribed augmentin 1g.It is strong no doubt. For a day little side-effects. After that nothing.Sinusitis disappeared. Had all sinus symptoms eye burning, jaw pain, throat pain, when put head down, altogether pain. All went off. As per many patients have more food to increase good bacteria.",1000mg high dos
1,Amoxicillin and Clavulanate,Sinusitis,1.0,Taken for less than 1 month,"March 7, 2022",0,All it took was one. After one hour of taking the first pill I felt lightheaded and dizzy. After two hours I felt sleepy. I knew that was the last one that I would take. My Dr. wanted me to take this medication for twenty one days for chronic sinusitis. No way. In the garbage they went. That night I also had an experience in the bathroom too.,Phil
2,Amoxicillin and Clavulanate,Sinusitis,10.0,Taken for less than 1 month,"January 20, 2022",2,"Augmentin (amoxicillin / clavulanate):Augmenting always works for my acute sinusitis, about once a year",Anonymous
3,Amoxicillin and Clavulanate,Sinusitis,1.0,Taken for less than 1 month,"December 5, 2021",0,"Augmentin (amoxicillin / clavulanate):This is my experience with Augmentin. I have a history of severe anxiety and am generally sensitive to medications. I had a tooth extraction and bone graft but also ended up with ear and sinus pain. I was given Augmentin and figured I'd be fine. I took the first dose and was okay. The next morning I had very loose stool and a bit elevated heart rate. The second dose in the evening, I had a horrible panic attack to the point where I nearly passed out/went to the hospital. The next morning I took my dose and ended up with an awful panic attack again a few hours later. Thats when I called my doctor and was told to switch to Amoxicillin. Everyones body reacts different. Definitely keep track of your symptoms, drink a lot of water, and rest!",AnxietyQueen
4,Amoxicillin and Clavulanate,Sinusitis,6.0,Taken for less than 1 month,"November 28, 2021",0,"Had a sinus infection lasting two weeks with severe facial pain that no amount of OTC meds helped. Was prescribed amoxicillin/clavulanate 875 2x a day with meals. Felt major relief by day two. However by the third night of sleep, something felt really off. Woke up several times throughout the night with panic attacks, chest pain, numb/tingling limbs, confusion, heart palpitations. I felt like I truly losing my mind. I continued use and thankfully did not experience another night that bad, but I still had extreme lethargy, blurred vision, dizziness, gas, discolored discharge, and loose stools. I stopped on day five, as my sinus infection was completely better. The side effects were no longer worth it.",Anon
5,Amoxicillin and Clavulanate,Sinusitis,5.0,Taken for less than 1 month,"November 20, 2021",0,Augmentin (amoxicillin / clavulanate):I've taken this briefly before but don't remember having side effects like this time around. I wake up in the middle of the night with nausea. I've had stabbing headaches that are worse than my usual vertiginous migraines. My stomach is so bloated and just very upset all the time. My ears feel better but I started another allergy med at the same time so I don't know if it's due to that or this. I certainly wouldn't take this med unless you really need it. Can't wait to finish.,elfontheshelf
6,Amoxicillin and Clavulanate,Sinusitis,1.0,Taken for less than 1 month,"November 18, 2021",0,"I was prescribed this by a doctor who knew I had panic disorder and GAD. This medication made me feel extreme panic, agitation and just a general feeling of wanting to run out of my skin. I also was not able to sleep. I’ll take sinus infection over how this medication made me feel any day. I was supposed to take 1 twice a day for 5 days. I made it to say three. The side effects were just too awful",Leah
7,Amoxicillin and Clavulanate,Sinusitis,9.0,Taken for less than 1 month,"October 25, 2021",1,"I have a nasty sinus infection, went into upper chest, thankfully called my doc before it went on to Bronchitis, which has happened times before.  I have taken Augmentin numerous times and it works GREAT and Very Quickly!!  My only problem, is trying to keep it down.  Hurts my stomach and I eat greek yogurt with it, still many times I can't keep it down.  I just got some tips on this site and in reviews to eat a light meal, not large.  And not to take probiotic the same time as take Augmentin, Alternate. Trying these suggestions.  Thanks",Anonymous
8,Amoxicillin and Clavulanate,Sinusitis,2.0,Taken for less than 1 month,"October 5, 2021",0,"Day one of this medication I started getting stomach pain. However, by day 2 it was gone. Thought I'd got lucky. How wrong I was. I managed 4 days of a 7 day course on this drug. The headache? Man let me tell you it was like no there headache I've ever had in my 38yrs of life. It felt like a band wrapped around my head getting tighter and tighter to a point it was making me dizzy and nauseated. I feel more unwell now than I did BEFORE starting these Antibiotics. I will never ever take them again. If you're prescribed these all I can say is good luck. You're gonna need it.",Bexta
9,Amoxicillin and Clavulanate,Sinusitis,2.0,,"September 30, 2021",0,"Worst ever medicine ..do not take itI repeat DO NOT.. I took a dose for 2 days.Been thru a nightmare heavy heart beat, breathing issues, anxiety, panic attack, head jaw neck nose pressure was worst.I was on a dose 875*125mg..worst one ever..I lost my appetite.",Megha
10,Amoxicillin and Clavulanate,Sinusitis,1.0,,"September 18, 2021",0,"I had a sinus infection and I did not know that I was allergic to amoxicillin clavulanate. I only took 2 pills 875mg each.  I am 48 years old, 5’1 and was 153 pounds. After this medication I had severe anaphylactic shock on day 2 after I took a 2nd pill. Chest pains, could not breath, felt like losing consciousness and ended up in ER. They could not figure anything out, and after 3 days developed peripheral neuropathic burning pain all over my arms, legs, back, and scalp. No doctor can help me now to heal me from this damage.  I saw a neurologist, dermatologist, an allergist,  and primary care! I have to now take gabapentin as nothing else helps me with severe pain after amoxicillin.  Folks think for yourselves.  This is a terrible drug that can lead to disability as I was a very healthy woman before who used to work full time and practice Yoga. Now I depend on pain medications such as gabapentin for nerve pain, and extra strength Tylenol.  This drug ruined my life. Do not take it.",Olechka
11,Amoxicillin and Clavulanate,Sinusitis,10.0,,"August 26, 2021",0,"I had a wicked sinus infection with full-on facial pressure spreading to ear and within less than an hour of taking the first pill I got relief. It's awesome! The congestion in my nose eased, the pressure in my cheeks eased. I was finally able to breathe and sleep. Large pill but took with lots of water and food so it was fine. No side effects for me.",LisaC
12,Amoxicillin and Clavulanate,Sinusitis,1.0,Taken for less than 1 month,"August 16, 2021",0,Augmentin (amoxicillin / clavulanate):Was prescribed Augmentin 875 for a 14 day period. On day 2 I’ve had over 20 hours straight of uncontrollable belching and acid reflux. These aren’t burps they are explosions of gas like a beaker is overflowing. I’m talking thousands an hour. May go to the ER,In pain
13,Amoxicillin and Clavulanate,Sinusitis,10.0,Taken for less than 1 month,"August 2, 2021",4,"Augmentin (amoxicillin / clavulanate):Having new medication anxiety, a sensitive stomach, acid reflux, and an irrational fear of diarrhea and vomiting made me terrified of taking this medication after reading a lot of these reviews.But! The key here is food. Avoid anything that upsets your guts. Eat something right before taking the pill and eat a probiotics yogurt 2-3 hours after taking the pill. This will help with angry tummy & also help prevent yeast inflections caused by antibiotics, ladies. Don’t skip a meal and snack on crackers or the likes throughout the day. This med is bad if it is in an empty stomachs.Coming from someone who has taken lower dose amoxicillin only and gotten the runs every time, with sticking to a strict regimen of never letting the gut be empty and eating the yogurt 2 hours after taking the pill I’ve had no side effects and started feeling better on the 2nd day. Goodbye bacterial sinusitis.",GenieBean
14,Amoxicillin and Clavulanate,Sinusitis,9.0,Taken for less than 1 month,"May 30, 2021",5,I’m on day 3 of 5 Amox Clav 875 125 . I have a terrible sinus infection. Day one my stomach felt a little nauseous. Next day I had diarrhea it lasted the day I ate some bananas and drank a yogurt smoothie and it seemed to help . I think the stomach upset and diarrhea was just my body adjusting to the antibiotics. Today is day 3 and my stomach is calm but I do feel really tired and low energy. My sinuses are not so clogged I can breath a lot better so the medication seems to be working . I would recommend for sinus infection because I know how stuffy and miserable I felt and I would definitely deal with the side effects to be better . I’m going to continue to take my 5 day course.,Rlund
15,Amoxicillin and Clavulanate,Sinusitis,4.0,Taken for less than 1 month,"March 30, 2021",7,"Augmentin (amoxicillin / clavulanate):This is the 2nd time I have been Rx'd Augmentin. 2nd time I have been violently ill 2 hrs after taking it.Diarrhea, vomiting, stomach pains and headache.Much to my husband's delight, I also have laryngitis from puking so violently",Tri tri
16,Amoxicillin and Clavulanate,Sinusitis,4.0,,"March 27, 2021",11,"Augmentin (amoxicillin / clavulanate):Was diagnosed with sinus infection. I have not used antibiotics in years. Put me on Augmentin. Took fourth dose this morning, so day three.  I feel horrible! So tied, foggy, just want to sleep, my heart feels a little racey, bad gas, diarrhea yesterday, bad cramping. Taking with food and probiotics.  I am trying to give it a chance but I can't seem to do anything but sit here. I almost felt better before starting it.",aspengirl35
17,Amoxicillin and Clavulanate,Sinusitis,4.0,Taken for less than 1 month,"March 26, 2021",1,Just started taking this for acute sinusitis. Day 2. no change and I  feel rubbish. Burning up. Head is exploding. No sleep for days. Hope Hope Hope it works. Feel absolutely awful.,Missy
