,drug,condition,rating,duration,review_date,upvotes,review,username
0,Donepezil,Alzheimer's Disease,10.0,Taken for 6 months to 1 year,"January 7, 2022",1,Aricept (donepezil):My mom is taking donezipil for Parkinson's dementia. It's like a miracle! Her memory has improved really dramatically! It's been working for about a year now.,Glad
1,Donepezil,Alzheimer's Disease,5.0,,"October 5, 2021",1,I have been using this for almost two years at a dose of 10mg.  I have still forgotten names and have trouble as I will forget a story I was just trying to tell.  Seems to be getting worse but I can still exist.  for people who have a problem with nightmares - do not take your meds late in the day or at night,Anonymous
2,Donepezil,Alzheimer's Disease,1.0,Taken for less than 1 month,"March 24, 2021",29,My poor mom was up all night with bad nightmares and talking all night in a state of confusion. Today she is like a zombie with no appetite & refuses to get out of bed because she is so tired. I should have looked up the side effects first.  I am livid with the Dr. that prescribed this,Anonymous
3,Donepezil,Alzheimer's Disease,1.0,Taken for 6 months to 1 year,"January 4, 2021",41,"My husband took Donepezil.For 6 months and when he needed a back procedure,  his heart rate was 35 so we were sent to the ER for9 hours.  When we finally had a room in the hospital, we waited till the morning for the heart specialists. The said he did not need a Pacemaker and he was allergic to Donepezil. He was off of it for 1 month,His heart rate was normal.",Anonymous
4,Donepezil,Alzheimer's Disease,5.0,Taken for 2 to 5 years,"November 3, 2020",66,"My mother had been taking this medication donepezil for about 2 years now for what the Dr. believes to be either Vascular or Lewy Body's dementia when she started to develop horrible tremors. She was extremely frustrated and constantly asked me why she would shake. When we questioned the doctor about it she said she had Parkinson's. However, during the pandemic, I ran out of her donepezil and noticed that her tremors stopped. I am very upset that her Dr. would assume that it was something as debilitating as Parkinson's and not the medicine. We have not started her back on the Donepezil and she continues to be tremor free.",Thelma
5,Donepezil,Alzheimer's Disease,2.0,,"May 24, 2020",160,"My mom has been experiencing memory loss for the last couple years.  Her short term is memory is questionable, some days are better than others, but overall she has been able to stay relatively independent, able to take care of herself.  Her doc put her on 5mg of Donepezil daily.   About 5 days into taking she started to have big memory gaps in her long term memory.  Forgetting that my dad had passed away 20 years ago.  Thinking she had returned from a trip, when she has not been anywhere for ages.  It went from I don’t know what day it is to your dad dropped me off this morning I need you to come and get me.   Today she took all the pictures down in her apartment, packed up all her clothes and and told me she was cleaning.  Change happens with this Disease. But not in 7 days.   When I called her doc and explained,  he basically told me to watch for the physical side effects and to continue with the meds. I have stopped the meds myself.  I wanted to just share my experience.",Sayaints
6,Donepezil,Alzheimer's Disease,1.0,,"February 29, 2020",157,"Aricept (donepezil):My mom took this for 4 days and it was the most horrible experience of all of our lives.  She has very mild dementia from stroke and TIAs. We thought perhaps her inability to walk and anxiety could be helped by a neurologist and this was prescribed.  We should have waited for the MRI. She did not eat hardly at all.  She cried a lot and at night she went completely insane.  She thought I was her mother.  So the doctor took her off of it.  Then the 2 weeks of withdrawal with hallucinations, diarrhea, etc, wandering around without clothes.  I am afraid she will never come back to herself again. One of the worst things I have ever been through and I can't imagine how bad it was for her.",Eve
7,Donepezil,Alzheimer's Disease,7.0,Taken for 1 to 6 months,"January 12, 2020",39,"My first experience with Donepezil 10mg was nasty, It affected my sleep in a bad way and made my memory, speech and basic cognitive functions worse and I was continuously lethargic.After 2 months on the drug I can honestly say I feel a huge difference (for the better).There is a big improvement in both my memory and speech and it's really made a difference  in my day to day life and daily tasks .",Teeps
8,Donepezil,Alzheimer's Disease,1.0,Taken for less than 1 month,"November 12, 2019",40,Aricept ODT (donepezil):When I began taking this medication  Aricept  I immediately began having very bad stomach cramps. I made it 4 days and the cramps were relentless. I had to stop taking this medication.,inertia40
9,Donepezil,Alzheimer's Disease,1.0,Taken for 2 to 5 years,"October 22, 2019",50,Aricept (donepezil):This was used on one of my parents. EXPENSIVE -Does not help and caused diarrhea,sam
10,Donepezil,Alzheimer's Disease,8.0,,"October 20, 2019",98,"My 57 year old husband was diagnosed two years ago. He started on donepezil, 10 mg at bedtime 7 months ago. Within a month he experienced clarity that had been long gone. He is happier, more self confident and remembers much more. Is he his old self again? No!  But, much improved compared to where we were a year ago.  He has not had any negative side effects.  My fingers are crossed that this will continue because it has made life so much more bearable.",Kathleen
11,Donepezil,Alzheimer's Disease,8.0,Taken for 2 to 5 years,"July 24, 2019",24,Donepezil was great at the beginning taking 5 mg for 3 years.  Maybe I need to increase the dosage.,Boudreaux
12,Donepezil,Alzheimer's Disease,8.0,Taken for 1 to 2 years,"July 20, 2019",55,"Aricept (donepezil):Update , now on 10 Mgs of Aricept  for Alzheimer's. Memory has improved a bit but still some confusion when driving . Overall I feel  like it is helping . Can now finish most sentences but mind still wanders . Time will tell . I'm turning 61 next well and very thankful for my Neurologist . God Bless.",Bob872
13,Donepezil,Alzheimer's Disease,5.0,Taken for 1 to 6 months,"June 27, 2019",48,"Aricept (donepezil):My MD tagged my DL (drivers licence)when she prescribed this med.  When I asked why she said ""we report every prescription of this med to the DMV.""  So (age 71) I took the written test and am scheduled for the road test.  Proctor said ""you did VERY well!"" on the written test! Not too worried about the driving test (my 40 YO niece says ""you drive better than I do!""). So be forewarned. Drug well tolerated, no issues. Is it doing anything good?  Who knows?",berta59463
14,Donepezil,Alzheimer's Disease,1.0,,"June 16, 2019",57,Aricept (donepezil):Had great hopes for Aricept to help but it left me very weak and sore from nausea and diarrhea 8 hours after taking.  I could do very little all day. I weigh less than 100 lbs and think even 5 mg was too much for me. Glad it works for some . I will not take this med again.,mary
15,Donepezil,Alzheimer's Disease,,Taken for less than 1 month,"April 27, 2019",25,Donepezil made 81 year old mother in mid stage dementia VERY dizzy. A big NOPE from me.,Calendula
16,Donepezil,Alzheimer's Disease,9.0,,"April 13, 2019",82,"My 85 year old mother was diagnosed in January with Alzheimer’s and vascular (mixed dementia) and put on donepezil.  This year previous to this had been very difficult year when her word power left her (she couldn’t remember the name of objects), she could no longer write and was unable to keep her accounting books -  to name just a few issues.  She was also very depressed with no motivation at all.  Since being on donepezil (10 mg) she is much brighter in herself - wanting to do things and go to places.  She has recently had new curtains and blinds put in throughout her house - something she wouldn’t have even contemplated a year ago.  Her writing has improved noticeably and she is attempting to keep her books again although I don’t think this is hugely successful.  She still forgets words.  She says it has given her some of her confidence back. As a whole we have found that donepezil’s biggest improvement has been in her state of mind and attitude and for that alone we are very grateful.",pablo
17,Donepezil,Alzheimer's Disease,9.0,,"January 23, 2019",60,"My mom is on donepezil and namenda. Last xmas 2017 my mom was doing terrible. Very depressed, memory was getting noticeably worse. We couldn't get her to leave the house. My brother and I decided at 73 years old her time was ending. Mom had suffered many losses in her life including loss of a son who died at 21, her husband who passed at age 52 and 2 sisters ( 1 in her late 40's,  the other in her early 60's.) Mom has made a remarkable recovery. She no longer needs a walker,i s eager to go everywhere, her mood and zest for life is amazing. We've seen an drastic improvement in her memory. [She had told dr she was having memory problems.] I recently started looking up her meds. Maybe there was good reason I hadn't looked them up before. Upon reading reviews truly I would have been scared. I have no idea if it's because of these meds but feel truly blessed to be sharing more precious time with my mom. She actually calls my husband and I to check up on us if we're sick. Also calls to see when we are available to take her out.",sunshine
