,drug,condition,rating,duration,review_date,upvotes,review,username
0,Desvenlafaxine,Fibromyalgia,1,Taken for 1 to 6 months,"January 14, 2022",1,Does nothing for my Fibro pain. On it for 8 weeks now. Will taper off. Disappointing.,Bilko
1,Desvenlafaxine,Fibromyalgia,10,,"December 3, 2016",18,"I have been dealing with Chronic Fatigue Syndrome (CFS) for over 12 years. I am a 31 year old male who is in overall athletic shape. It is important to note that my mother has Fibromyalgia and it is quite possible that I have it and not CFS. My CFS diagnosis was after a bout of chronic Mono in my 20's. I have tried many anti-depressants over the years because a common effect with the chronic fatigue has been depression. I was prescribe Prestiq 4 weeks ago and I feel normal again. My energy level is much, much better. My mood has improved drastically. My energy level still is not what it was before Mono but the improvement has been great. My only side effect has been a slight decrease in sex drive and a harder time reaching orgasism.",BrandonLee
2,Desvenlafaxine,Fibromyalgia,10,Taken for 2 to 5 years,"August 3, 2016",11,I have been on Pristiq for almost 4 years. I have almost no go to pain on this medication however the side effects of no sexual drive and no emotions are so much better than the excruciating pain I was in. I highly recommend this medication for fibro but please read every bit of information you can about trying to get off of it. Makes you want to die with the withdraws.  And I don't have health insurance so I have to pay $335 per month but it is so worth it to be able to function in life.,My favorite Cathy
3,Desvenlafaxine,Fibromyalgia,10,Taken for less than 1 month,"November 22, 2015",18,"I've been diagnosed with Fibromyalgia for a few years now, was raised to 450 MG a day because my pain kept increasing. I had chronic fatigue, was DX with sleep apnea, have a CPAP mask and take all kinds medications just to be able to sleep. I kept having very bad days to where I could barely walk and would get very shaky and twitchy. Finally I was DX with severe depression and anxiety, and was prescribed Pristiq. From day one, it calmed down my anxiety and has taken away 90 to 95% of my pain, I have a ways to go in my depression but I'm no longer confined to my bed. I've been on it for almost a month now and absolutely love it, I have a little trouble with sleep some times but with my CPAP and sleep meds I'm able to get great sleep.",Anonymous
4,Desvenlafaxine,Fibromyalgia,7,Taken for 6 months to 1 year,"November 16, 2014",5,I am suffering from severe fibromyalgia and chronic fatigue syndrome since last 3 years and was initially on duloxetine up to 60mg. Initially at lower dosage help to alleviate my pain up to 50 percent and actually I felt like after many years I woke up fresh around 6 am in the morning at dosage of 60 mg but within a week it's made me a zombie specially in night. I had difficulty In sleep and in the midnight I started to have  electric shock like sensation. Than started on pregabalin  and increased dose to 300 mg which elevated my pain around 70% but I put up a lot of weight and joint pain. Settled on 50mg of desvenlafaxine with 80% pain relief with 150mg pregabalin further helped me. This combination worked best for me but still some pain killers raised my LFT 8tims further causing fatigue.,psych ajay
5,Desvenlafaxine,Fibromyalgia,9,,"April 14, 2012",45,"Pristiq (desvenlafaxine):I am 37 yrs old, suffered 8 mths with unbearable pain. Took Lyrica and Plaquenil for 6 of the eight months with little or no relief. Started Pristiq and Xanax less than a week ago and I can feel all the twitching and excruciating pains gradually going away. I feel like I'm gradually awaking from a terrible nightmare.",foxyracquel
6,Desvenlafaxine,Fibromyalgia,7,,"February 23, 2012",17,Pristiq (desvenlafaxine):My Dr. prescribed Pristiq 50mg. after taking Cymbalta because of the terrible side effects. The only side effects Pristiq has given me is the lack of sexual desire but Trazodone 50mg. which I also take balances out that effect. I also take Tranxene7.5mg before bedtime and get at least 5 hours of straight sleep! I am doing much better.,Triple pain
7,Desvenlafaxine,Fibromyalgia,4,,"January 9, 2012",15,"Pristiq (desvenlafaxine):Bad side effects for 2 weeks when starting this medicine. Tolerated it fairly well for a couple months. I was on 50mg, then 100 mg. It did raise my blood pressure. No libido issues like I had when on Efexxor.  It did nothing for my fibromyalgia and it took me a few weeks to stop it. Coming off the Pristiq was was worse than starting it. Very nasty headaches everyday. It also made my hair fall out at an alarming rate. Handfuls. My hair stopped falling out about a month after I stopped the Pristiq.",pinky447
8,Desvenlafaxine,Fibromyalgia,1,,"December 30, 2011",10,Pristiq (desvenlafaxine):I have been on Pristiq for muscle condition and fibromyalgia pain for over a month. No improvement in pain. Wish I had some of these marvelous results.,Anonymous
9,Desvenlafaxine,Fibromyalgia,9,,"August 13, 2011",27,I am a  Chilean psychiatrist working with a psychological team and have experience with 50 patients suffering for many years from fibromialmgia with excellent results.,Anonymous
