,drug,condition,rating,duration,review_date,upvotes,review,username
0,Augmentin,Skin or Soft Tissue Infection,1,Taken for less than 1 month,"August 28, 2021",0,"After taking Augmentin, the very next day, I had the worst migraine of my life. I don’t know how I powered through school but I did. The next day, the migraine was still very present. Woke up and vomited because my head was hurting so bad. I went back to the ER. They hospitalised me after that for four days. Had CT scans and everything. Worst experience ever on Augmentin, that is.",Girl
1,Augmentin,Skin or Soft Tissue Infection,8,Taken for less than 1 month,"May 22, 2020",9,"Took Augment 10 days twice a day, 875mg. Great experience but did not fully get rid of my stubborn infection. It only made me a little gassy with no other side effects.",anon
2,Augmentin,Skin or Soft Tissue Infection,10,Taken for less than 1 month,"May 10, 2020",16,"I took augmentin for a nasty stye that was getting increasingly worse.  I do not have a good track record with antibiotics as I have either broken out in hives or it has caused some intolerable mood swings. I was nervous about taking it, but the stye caused me so much pain that I gave in. Hours after the first dose, the stye came to a head and immediately started draining. It felt like so much of the pain had finally left my eye. By day 4, other than the scar/scab, my eye looks and feels like normal. My digestion is a bit out of whack, but I deal with other complicated gastro issues, so this was not a big deal for me. Probiotics and kefir to help!",AllOkay
3,Augmentin,Skin or Soft Tissue Infection,1,Taken for less than 1 month,"March 31, 2020",16,"I was prescribed Àugmentin (Amox-Clav) 125mg every twelve hours for 10 days. Starting having diarrhea the day I started and by day five I became so sick I thought I was going to have to go to the ER. Horrible stomach pain and cramps, fever, extreme weakness, painful muscles mainly in legs, nasty sweat, nightmares, and I lost my sense of smell...which may have been a good thing since I was pretty much stuck in the bathroom. The fever and pain lasted two days after I stopped taking the augmentin on day five. The diarrhea has continued (on day eight after discontinuing drug) and is pretty much spontaneous. I can’t go anywhere. I have never had stomach issues in my life (I’m 50). I fear my gut is damaged beyond repair. This is a nasty, nasty drug. Also has worsened my depression and mental state in general.",Lacey
4,Augmentin,Skin or Soft Tissue Infection,10,Taken for less than 1 month,"March 21, 2020",19,"I had a stye that turned into cellulitis with extreme swelling, redness and pain. If you google the most extreme pics of periorbital cellulitis, I looked worse than those. My lower eyelid was so swollen that it was projected so far out that when I closed my eye, my inside tissue, the mucous membrane was completely exposed. It felt like my skin was ripping apart. I was prescribed 1000mg Augmentin and after the first tablet, I was about 25% better. After the second tablet, all pain was gone and it went down to looking like a normal stye again. This was in just 24 hours. By the end of day 3 you'd never know it happened. I've also been prescribed Augmentin for bronchitis and respiratory infections and it's quick and works great for those as well.",Riley
5,Augmentin,Skin or Soft Tissue Infection,1,Taken for less than 1 month,"January 23, 2020",10,"I was prescribed Augmentin for what my doctor thought was a skin infection on my right leg. Well after taking my first dose within 2 hours my stomach became extremely upset... burning...nausea... diarrhea....bloating...and anxiety and panic has always been a issue for me but after Augmentin it was immediately 20 times worse. My Dr ended up telling me to stop taking it on day 5 cause it was getting worse and worse. My skin infection cleared up with some hydrocortisone cream and antibiotic ointment but its been over 3 months since stopping this med and I'm still having major stomach issues and mental isses, so please be careful people especially if you have anxiety or stomach issues before hand.",Bethel
6,Augmentin,Skin or Soft Tissue Infection,8,Taken for less than 1 month,"October 22, 2019",4,"When I received a shot of Novacaine at the dentist for one of my front teeth, it seems he hit the nerve going from the gums into my nose. My left nostril swelled so that it look like a pig nose and was extremely sore to the touch. After three days on the Augmentin, all the pain is gone and the swelling has come down to about half its original size, so my nose looks normal. I was particularly worried because I had to perform in two concerts two days after my first dose. The infection formed scabbing on both the outside and inside of the nostril. A little cover-up applied to the outside got me through both concerts. Still have swelling inside but it’s doable. High marks for this antibiotic.",USAMaid
7,Augmentin,Skin or Soft Tissue Infection,2,Taken for less than 1 month,"August 3, 2019",13,"I started this 6 days ago for an infection for a knife cut on my thumb knuckle. It seemed to work and swelling is down however I was advised to stop using it due to the side effects. Severe nausea upon waking, chills, agitation, unable to keep still yet tired, lightheaded and fatigued. The panic attacks and constant catastrophic thinking really made me need to stop this med. I hope it killed the infection because I think I may need a medicated coma for my next round",Murphy
8,Augmentin,Skin or Soft Tissue Infection,5,Taken for less than 1 month,"July 30, 2019",7,Had Augmenting  a year ago for severe sinus infection..Just had again this time for a dog bite. 2 boxes and both times bp went up and takes ages to go back to normal after finish.,Cxtne
9,Augmentin,Skin or Soft Tissue Infection,1,Taken for less than 1 month,"June 10, 2019",6,Bitten by a dog got prescribed this worst experience of my life. I cannot sleep and I feel like throwing up the entire time. I just close my eyes and wait till the sun rises. Lay in bed wake up eat take my course and repeat....hate this antibiotic...,Cole
10,Augmentin,Skin or Soft Tissue Infection,10,,"March 20, 2019",3,Augmentin has been a saving grace for my acne. It works so great when NOTHING else works. Unfortunately over the years it has lost its effectiveness. 10 years ago I would take  a course and have clear skin for months. Now a full coarse of aug 875mg will only last a few weeks after taking it before the unbearable itch and painful acne appear. Not sure what step to take next...,Cuzo
11,Augmentin,Skin or Soft Tissue Infection,9,Taken for less than 1 month,"November 14, 2018",34,I feel like the people that come on here to read reviews are people like me who have anxieties about taking medications. I needed this medication for a skin infection after my c section. I was nervous about the symptoms after reading the comments on here but I had ZERO problems with this medication. I was prescribed 875mg 2x daily. I made sure I ate a pro-biotic yogurt before starting this med and had one every day for 7 days until I was finished. I had no upset stomach or diarrhea.,Gi
12,Augmentin,Skin or Soft Tissue Infection,1,Taken for less than 1 month,"October 10, 2018",9,"Throughout the whole course I had horrible nausea and diarrhoea :/2 weeks after finishing the course I'm still sick!So fatigued, flu like symptoms, chills and sweats, terrible cramps and always in the bathroom. I've now been diagnosed with colitis from augmentin.I'm more sick after the course than I was before I actually needed the antibiotics!!I've never had a reaction to any other antibiotic so would never ever take that again.",nauseousgirl
13,Augmentin,Skin or Soft Tissue Infection,1,,"September 15, 2017",11,"Took this for 10 days after a cat bite got infected.  Noticed hyperactivity during the course, but it was two days after I finished the course that the real fun started - fatigue, head fog, inability to do anything, weight loss (three kg in four days!), really bad insomnia (unable to sleep until 5 am), unable to stomach anything except carbs.  After a week of this the nausea started, so that I couldn't eat anything without debilitating nausea.  Headaches too.  Am still in it after two weeks.  Treating myself with ginger tea for nausea, slippery elm, probiotics, dandelion leaf and root for liver, lemon water, vegetable juices.  I  will never take this again.",catbite
14,Augmentin,Skin or Soft Tissue Infection,2,Taken for less than 1 month,"September 3, 2017",2,This med was given as a result of a deep gouge from a dog nail. Healing was not occurring after 4 weeks including a trip to a ambulatory care. My doc said they treated it incorrectly. He prescribed this. I have an appointment at the wound center Tues.  Dr also said it needed debriding. After 5 days I see no improvement. If anything the area is more red and sore.,Anonymous
