,drug,condition,rating,duration,review_date,upvotes,review,username
0,Valproic acid,Bipolar Disorder,2,Taken for 1 to 6 months,"November 30, 2021",4,"My husband was prescribed valproic acid for his bi polar disorder. He became a different person  or I  should say a shell of a person.  He could not even hold his head up. He became ill, vomiting unable to hold anything down and dehydrated. He ended in the hospital over it. I would not recommend this medication to anyone.",Maria
1,Valproic acid,Bipolar Disorder,9,Taken for 1 to 6 months,"October 3, 2021",1,"Excellent! I've been completely stable since the medication fully kicked in, and am now trying to put my life back together after 13 years of being manic and depressed (misdiagnosis). The only downside for me was severe insomnia when I first started taking the medication, my doctor prescribed a very ugly sleeping med to ""take when needed"" (nozinan). I almost stopped taking it, VERY happy that I kept taking it!",Jim
2,Valproic acid,Bipolar Disorder,1,Taken for 1 to 6 months,"January 7, 2021",31,"This drug is clearly extremely dangerous for some people. It was for me. I felt like I was an entirely different person - and not a normal person either. It was as if an alien had taken over my body. I had bizarre paranoid thoughts, started thinking I was seeing symbols in everything. I lost all motivation and purpose. I became depressed and suffered from chronic insomnia that caused me to be awake at night and asleep during the day. My right hand started to tremble involuntarily. It got so bad that I couldn’t write or type. I lost the dexterity of my fingers such that I had to purchase voice recognition software to type and use my computer for the  work I was doing. And my memory crumbled. I would walk into the kitchen from another room only to forget why I went there. This happened constantly and daily.",ResearchDetective
3,Valproic acid,Bipolar Disorder,10,Taken for 1 to 6 months,"December 21, 2020",5,"I’ve been taking 125 mg in the morning and 375 mg at night (total: 500 mg daily, I’m very small— 4’11 and 100 lbs), and I feel like this med has helped me a lot. I have bipolar 1 disorder, which was never severe until last year when I turned 27. A few months ago, I was almost hospitalized after not sleeping for a week and being very agitated/hallucinating, but then started this med. I’m sleeping 9 hours a night, and able to work again! It has been about 2 months since I started the med, and I’m slowly rebuilding my life.",Lo
4,Valproic acid,Bipolar Disorder,2,Taken for 1 to 6 months,"September 16, 2020",4,"So previously I was on sodium valproate awhile ago for Bipolar Disorder and I think I was on a low dose along side with lithium and back then I didn't notice any side effects. However now I am on a 500mg dose and it is causing some problems. I've noticed that I am starting to urinate all the time, and I also believe it has gotten to the point of also causing unpleasant pains in my testicles. My gut feeling is this drug is not really the suitable for bipolar as it also slows the mind and also creates bad brain fog from which I've experienced. Lithium really is the go to for Bipolar or lamotrigine.",Jay
5,Valproic acid,Bipolar Disorder,10,Taken for less than 1 month,"April 9, 2020",21,"Have used this medication before with great results but due to alcoholism have always stopped taking it I also have Crohn's disease and ulcerative colitis which during severe flare ups have to use corticosteroids to control  it, which make my bipolar symptoms uncontrollable especially the mania. Have started this medication again and this time I will stay on it because I feel it will literally save my life. Some minor side effects like weight gain, dry mouth etc but that's nothing compared to the symptoms of my illness. All the best to everyone in a similar situation.",Bjay
6,Valproic acid,Bipolar Disorder,10,,"February 29, 2020",28,Once diagnosed with bipolar 2 they switched me from seroquel to sodium valporate. Initially 200mg am & pm. Difference was amazing! Sure bit of loose bowel but that went away. I was clear focused & calm. We did base line blood levels. But whilst waiting to see psychiatrist next I went slightly high then crashed next week. Fortunately I managed to get a message to Psychologist & psychiatrist. Dr wanted to increase dose but when you've lived with lows it becomes normal. I didn't know how bad I was. Luckily my appointment with psychiatrist was about 4-5ndays later. He realised I could hardly tell what day it was. I little memory of the previous few days. He wanted to admit me but I have no care for my son. So he increased my dose immediately to 500am & pm. Bit groggy first am but came good extremely fast. Absolutely an amazing drug. Acts so fast. Little bit of dry mouth but think that'll pass. It's a life saver. I really wanted to stay working & it got me back to normal very quick.,veronikanchad
7,Valproic acid,Bipolar Disorder,10,Taken for 1 to 2 years,"February 8, 2020",7,"Valproate sodium has been very, very helpful with the symptoms from bi polar have tried lots of other medications for this with no success until I was put on sodium valproate",Lucky
8,Valproic acid,Bipolar Disorder,1,,"January 9, 2020",7,"I was prescribed this medication after being diagnosed with bipolar. After a few weeks I found I was in the most depressive state I’ve ever been in - no hope, no will to live, the most insecure I have ever felt in my entire life. Did I mention the weight gain aspect of it? - actually water weight, not fat but it isn’t pleasant regardless. I work from 6am-5pm every day. I go to the gym from 6pm-9pm every night, yet I couldn’t sleep for the life of me. The insomnia it caused had me sleeping less than 3 hours a night which when dealing with bipolar is just asking for trouble. I don’t like this medication, the side effects I had a problem with may seem stupid but to me, feeling that way in general and about myself is not a life worth living. This medication made every day more of a struggle to get through than ever before. I have talked with my Dr. and am going to explore more natural supplements along side my healthy lifestyle and therapy.",Crys
9,Valproic acid,Bipolar Disorder,7,Taken for 10 years or more,"December 23, 2019",11,"Have been on Valproic acid1000 mg. Recently was told lower to 750mg at bedtime for insomnia. Feel flat affect; would like my feelings back. Tremors were a problem. Less after lowered meds. Diarrhea aplenty! Thinning hair, depression, nightmares. Sharp pain right abdomen wakes me up from sleep.",Miss P.
10,Valproic acid,Bipolar Disorder,3,Taken for 1 to 6 months,"May 25, 2019",15,"Not for me. Didn’t do much to stabilize me at low levels and sedated me at high levels. Also the side effects of Nausea, hair loss, zero sex drive etc didn’t help. There were periods where I thought it was working but those never lasted.",Bipolarbear
11,Valproic acid,Bipolar Disorder,9,Taken for less than 1 month,"March 6, 2019",19,"Wow. Quick acting and highly effective in stabilizing bipolar II disorder. Some initial side effects were vivid dreams, trouble sleeping, racing thoughts and upset stomach. All of which have passed. That being said, this is my first mood stabilizer but it has been really effective none the less. Turns out I’ve had bipolar and not just manic depression. Really worked for me. I’m on 500mg CR per day",Casanova
12,Valproic acid,Bipolar Disorder,1,,"October 17, 2018",32,Awful awful medication. Give me anger like I've never had and at very random times. Also I am not an angry person in the slightest. Secondly also gave me very depressive tendencies and sent me to the ER.,M33gzz
13,Valproic acid,Bipolar Disorder,2,Taken for 1 to 6 months,"October 6, 2018",29,"I’ve been on it for about 3 months now.I can’t say it has been good at all.Last month has been the worst - aside the lack of efficacy I experienced weight gain, thinning hair, tremors, diahrrea.From a ‘mind’ point of you I have never been so confused, one minute good the next very anxious and with lots of irrational racing thoughts (and I’ve been prescribed it over lithium for its supposed anti- anxiety properties).I’m trying to convincing my doctor it’s not the drug for me.Best wishes to you all",Pally5
14,Valproic acid,Bipolar Disorder,5,Taken for 2 to 5 years,"September 14, 2018",17,"The jury is still out on this medication (branded as Epilim). I was prescribed 1.5g a day to act as a mood stabiliser. It's hard to tell if it's any better than previous medications. I didn't suffer any immediately obvious side effects and my mood does appear to have been mostly 'stable' since using it. Though I have suffered from increasing memory loss in the years since taking this drug so there could be possibly be a link there? I have read on some of the epilepsy (a condition this medication is usually prescribed for) forums that some 'users' have also experienced short term memory loss. Perhaps one day (probably after I'm long gone, or at least after my mind has faded away) evidence will come out to support this? For this reason I can only rate this drug as a neutral 5, with not much firm evidence either way. It's unlicensed for my condition and hence I am (as we all are) being experimented on to some degree.",Anonymous
