,drug,condition,rating,duration,review_date,upvotes,review,username
0,Amoxicillin,Bacterial Infection,10.0,Taken for less than 1 month,"January 8, 2022",0,I am really surprised that antibiotics helped me with my back pain. 100% of my back pain went away. No pain killer or other back pain medicines helped. Most of the doctors do not  give prescription of antibiotics for lower back pain. I was given antibiotics for something else but it cured my back pain . I used doxycycline for 10 days then amoxicillin for next 10 days. I asked doctor to give me second dose because I felt it was curing lower back pain. People suffering from lower back pain please try antibiotics hopefully it will fix your back pain problem.,Satwant
1,Amoxicillin,Bacterial Infection,1.0,Taken for less than 1 month,"November 30, 2021",1,"After a nasty cold, I ended up with a double ear infection. My doctor prescribed amoxicillin. I suffer from IBS, GERD, and gastritis so my GI system is very sensitive. Amoxicillin was absolutely horrible. After one dose with food, I was projectile vomiting, had horrible stomach pain, and was throwing up blood. This is one of the worst medications I have ever taken. If you have stomach issues I would take this with caution. I will never take this again.",Anonymous
2,Amoxicillin,Bacterial Infection,1.0,Taken for less than 1 month,"September 26, 2021",0,"Apo-Amoxi (amoxicillin):I was on this for 3-4 days for a bacteria infection from a wisdom teeth removal (nearly 3 months after). I noticed that I was getting constipated, took something for that. Then had consistent diarrhea for 2 days, also with constant nausea. I have since stopped since it got rid of all my bacteria in my gut. Slowly getting back to normal.",Banana
3,Amoxicillin,Bacterial Infection,,Taken for less than 1 month,"September 15, 2021",0,"I was put on amoxicillin yesterday. I have have had what we believe is a virus for a week, but it spread to my chest and a secondary bacterial infection formed. I couldn't breathe easily, especially in my right bronchial area, there was a burning sensation and my heart rate was higher than normal so I couldn't sleep easily. In the past 24 hours I've had 3 pills and the burning sensation is nearly gone. I had an excellent night's sleep. However tonight the inside of my lips began to swell. I have no known allergies and have taken amoxicillin before. Luckily the swelling seems to have stopped without them getting noticeably large, so I'm going to go to sleep and see how it is tomorrow. I'm tempted to try continuing the course for the remaining 4 days because it's really helped, but I know it's said if you get swelling, that's considered a severe reaction and to discontinue. Curious what others would advise having had a similar reaction.",Happy to share
4,Amoxicillin,Bacterial Infection,1.0,Taken for less than 1 month,"August 8, 2021",0,Causes abnormal heart beat and fainting if I don't stay lying down while on the drug. Its side effects are a tad scary.,kerrca
5,Amoxicillin,Bacterial Infection,8.0,Taken for less than 1 month,"January 26, 2021",6,I have an abscessed wisdom tooth I was prescribed 875mg amoxicillon for my infection.  I have been taking it for about 2 days and I'm starting to feel relief but I'm still going to have my wisdom tooth removed.,Frog
6,Amoxicillin,Bacterial Infection,6.0,Taken for less than 1 month,"December 10, 2020",2,"Today is day 7 of my 10 day round of Amoxicillin for an infected toe nail. Yes, it clears up the infection. But, not without intense lingering headaches all day long, starting when I first wake up. Tylenol has very little effect on the pain. Laying in a quiet dark room helps a little bit for about an hour, then it's back to throbbing, ringing ears and nausea. It feels like an intense migraine and tension headache combined.   I am prone to yeast infections with Amoxicillin, so I took two rounds of Diflucan as well. That wasn't the issue this time.",Anonymous
7,Amoxicillin,Bacterial Infection,10.0,Taken for less than 1 month,"November 16, 2020",4,"Got some takeaway food and then  days later got  tummy pains that I have never had before in my life.  They were persistent would not go away, in fact got worse. I knew I was in trouble. I got some amoxicillin and I spread three pills over 2 days, and it worked.I took it on a empty stomach works best if you don't drink milk or juice. I would say don't over do this drug, but it works infection is gone. Side effects were  mild because I did not over do it.",searcher
8,Amoxicillin,Bacterial Infection,,Taken for less than 1 month,"October 22, 2020",0,"Had strep infection of the throat, doctor prescribed amoxicillin and within the third day I had gotten a yeast infection and broke out in hives all over my legs , stomach, and arms. I've had amoxicillin before and never had a reaction, I'm not sure if it was the dosage or not, but I stay clear away from it now.",Aurora
9,Amoxicillin,Bacterial Infection,1.0,Taken for less than 1 month,"October 1, 2020",0,I was getting my wisdom teeth removed. The dentist sent me home. I took my first dose of amoxicillin. Put me out. Woke up a few hours later with my body in hives. My skin and mouth started to peel,Jus
10,Amoxicillin,Bacterial Infection,8.0,,"September 5, 2020",8,Developed a pain in mouth last Tues Couldn’t sleep with pain so dibilitatingAlso had tenderness in lower gums Went to Dr and he put me on 875 ea of Amox 2 per day It’s now Saturday and pain almost minimal and no bump in gums Guess I gotta see dentist ASAP to hopefully make this thing go away completely,Mikey
