,drug,condition,rating,duration,review_date,upvotes,review,username
0,Augmentin,Urinary Tract Infection,3,Taken for less than 1 month,"January 5, 2021",6,"Ok. I thought I could alleviate the absolutely horrible side effects associated with this medication by avoiding the adverse drug interactions and making sure I took each dose on a full stomach, but no. This is the antibiotic is awful. The debilitating side effects that I have experienced beginning on Day 4 are unrelenting nausea, headache and body aches. I can work and function with the flu, but this is worse than the flu.  This is my third time attempting to take this medicine. I’ll never try it again. Avoid at all costs!",Katy
1,Augmentin,Urinary Tract Infection,1,Taken for less than 1 month,"December 8, 2020",1,Augmentin made may UTI incredibly worse. I'm 31 year old male with no catheter who had no urinary symptoms before taking Augmentin w/ Probiotics.  This drug is truely awful.,NEVER USE
2,Augmentin,Urinary Tract Infection,1,Taken for less than 1 month,"November 6, 2020",3,I took augmentin for prostatitis since I had faecalis bacterial infection.  I took it for 21 days then decided to stop because of the tinnitus that started on day 10. I stopped taking it day 21 hoping it goes away I do not recommended this. I took this to try to avoid cipro and fluoroquines only to get a side effect from this,reviewingt
3,Augmentin,Urinary Tract Infection,1,,"August 25, 2020",8,"This is a strong antibiotic and it’s horrible on the stomach.. after only a couple of hours, my entire stomach was hurting very badly with severe diarrhea and anxiety. I switched to Keflex hoping it’s better",Anonymous
4,Augmentin,Urinary Tract Infection,8,,"July 26, 2020",11,"Augmentin worked by day 2 better by day 3, 2 x day 875 strength. Does cause diarrhea and stomach pain  but works.",fiffie
5,Augmentin,Urinary Tract Infection,10,Taken for less than 1 month,"May 8, 2020",46,I have had recurring UTI’s and have tried just about ever antibiotic and nothing else has helped me. Cephalexin did nothing and I am allergic to Bactrim. Cipro caused me to have severe tendinitis in my Archilles tendon.However I am doing well on Augmentin and can put up with the loose stools as I started feeling better by day 3. Taking a Probitrinol probiotic is helping me as Florastor did not work for me.Drink plenty of water and get lots of rest.Not all medications work for everyone so trial and error will work the best.,CJ
6,Augmentin,Urinary Tract Infection,10,Taken for less than 1 month,"September 1, 2018",3,Badcold acute asmatic side effects bloaty pains while stooling and urine no sex pain hmm so wat yogurt  use?,Humorous
7,Augmentin,Urinary Tract Infection,10,,"August 12, 2018",39,"Augmentin has worked really well on my recent UTI. I started 2 a day Augmentin for 7 days along with copious amounts of Cranberry Juice (see References below) and within less than a day temp was down from 103F to 99F.  Pain had dropped from level 8 to a level 2 in a day.Take with yogurt or with a meal,  increase fluid and fiber intake.Finish all the medicine even though your symptoms have gone after a few days.  Prevention is the best approach.  DO Wash hands thoroughly after wiping and before any contact near your urinary tract.References:Kontiokari, T., Sundqvist, K., Nuutinen, M., Pokka, T., Koskela, M., & Uhari, M. (2001). Randomised trial of cranberry-lingonberry juice and Lactobacillus GG drink for the prevention of urinary tract infections in women. Bmj, 322(7302), 1571.Howell, A. B., & Foxman, B. (2002). Cranberry juice and adhesion of antibiotic-resistant uropathogens. JAMA: the journal of the American Medical Association, 287(23), 3082-3083.",HomeDoc
8,Augmentin,Urinary Tract Infection,2,Taken for less than 1 month,"September 6, 2017",35,"I was prescribed 250/125 Augmentin 3x daily for a bad UTI that was turning into a kidney infection and hadn't responded to Cipro. The fatigue, fever, and chills are bad enough with a UTI, but add Augmentin and it amplified it by 10. I have been in bed since I started taking it two days ago, I can't stop shaking and my joints feel like they're going to explode!Not to mention the vivid, hallucenenic type nightmares and the constant feeling of paranoia and feeling on the brink of a panic attack!! If you have anxiety like I do DO NOT TAKE THIS UNLESS YOU HAVE TO!!! I had a mental breakdown about taking another dose as I don't feel I can handle these side effects much longer. 9/10 would not take again, doesn't seem to be helping the infection",NeverAgain94
9,Augmentin,Urinary Tract Infection,1,,"June 12, 2017",54,"Feeling horrendous, like I'm being poisoned!Was prescribed this after a trip to A&E with an upper UTI/kidney infection. I don't normally take meds and I'm trying to avoid antibiotics as I have leaky gut but the Dr urged me to take them as the infection was so bad.Anyway, the first day or 2 weren't too bad but then I woke up and felt like I'd been hit by a freight train.Here are some of the things I've been experiencing:Nausea, bloating, thrush, severe migraine like headaches, loss of appetite, depression and mood swings, paranoia, anxiety, dehydration due to constant urination, burning pain in my limbs and a stiff neck, a feeling of being hungover each morning, dizziness and 'brain fog' and a dry cough! Never taking these again!!!",LauraH1981
10,Augmentin,Urinary Tract Infection,10,,"March 11, 2016",81,Had UTI.  Took Augmentin 875 twice a day for 2 weeks.  Worked like a charm.  Took it with Greek Yogurt  and had no gastrointestinal problems.,Dave 2
