,drug,condition,rating,duration,review_date,upvotes,review,username
0,Voltaren,Osteoarthritis,3.0,Taken for less than 1 month,"February 26, 2022",0,"I was prescribed Voltaren 75 mg tablets 2X daily for knee and foot arthritis pain after initially using the gel and Aleve with no improvement. The first week, it worked like a miracle and I walked 30 minutes daily on treadmill with NO pain at all. Life was good again! The second week, it had no effect on my pain. The pain is back. I am so discouraged. I am trying it for another two weeks. I wish I knew why it worked so well to begin with and now doesn't.",LT57
1,Voltaren,Osteoarthritis,1.0,Taken for 5 to 10 years,"October 11, 2021",0,"Voltaren DOES NOT, I repeat DOES NOT WORK on my Arthritis pain located at the joint of both thumbs. Very painful and limits hand function due to the pain. I have tried for a few years just to see if it would develop into a helpful remedy, JUST A WASTE OF TIME AND MONEY. Does not relieve any pain in thumb joints at all. This product is garbage.",James B
2,Voltaren,Osteoarthritis,7.0,Taken for 2 to 5 years,"September 16, 2021",0,DO NOT USE THIS GEL AND EXPOSE IT TO THE SUN FOR EXTENDED PERIOD. I have used this for several years for hands and knee as needed.I recently used it on both hands and went golfing (Florida) For about four to five hours. That evening I had serious itching on  the back side of both hands.  Then my ungloved hand swelled up and was very uncomfortable.  I tried Ice then Cortisone cream but it was no help.Next day I took prednisone and in two days the symptoms went away.I mentioned this to another golfer who told me he had same experience on his knee that resulted in skin coming off!,Sam
3,Voltaren,Osteoarthritis,,Taken for less than 1 month,"February 1, 2021",25,"Suffering knee pain diagnosed as mild osteoarthritis. Tried many different oils and creams and then paid for a tube of Voltanen emulgel. Garbage, this company should be charged with fraud, may as well rubbed with nothing. Please don't waste your money on this rubbish.",Rob
4,Voltaren,Osteoarthritis,1.0,Taken for 6 months to 1 year,"February 1, 2021",8,Useless. To claim that its good effect lasts for up to 12 hours is a disgrace. It doesn't work at all.,Westie
5,Voltaren,Osteoarthritis,1.0,Taken for less than 1 month,"October 14, 2020",4,"Most disgusting smell ever, like real cheap men's cologne.  Tried it for a couple of days, reeked so much I wasn't able to sleep.  Not worth it, no more effective than using tiger balm.",travellife
6,Voltaren,Osteoarthritis,1.0,Taken for less than 1 month,"July 25, 2020",17,I tried Voltaren because it was new and different and nothing else on the market helped with my knee pain. I followed the directions and found that it doesn't work either. Definitely not worth the price I paid. I'm hoping that some day I will be able to find a product that actually does what it claims.,Big C
7,Voltaren,Osteoarthritis,1.0,Taken for 1 to 6 months,"July 10, 2019",22,Voltaren didn’t do anything for my knee problems. Worthless.,Cootje
8,Voltaren,Osteoarthritis,,Taken for 1 to 6 months,"April 21, 2019",21,I currently have osteoarthritis in my left knee. I had arthroscopic surgery in January of this year. I think the surgery has not helped my problem. I use Voltaren gel on my knee three times each day. I am very pleased with the result and have had less pain since using this treatment.,Ray
9,Voltaren,Osteoarthritis,2.0,Taken for 1 to 6 months,"April 2, 2019",17,Not effective for arthritis in my hands. I felt no difference whatsoever. Very expensive and not effective.,Shelly
