,drug,condition,rating,duration,review_date,upvotes,review,username
0,Linzess,Constipation Chronic,10.0,Taken for less than 1 month,"March 31, 2022",0,This worked for me the second day! A little too well! And I was soo skeptical because I go every 8 days!!! I was really suffering. Soo grateful,Rnwithconstipat
1,Linzess,Constipation Chronic,9.0,Taken for 1 to 6 months,"March 29, 2022",0,"After reading the reviews here, I was worried about taking the drug for moderate constipation. Here’s my story:  I’ve been getting worsening constipation since quitting smoking 15 years ago at age 35.  I always eat healthy whole foods (not processed), exercise 3-5 days per week and drink over 50 oz of water daily and still have constipation!  2 years ago I developed SIBO -a bacterial overgrowth of the intestines associated with constipation IBS and the like.   My experience with Linzess 145 mcg capsules: great!I did not have diarrhea at all, no cramps either.  It’s not a complete cure for me, I still take Miralax twice a week plus keeping up my healthy eating and exercise.  If I don’t drink water, it won’t work as well.  Also, it took a couple of months for me to get regular but I finally am regular and have been for the last 3 months.",Chris
2,Linzess,Constipation Chronic,2.0,Taken for less than 1 month,"March 29, 2022",0,"Expensive and ineffective.  I was taking 1 pill of dulcolax each night and doctor recommended Linzess.  Not only was it extremely expensive $250 for first month with double insurance and coupon (I'm in my 50s), but it didn't seem to do anything the first few days.  Days 3-5 I had extreme pain and  extremely loose stools. I could get the same result with the $5.00 bottle of milk of magnesium.I am eating less processed carbs now and take high dose vitamin c and 400 mg of magnesium before I go to bed.  This seems to work better along with 2-3 x per week of dulcolax",betteD
3,Linzess,Constipation Chronic,4.0,Taken for less than 1 month,"March 18, 2022",0,Just started on 145 mg. Had to visit ER at last resort for such pain. All blood work and x-rays were fine. All xray's found was constipation. My first week on Linzess seemed to work. Two days of diarrhea and felt better. It all stopped and pain started again. Called my doctor and hope he will increase dosage. Cannot go through all the nights in pain. Most reviews are great ones. So wish me luck.,Hopefull
4,Linzess,Constipation Chronic,7.0,Taken for less than 1 month,"March 3, 2022",0,"I’ve had constipation all my life. Just started linzess a week ago. It’s a roller coaster ride. Some days nothing but when it works, there’s no time to get to the toilet! I literally had no warning and had to get in the shower to wash myself off. It was very liquidy and a horrible odor. So when it works, be near a toilet about 30 minutes after taking it or there will be a big mess. At least I’m going. Just be prepared to not go anywhere for up to two hours. My stomach gurgles all day also.",Sharon
5,Linzess,Constipation Chronic,1.0,Taken for less than 1 month,"February 4, 2022",1,Even with insurance. $295!  Ripoff.  So much for affordable care..  Needless to say I wouldn't pay it.,SUEM
6,Linzess,Constipation Chronic,9.0,Taken for 1 to 6 months,"January 4, 2022",1,"I was prescribed Linzess after being backed up for more than 3 weeks. A trip to the ER and what felt like an exorcism of my colon later, the GI gave me this. The first couple of days taking it my stomach cramping was still happening and I had a lot of discomfort. Taking it regularly produces bowel movements on a regular basis. Once I was going every couple of days I stopped taking it and started getting backed up again. Took it with the hopes of it working later in the evening, but it worked within an hour or two and I was racing for the toilet at a family gathering /:",Jamie
7,Linzess,Constipation Chronic,10.0,Taken for less than 1 month,"December 16, 2021",1,"This little pill has helped me tremendously with chronic constipation due to hypothyroidism. I take on empty stomach as soon as I wake up and it usually kicks in about 2-3 hours later and can give me up to 4 bowel movements all morning so you definitely want to be near a bathroom and I take the lowest dose. I can’t make appointments till later in the day, however if I have a morning appointment I will skip that day and just have one regular bowel movement.",Anonymous
8,Linzess,Constipation Chronic,3.0,Taken for 1 to 6 months,"December 12, 2021",1,"Linzess worked wonders for me at first. 30 days after starting the medication I experienced an episode of full-body hives that landed me in the ER. At first I did not suspect that the Linzess had anything to do with it, but after a second reaction 2 months later, I made the connection and had to stop taking it. I was surprised to discover that hives are listed as a possible side effect.",Hives!
9,Linzess,Constipation Chronic,8.0,Taken for 1 to 6 months,"December 9, 2021",0,"Linzess did act like a laxative. It produced a diarrhea effect 100% of the time I took it. Within about 3-5 hours, I needed to run to a toilet! I was no longer constipated, that's for sure!",Nee G
