,drug,condition,rating,duration,review_date,upvotes,review,username
0,Orlistat,Obesity,10.0,Taken for less than 1 month,"March 11, 2022",0,"I wrote this to help others looking at review before buying. I have tried all fad diets , never work and I never stick toanything as I can’t control what I eat -  I love snacking! Anyway, I brought these off the cuff and wow.",Pudzey
1,Orlistat,Obesity,6.0,Taken for less than 1 month,"March 8, 2022",0,"One week in, 6 pounds gone. I have used in conjunction with Noom to keep me in track with what I’m consuming. Prescribed by the GP, 5 stone to lose, let’s hope I keep seeing the losses.In terms of the dreaded side effects, mainly visit the loo in the morning after a coffee or two. As I’ve been following a plan of sorts I’ve had nothing unpleasant other than orange poop, it does make me nervous though as if you don’t go and hold on you can get a bit of leakage",Cya
2,Orlistat,Obesity,5.0,Taken for less than 1 month,"February 17, 2022",0,"Alli (orlistat):I am reading all these great things about Ali and I’m so disappointed… I got so Very ill after I took it. I honestly thought I was going to die. I’ve looked for drug interactions and I can’t find any with the medication I take. I’m on an opiate pain reliever for my back. I took Ali with my lunch and felt like I got the flu within an hour body aches chills almost like I was withdrawing from my pain medication. But then I read and searched on the Internet and didn’t find any interactions so I took it again with my dinner . This time I broke into a sweat, profusely sweating had chills so bad that was violently shaking was so dizzy that I couldn’t even stand up I was nauseous, My muscles started cramping up and I couldn’t breathe…(I might have been panicking and I do have asthma ) and then after about two hours it went away again. It was a very scary experience and I thought about going to the hospital but I couldn’t even walk across the room to get to my phone.",Liza
3,Orlistat,Obesity,10.0,Taken for 1 to 6 months,"February 10, 2022",12,"Take home message is that this tackle works, and works well. On the down side, had I known taking a bit of a gamble on an iffy fart whilst walking round Waitrose would turn out to be quite so catastrophic then I’d have taken drastic steps. I also wouldn’t have been wearing white rugby shorts. Low point in my life, the ignominy of having to dash to the toilet with turd-oil down my leg was the turning point. I quickly learned that the way to stop making the back of my boxers looking like a dropped lasagne was to stop eating the rammal that had turned me into a fat idiot in the first place. Within a few days, each fart became less of a gamble and each parting company on the toilet looked slightly less like I’d tipped a bucket of Sunny Delight mixed with 5w30 oil down it. Don’t get me wrong, it’s going to be a good while before I have the confidence to show any level of enthusiasm on the trumping front but I did manage this morning to do one I could hear without washing my gooch.",SuperLeeds
4,Orlistat,Obesity,10.0,Taken for less than 1 month,"January 23, 2022",2,"Xenical (orlistat):Brilliant from Wednesday to Sunday on this I lost 3.5kgs which is 7lb!! I have none of the bowel problems people have complained about and no issues at all with the medication.  I was worried as I usually struggle with new tablets but these are great no side effects for me. For reference I'm 5ft 8 inch and I was 91.5kg and I'm now 88kg in 5 days, obviously some will be water weight but I'm very happy",Stacey
5,Orlistat,Obesity,1.0,Taken for 1 to 6 months,"November 6, 2021",0,Xenical (orlistat):I have been taking Xenical for 1 month & I have lost no weight. Feeling totally disillusioned. I weigh 14st 8lb & need to loose at least 3 stone as I am 5ft 6inches. Age 50.,Sinead
6,Orlistat,Obesity,10.0,Taken for 10 years or more,"November 1, 2021",1,"Xenical (orlistat):I have been on three 120mg Xenical daily on prescription  plus diet and exercise. I have been a  Yo Yo for 12 years in good faith, I cared.  Xenical has not worked for me, I have not lost any weight or fat. GP cares I care.",Molly
7,Orlistat,Obesity,10.0,Taken for 1 to 6 months,"October 21, 2021",1,"Been using Orlistat 120mg for nearly two months. I’m peri-menopausal and nothing was shifting the weight. I’ve lost 1.5 stone, a dress size smaller, and got my waistline back. Yes you poo oil, but if anything, it’s helped with my IBS. I’ve been healthy eating through the week but at weekends, I eat occasional takeaway and treats, I don’t overdo it but I don’t deny myself. No exercise as I’m always on the go so imagine the weight loss if I did! I feel like this medication has been a miracle for me.",BellAnna
8,Orlistat,Obesity,7.0,Taken for 1 to 6 months,"October 18, 2021",0,Lost 2kg in 1 month. Could have probably lost much more but the problem is knowing that the medication prevents approx 30% of fat I ended up justifying eating 30% more snacks. Not a great weight loss plan if you lack self control like me.,Natasha
9,Orlistat,Obesity,,Taken for less than 1 month,"October 11, 2021",0,"Xenical (orlistat):My BMI is 31 and I'm 91kgs. Today is my day 5 taking Xenical and no yellow stool or expelling any kind of fat or discharge. The only thing I'm noticing is gassy stomach I fart a lot. I'm exercising and watching what I eat. But I feel like maybe it's not working for me, there's no sign that I'm expelling excessive fat. What  is your take on this? less side effects or simply not working for me.Help I'm confused",Katie Mazib
10,Orlistat,Obesity,10.0,,"August 27, 2021",1,"Orlistat is very good so far I have it after gaining a whopping 3 stone in pregnancy which made me obese I'm 5ft.3  my little one is now 16 months. I mange to loose a stone and a half then it all plateaued and for my BMI I was still classed as obese.  I have only had minor sides effects due to only taking 1 a day in the morning ,I will slowly get it up to 3 if I need to. As a single mum I can't risk the side effects just yet. I have been on it for 6 days with making healthier choices and just walking as much as I can and have lost 3 pounds, so I'm very happy and do not feel the need to take more than one a day. ATM I would definitely recommend it gives you that extra boost but if you are worried about side effects just start off small I'm still loosing weight",My review :)
11,Orlistat,Obesity,10.0,Taken for less than 1 month,"August 12, 2021",0,"Orlistat weight loss aid is excellent for those on a low carb high fat diet.I saw that it was working 24 hours after taking my first capsule.If you don't eat fat  you won't loose fat with this med, so a high carb diet will not produce good results.",ladyheaton
12,Orlistat,Obesity,,Taken for 1 to 6 months,"July 22, 2021",8,I started Orlistat on 29th May 2021 and to date have lost 3st 2lbs(just under 20kg)they are amazing but boy oh boy if you try to cheat them by eating some real naughty stuff then Karma smacks you full in the face with a ton of stinking nasty oil straight out of your butt.,Cupidsbow
13,Orlistat,Obesity,10.0,Taken for less than 1 month,"July 21, 2021",17,"Hi girls I have started Orlistat only 3 days ago! I have had it prescribed from GP as I can’t shift weight at all tried loads of diets!!! Pleased to say no nasty effects (did noticed the oily stools, have been going to the toilet only once a day max twice) I have lost 1 kg already!! I am fallowing a low calorie diet to so let’s be positive! Scared to eat rubbish as I heard you can have accidents lol! So I have been a good girl and no accidents so far!",Ora
14,Orlistat,Obesity,10.0,Taken for 1 to 6 months,"July 7, 2021",91,I've been on orlistat since May 2021 and today (July 2021) I got weighed at my drs surgery and I've lost a whopping 2 stone in 7 weeks!! I feel fantastic and will continue to use orlistat to help me lose my weight.  I haven't really changed a lot in my diet except I've stopped snacking on junk!,Lucky78
15,Orlistat,Obesity,10.0,Taken for 1 to 6 months,"June 15, 2021",41,"Alli (orlistat):I purchased Alli at Target. It worked for me. I have only been on it for 2 months. I went from 238lb to 226lb. I am happy with the results so far. I am on the path of getting gastric sleeve surgery, but I might not do that if this continues to take off the weight. As long as I eat healthy there are no side effects, but I do occassionally cheat and deal with the side effects then. It's no big deal though and worth it to me.",katie51
