,drug,condition,rating,duration,review_date,upvotes,review,username
0,Lexapro,Depression,7.0,Taken for 1 to 6 months,"March 15, 2022",1,"Okay, It kinda worked 50/50. At first lifted my depression (but I got hypomania). Major anxiety at first. It helped with dissociation tho. I couldn't sleep at night and I was sleepy during the day. I also had an episode of like half(?) depression. I am not saying I don't recommend it, actually I do, because it has changed *something*. I JUST WASN'T DEPRESSED, IT WAS BIPOLAR, so that's a pity. I didn't have any serious physical side effects. (10 mg)",olivia from eu
1,Lexapro,Depression,10.0,Taken for 2 to 5 years,"March 2, 2022",2,"I started taking Escitalopram about 3 years ago to address anxiety and depression. For the first week, I started at 5 mg and then 10 mg and experienced a panic attack and some increased anxiety, excessive yawning and nausea. These side effects disappeared within a few weeks. I am now taking 20 mg and find that this is the most effective dose for me. The medication helps me to feel more motivated, my brain feels calmer and I am more easily able to counter negative thoughts rather than dwelling on them, I have more energy and my mood feels more stable with less ups and downs especially around my menstrual cycle. I also feel less anxious in social situations and previous situations where I would feel anxiety, such as before making a presentation at work. Overall, this medication works really well for me and I’m satisfied.",CatLover42391
2,Lexapro,Depression,6.0,Taken for less than 1 month,"February 21, 2022",3,"After resisting for so long, I took my first 5mg Lexapro last night at night. Shaking as I took it but I needed to stop the depression and anxiety. Took it at 8pm, because the other time I took it was in the AM and fought drowsiness. Slept great. But the drowsiness hit me at 8am. Still drowsy but trying to push through it so I can enjoy the day. The comments have been great and help as I start this journey.",Boxergirl
3,Lexapro,Depression,4.0,Taken for 1 to 6 months,"February 19, 2022",0,"I was taking 10 mg for 2 months, after 5 weeks on that dosage I felt depressed & weepy & suicidal.  Consulted my Dr who increased dosage to 20 mg daily after a few days felt happy again , but after 4 weeks started feeling sad again",Lacey may
4,Lexapro,Depression,1.0,Taken for 1 to 6 months,"February 15, 2022",0,"This medication literally traumatized me... my first antidepressant after being absolutely terrified to try medications and it was the worst experience of my life. I almost ended up in the hospital for suicidal thoughts, worse than ever before. Obviously all medications work different for everyone and all are worth a try, but be careful with this one.",Anonymous
5,Lexapro,Depression,,Taken for 2 to 5 years,"February 9, 2022",4,"Amazing drug I felt like it really helps me just live life finally, after trying many other drugs. I highly recommend if you having social anxiety or depression",LilGbabyonSC
6,Lexapro,Depression,9.0,Taken for 6 months to 1 year,"January 18, 2022",3,"I've been on Lexapro for about 6 months now for depression and I cannot express how much I love this medication: my depression symptoms have decreased by about 90%! Yes I did have some side effects: increased anxiety, agitation and strange mood swings but be patient, these do eventually go away. It took about 8 weeks for it to work and during that time I did think about quitting, so I strongly urge anyone in their first 8 weeks experiencing side effects to hold it out because it's worth it in the end. I was originally on 10mg but I've increased to 15mg as I was feeling less depressed but unenthusiastic on 10. The extra 5mg has given me more energy and positive emotion.",Toby
7,Lexapro,Depression,5.0,Taken for 2 to 5 years,"January 18, 2022",1,"I got on Lexapro shortly after the birth of my daughter. I recently quit taking it after 3.5 years. Lexapro helped me to come out of my depressed state, somewhat. I no longer felt sad, but at the same time, I did NOT feel joyful. I increased my dosage to 20 Mg and still didn't feel a difference. I also felt like it numbed my feelings. In those 3.5 years, I cried only once. During major life events (like losing a loved one) I felt nothing. The two reasons I decided to stop this medication were because it didn't help to achieve a more ""happy"" state and I gained 20lbs. I started this medication weighing 120 and am now at 140. Healthy eating habits and exercise have always been part of my routine so the weight gain could not be attributed to a sloppy lifestyle. I could no longer deal with the weight gain. The weight SLOWLY came. 5lbs at first was not that big of a deal, but when I could no longer fit into my clothes I'd had enough.",Danielle
8,Lexapro,Depression,10.0,Taken for 1 to 6 months,"December 31, 2021",5,"Took 5 weeks of awful side effects before it kicked in. But when it did, it was a marvel. Thankyou.",Allan Beel
9,Lexapro,Depression,10.0,,"December 30, 2021",4,"When I first took Lexapro I had a headache and Diarrhea,  that was when I was on 5mg. When they put me on 10mg everything get better with my depression and anxiety and this was after a week",Anonymous
