,drug,condition,rating,duration,review_date,upvotes,review,username
0,Senna,Constipation,4.0,Taken for less than 1 month,"March 31, 2022",0,"Senokot (senna):I used senokot last night around 9:30 pm. I had eaten a lot of food that day and still didn’t have a bowel movement so I took one of the laxatives, and went to bed. I woke up the next morning with awful stomach cramps and I didn’t know if it was from my period or from the senokot so I went to use the bathroom and everything came out, after that the stomach cramps stopped. It’s now 11:15 am and my stomach is just a tiny bit uncomfortable. I think it’s because I didn’t get EVERYTHING out yet. But I didn’t have a terrible experience with it. I probably won’t use again incase I get more of the other terrible side effects that I am terrified of.",Senokot
1,Senna,Constipation,1.0,Taken for less than 1 month,"March 29, 2022",0,"Don’t use this! I am currently in full affects of 2 tablets. I have not stopped vomiting. I can’t even keep down water that I sip! I feel hot, sweaty, dizzy and just like there is something seriously wrong. Should I try and ride it out?",Teaspoon
2,Senna,Constipation,10.0,Taken for less than 1 month,"March 26, 2022",0,"The last time I had a bowel movement was 9 days ago, then two days after that movement I took myself to hospital as I felt my innards were about to explode.  I was sent home in agony to let 'nature take its course'! (Virus...of course) Didn't eat for days, then the wife bought me these, which I took two of last night and 15 hours later into today - FINALLY!!! I emptied what seems to be a blocked colon. These gave me no pain while I've been in agony blocked without them. Don't understand why others had issues.  I did drink lots of water first...you not only want to be fully hydrated before taking these, but you want to be hydrated beyond this to take into account the effects of senna.",Andy B
3,Senna,Constipation,1.0,Taken for less than 1 month,"March 15, 2022",0,Senokot (senna):Took this at night before to help with constipation. Next morning small movement. And then slowly the pains built up to intense stomach cramps that lasted well into the early hours of the following day. Unable to sleep. 3 days later and things are still not quite right. Never again.,JWA
4,Senna,Constipation,1.0,Taken for less than 1 month,"March 10, 2022",0,"Senokot (senna):That stuff ripped through my intestines and gave me diarrhea and chills for hours. It doesn't just relieve constipation, it gives you a colon cleansing. Would not recommend it unless you have a really strong stomach or really bad constipation. The box saying it's gentle is a lie.",Do not use!
5,Senna,Constipation,3.0,Taken for less than 1 month,"March 3, 2022",0,"After taking Senna for constipation, the next evening I started having cramps. Then the cramps worsened (scale of 1-10, pain was a 9). My stomach was making gurgling noises, so I tried to sleep it off. However, the cramps were so bad, they were waking me up every 2-3 minutes. About 2am, I felt very cold and started shaking and realized that I had the chills. I made my way to the bathroom, so I could take a hot shower and bring my body temperature back up but then I started to feel nauseous.  I was heaving and gagging, but didn't have any food in my system.  Then I got the chills the 2nd day again. I sat out in the sun to warm myself up but I started gagging and throwing up outside. It's been 3 days and I still feel slight cramping and I'm still not 100%. Sometimes I feel like I have a slight fever and my stomach is still  extended. NEVER AGAIN...",Smooth Move
6,Senna,Constipation,1.0,Taken for less than 1 month,"February 28, 2022",0,Senokot (senna):Took one pill before bed at around 9pm. At around 3-4am (I can’t tell you the exact time as I blacked out) I got extreme sharp pains in my lower abdomen that lasted until around 8am. The first sharp pains I got up to take some paracetamol but ended up passing out and woke up on the floor with a nice lump to the back of my head which I had hit on the radiator on the way down. No idea how long I was out for but felt sick when I woke up so tried to get to the bathroom. Next thing I remember was being on the bathroom floor so must have passed out again. Pain was excruciating and spent the rest of the night on the bathroom floor. If my husband had been home I would have gone to the hospital it was that bad- would have been a little embarrassing but after loosing consciousness probably would have been a good idea. Wasn’t able to get to my phone to ring for help either. Would give this one star as I did manage to go to the toilet at around 11am the following day.,Unhappy
7,Senna,Constipation,1.0,Taken for less than 1 month,"February 24, 2022",0,"Senokot (senna):My fiancée took it around 10pm, woke up at 7 am and is constantly on and off the toilet unable to pass anything until 20 minutes after but before that she was in such pain she was literally shaking. If you’re reading this after the fact then have some still water, milk, yoghurt or camomile tea. It should help and avoid spicy food and fizzy drinks",Do not take!!!
8,Senna,Constipation,8.0,Taken for less than 1 month,"February 12, 2022",0,"Ex-Lax Maximum Relief Formula (senna):I have chronic IBS-C and I typically go about 3 days without a BM and I find that normal. Well this past week I could not get any relief. I tried miralax, flaxseed, Metamucil, fleet glycerin suppositories and liquid suppositories to no avail. I have take dulecolax in the past and it has always woken me up on the 6hr mark in screaming pain. It feels like a drank lava. I can feel myself about to faint because of the pain. So I decided I needed to try a senna lax and OH MY GOD. I was in a panic last night thinking about my terrible experience and waiting for the cramps to set in. While I did cramp, it’s been wayyy less brutal and I actually had a normal bm this morning. I will definitely be taking this again if I ever need some extra assistance. Please don’t use this product long term as your body can become dependent. Now if this product made you feel absolutely terrible I suggest trying the dulcolax. My grandma swore by it and didn't like ex lax. Everyone’s body reacts differently!",Ooda
9,Senna,Constipation,4.0,,"January 29, 2022",0,"1st time I took a pill, that was OK.2nd time I had aliviolas syrup, has cassia, same thing as senna, omg, 24 hours later I still have cramps , had a bowel movement but it wasn't worth the side effects  NO WAY, EVER AGAIN",Shirley
10,Senna,Constipation,1.0,Taken for less than 1 month,"January 25, 2022",0,"Barely pooped, and spent half the day with agonizing abdominal cramps and persistent vomiting. I took this once before with no problem but today was awful. Looks like a fair amount of others can't tolerate it either.",Anonymous
11,Senna,Constipation,2.0,Taken for less than 1 month,"January 20, 2022",0,"Senokot (senna):I am a 26 year old man who can handle a dodgy stomach. 1 senokot and I suffered extreme stomach pain and watery poo like someone putting there finger over a hose. It was the worst! I took at 11:15pm, woke up at 4:30am like a burst fire hydrant, then 7:30am came the second wave. I had to work that day and turned up late. I was practically useless due to the diarrhea every hour. The stomach cramps were on and off constantly throughout it all and were terrible. The only reason for the second star is because it did work. It’s was just one of the most awful experiences of my life. Avoid at almost all costs unless it is your ONLY option!",Charlie H
12,Senna,Constipation,1.0,Taken for less than 1 month,"January 4, 2022",0,"Senokot (senna):Oh my god how I wish I could go back in time. I took one tablet last night as I was quite badly constipated and I regret it SO much. I have had a terrible sleep, with horrible abdominal pains (equivalent to my bad period cramps), cold shakes and lightheadedness - I went to the bathroom when I could finally bare to move and I am somehow more constipated than before - so bad that I actually collapsed/passed-out on the toilet and have cut/bruised my eye. I am so so scared as I’m only young and alone at Uni at the moment and I genuinely feel like I may die the pain is that bad.Please, I suffer from constipation often, and I would rather be constipated all those times than take this again. Don’t take it!",Reviewer
13,Senna,Constipation,1.0,Taken for less than 1 month,"January 3, 2022",0,"Senokot (senna):I took one tablet as had felt constipated  for several days. Shortly after taking it, I was in a serious condition, doubled over in pain much worse than labour pain, I thought I was going to die. I screamed with the pain of each contraction. This went on all night and for several hours after.  I was in a cold sweat and sat on the toilet screaming all night. I did not want my young daughter to be frightened, so kept the door shut and used the toilet downstairs.  I felt completely exhausted and wrecked for days afterwards as if had been through a babies labour. I wanted to call an ambulance but was in too much pain to move from the toilet. I have never experienced pain like this and have had long labours with 3 babies weighing 10 lbs. This was unbearable and the pain 10 out of 10.  I have not gotten over it, it was terrifying. I thought I was going to die. Please do not take this poison.",Maisy
