,drug,condition,rating,duration,review_date,upvotes,review,username
0,Prazosin,Anxiety and Stress,1.0,Taken for less than 1 month,"December 17, 2021",5,"My Nephrologist prescribed this to me, 1 mg at bed time. Tonight is the first time trying it and within 2 hours I started having a severe panic attack, with blood pressure 135/100 with a 130 heart beat. Needless to say, this isn't fun. I suffer from failing kidneys, anxiety and stress, nightmares when I do get to sleep and insomnia due to not wanting nightmares, probably... as well as a lifetime of PTSD (non combat). What's worse is it is recommended not to take Ativan with this medicine, which is the anxiety med I have that WORKS. I wish my doctor told me more about the medication other than it gives people funky dreams. He did not tell me that this medicine interacts poorly with half of my medications. Oh, and suicidal ideation-became a lot stronger.",Peaches
1,Prazosin,Anxiety and Stress,,Taken for less than 1 month,"December 5, 2021",1,"I have schizoaffetive disorder, ocd, panic attacks, social phobia and emotional abuse from my peers along with being in to satanism when was 16  which eventually led to nightmares. Now at 34 and I am a Christian and still haunted by my past.  I was prescribed this prazosin and it was the worst thing ever, it didn't help my nightmares, it made my OCD worse than ever. I haven't left the house in one month because so tired weak and shaky, my blood pressure constantly dropping so I dropped it cold turkey. You can for get that stuff I don't want any to go through what I went through :(",Anne
2,Prazosin,Anxiety and Stress,4.0,Taken for 1 to 6 months,"October 23, 2021",6,"Although it did help stop the nightmares, I now wet the bed. I would rather deal with the nightmares. Its been at least 2 years since I stopped taking Prazosin I still wet the bed from time to time. I am afraid to sleep in the same bed as my wife now because of this. I wish someone would have told me this could happen.",nightmares
3,Prazosin,Anxiety and Stress,10.0,,"August 27, 2021",6,I was having horrible nightmares due to a traumatic experience. I would wake up screaming to see this persons face. These occurred every night throughout the night. I was prescribed prazosin and they stopped. I was also put on effexor. I ran out of effexor and have no insurance. My nightmares came back so fast. Even with pazosin I was having the worst nightmares. I figured the two drugs needed to work together. After a long week of waking up nightmares of my life being taken. I was so afraid to fall asleep. Got my effexor back and they stopped again. They don't make me tired enough to sleep. I have horrible insomnia from longterm childhood trauma and then attacked in my adult life. Nothing really works for sleep except ambien. But found out thats worse for PTSD. I have tried every medication. They will work for one week and its over they will not work. Prazosin is great to stop nightmares but I seriously need to be knocked out to sleep.,theresa
4,Prazosin,Anxiety and Stress,3.0,Taken for less than 1 month,"August 20, 2021",2,"I was prescribed this to help with nightmares, PTSD, anxiety. TBH I don’t think this did anything for me. When I did take it I felt very drowsy and made it harder for me to get up. I didn’t feel any different other than feeling drowsy in the morning.",Anonymous
5,Prazosin,Anxiety and Stress,1.0,Taken for less than 1 month,"August 17, 2021",2,Took my first dose last night. Woke with a terrible sinus headache .Weird dreams as well.,Jolive
6,Prazosin,Anxiety and Stress,9.0,Taken for 1 to 6 months,"August 4, 2021",6,"Prescribed by my psychiatrist for anxiety and anxiety related hypertension. Over the first month 1 mg at night worked well but blood pressure during the day was still high. Changed to 1mg morning and night. Worked well for about 2 months. At this stage in PTSD therapy my anxiety is increasing, changed up to 2mg morning and night as I feel the anxiety increasing and my BP started to climb from around 120 to over 130.",StpPTSD
7,Prazosin,Anxiety and Stress,9.0,,"May 23, 2021",13,"This medication has been sooo helpful in my ability to sleep and stay asleep, no nightmares, and waking up in a calm and peaceful state.  I had no idea that this medication for HBP could have such a positive effect on my severe PTSD and anxiety. My only concern is that I believe that doctors should REQUIRE people to take this medication only at nighttime. I took 2 capsules during the day, and when I got up about 20 minutes later, I fainted right to the floor.  I am not even sure how long I was down. It scared me very much.  Be careful!  That warning in the directions is VERY true.",Lauriemama
8,Prazosin,Anxiety and Stress,9.0,,"March 21, 2021",33,"I've struggled with generalized anxiety and PTSD for over 20 years. I've been on a lot of medications. Most of them, if effective at all, loose efficacy pretty quickly as it seems my body always figures out how to ignore them. Others negatively impact my cognition, executive function, motor, etc and make me LESS functional. When a recent trauma brought back nightmares, my NP recommended this to help me sleep at night. It is now the only medication I take for anxiety. On MY request. Yes, starting it can be scary if your doctor doesn't start you at 1mg then increase it gradually. My NP did this, though, and I had no issues with starting it.",JL
9,Prazosin,Anxiety and Stress,2.0,Taken for less than 1 month,"January 14, 2021",22,"I was given prazosin for PTSD and anxiety.  Childhood trauma and 4 recent family deaths that traumatized me again.  Took first last night, and stood up hour later and felt very faint, been up all night on and off and when I did sleep I had huge nightmare with my screaming again.  This morning I feel very hung over with headache and still some shakiness - this is all cause I had to move out of State and new doctor family doctor stopped my lorazepam and making me suffer needlessly (everything else has massive side effects and all SSRI’s cause heart palps ). Good luck, this stuff is too scary.",Kat
