,drug,condition,rating,duration,review_date,upvotes,review,username
0,Haldol,NauseaVomiting,1.0,,"March 27, 2022",0,Given an injection of this for nausea/vomiting. Caused pure terror. Wanted to crawl out of my skin. One of the worst feelings I’ve ever had. Felt like I was truly losing my mind. Would not recommend under any circumstance.,Eric
1,Haldol,NauseaVomiting,1.0,Taken for less than 1 month,"January 26, 2022",0,Given this drug for nausea after surgery. It dropped my heart rate from 80's down to 40's and dropped my oxygen rate down to low 80's. This is a dangerous drug and not enough warnings on internet. I have Atril Fibulation and COPD. Should not have been given this drug. It was a 1 time shot and lucky to be in hospital at the time,Misty
2,Haldol,NauseaVomiting,10.0,Taken for 1 to 6 months,"January 16, 2022",0,This is a great drug if you build it up don't start with 5 mg start with 1mg. I have not had any side effects this way.,Rox
3,Haldol,NauseaVomiting,8.0,Taken for less than 1 month,"January 3, 2022",0,Worked fast and took away nauseating symptoms. I would recommend this medication for nausea,Anonymous
4,Haldol,NauseaVomiting,10.0,Taken for 1 to 2 years,"September 18, 2021",1,"I experience nausea/vomiting related to my epilepsy after I have seizures. Sometimes it will last for over a week and I mean vomiting lasting 4+ hours at a time. Luckily this has no side effects for me besides sleepiness. Makes me feel better within a half hour. Zofran, Reglan and phenegran did me no good. It’s been a lifesaver for me.",Logan
5,Haldol,NauseaVomiting,4.0,Taken for less than 1 month,"February 4, 2021",14,"I was given IV Haldol in the ER yesterday along with zofran, decadron and Benadryl for a migraine w/ nausea.I react terribly to compazine and Reglan (I feel like I can’t stand being in my own skin, want to climb the walls, etc. Indescribable really but AWFUL)! I specifically asked if there was any chance Haldol would cause a similar reaction and was ensured it would not. It did.I’m still agitated, unable to sleep and anxious this morning. I cannot wait until it wears off. Def not worth it.",Francesca
6,Haldol,NauseaVomiting,5.0,,"January 6, 2021",4,"Was in for laparoscopy procedure and was very nauseous after the surgery. Initial treatment with Zofran wasn’t helpful, so they then injected Haldol to relieve the emesis and nausea. It made feel drowsy and restless at the same time. I can’t tell if I’m thankful it helped as an antiemetic or if I absolutely hate it because of the restless legs, anxious, crawling out of my skin feelings. It made resting and sleep very difficult after a reallllllly long day at the hospital. My advice, see if doctor has exhausted all other medications/solutions first! The side effects may make you regret taking it.",Roc
7,Haldol,NauseaVomiting,1.0,Taken for less than 1 month,"August 29, 2020",15,"Sometime after my same day surgery to treat a cancer tumor, I was given some unspecified amount of Haldol through my IV line. I was shocked when I heard I was given Haldol since it is known as an anti-psychotic drug with very severe side effects I had no idea it was ever used for the prevention of nausea and vomiting over all standard such as Zofran.Since I had same procedure several weeks earlier I was amazed Define the effects of what I thought was just the anesthesia wear so much more severe. I had disorientation, restlessness, anxiety, memory problems, tiredness, sleepiness, constipation, and even some depression. I can only attribute the difference in my reaction to the use of Haldol. It's been about 48 hours since I was discharged from the hospital, and I still don't feel right.My advice to any patient who may be given this drug to treat/prevent nausea and vomiting is to request something else that's much safer. I would certainly never take this again.",Michael
8,Haldol,NauseaVomiting,10.0,Taken for less than 1 month,"April 23, 2020",18,"I got rushed to the ER for nonstop vomiting. I was vomiting for over 10 hours until I finally decided to go to the hospital. They gave me 2 injections of Zofran but unfortunately, I was still vomiting.Then they gave me a dose of Haldol which finally stopped my vomiting. My horrible stomach cramps were gone as well. I was able to get the best possible sleep. When I woke up, I felt like a million bucks. Haldol definitely saved me!",Jimmy
9,Haldol,NauseaVomiting,1.0,Taken for less than 1 month,"January 15, 2020",35,They gave me this medicine for stomach pain and all it did was make me loose control physically and mentally. I could not stop moving my arm and legs and I thought I was going to be put in a rubber room scared the life out of me never again,Roxrdt
