,drug,condition,rating,duration,review_date,upvotes,review,username
0,Oxybutynin,Urinary Incontinence,,Taken for 2 to 5 years,"February 25, 2022",1,"I used this for a while then I switched over to another one. Was off of the Oxy for about 2 years. Decided to go back on it last year. Was only on it a short time and noticed that I would wake up with swollen eyes. Then driving home from a trip from Colorado my face and lips started to swell. I had to think what I had eaten then I remembered I had taken Oxy and figured that it was that causing my face, eyes and lips to swell. I think it does work better than a few others.  But now I can't take the chance of the reaction  I had.",MLA
1,Oxybutynin,Urinary Incontinence,5.0,Taken for less than 1 month,"September 24, 2021",4,Just made me too light headed & dizzy I could hardly function. Nearly fell overa few times! I’m 3 weeks away from kneeReplacement surgery so I can’t afford to be this dizzy!,Beverage
2,Oxybutynin,Urinary Incontinence,1.0,Taken for less than 1 month,"May 25, 2021",7,"It does help with less frequent weeing accidents , but it has made my GERDS worst. I also have a hiatal hernia. My burning in throat has become constant with no relief. I did not realize these were part of the side effects and was not told by my pharmacist or doctor. I also have hypothyroidism and I feel like this medication has cause weight gain 6lbs in two weeks.",PDW1953
3,Oxybutynin,Urinary Incontinence,10.0,Taken for 2 to 5 years,"March 19, 2021",8,This is definitely proved to be exactly what I needed to help prevent me from having small little accidents on a regular basis! As soon as I started taking this I got rid of my problem completely! I know longer have any accidents before I can get to the restroom! Thank Goodness!!,Fibroarthgirl
4,Oxybutynin,Urinary Incontinence,5.0,Taken for 10 years or more,"January 6, 2021",7,Ditropan (oxybutynin):Worst experience ever. Have been taking Ditropan for 25 years. Had terrible thirst at night and abdominal pain whereby I collapsed. No other reason found by doctor.,Yainie
5,Oxybutynin,Urinary Incontinence,5.0,Taken for 10 years or more,"December 30, 2020",14,I’ve been using oxybutynin  for 20 years .  I looked up the meds side effects because I started having leakage when I’m sleep. I did become a diabetic 3 years ago. However the bed wetting didn’t start until 3 months ago. I got some bed pads and always overnight pads. I now set my alarms to beep every 2 hours. It works sometimes. I’m going to request a new med from my doc or a referral to a urologist. The side affects are real . My memory is trash. I actually had a memory study. I thought I was losing my mind. Also oxy stopped the urgency but never the dribbles. I would always put some tissue in my panties. I’d use wipes to clean off after it stopped. Now this bed wetting. I’m at my ends rope. I’ve  been up since 230 am rinsing out my under wear and top sheet. Lord I need something that works. My dosage has been 10mg all this time,Tigerbgb
6,Oxybutynin,Urinary Incontinence,6.0,,"December 17, 2020",8,Ditropan (oxybutynin):Been on the tablet a week. Only for night. First three night excellent.  But the last two nights  I have almost gone back to the way I was. I  feel very disappointed.,Slyv
7,Oxybutynin,Urinary Incontinence,10.0,Taken for 6 months to 1 year,"June 29, 2020",9,"Oxytrol (oxybutynin):76 yo male with decades of urge incontinence have used diapers and oxytrol now for 6 months. I now have regained a great deal more confidence to go out. I use acetone to clean when I take off the patch every 3 or 4 days, then have my daily shower.",Wrplum
8,Oxybutynin,Urinary Incontinence,3.0,Taken for 1 to 6 months,"June 25, 2020",25,"My dr ordered this oxybutynin for me while I wait to see a urologist. It was fine at first, I only took one 5mg tablet, I was to work up to 3 tablets daily. I got up to 2 tablets and was miserable! I'm already hot all the time and this makes you not sweat, my throat hurt like it was being ripped out, I was constantly thirsty....the cons weren't worth the pros. I did have to use the restroom a lot less which was definitely nice but it didn't effect the leakage which is what I need addressed. Not worth it in my opinion.",kavegirl
9,Oxybutynin,Urinary Incontinence,8.0,Taken for 1 to 2 years,"May 11, 2020",42,Oxytrol (oxybutynin):I have been on the Oxytrol Patch I find it a life changer.  I don’t get that urge to pee every 20 mins and when I need to go and can hold without having to make an emergency dash to the loo.  When I first started the backing was flexible and adhesive was strong.  It would easy last up to 4 days if necessary.  Lately I am finding the backing is not as flexible (crackly) and will come off in the shower.  I shower daily so instead of 2 week I seem to be using 7 a week. Not very economical.  I know the backing is different compared to what it used to be.  Unfortunately you cannot contact the company to present this review.,Bunny
