,drug,condition,rating,duration,review_date,upvotes,review,username
0,Naproxen,Sciatica,10.0,Taken for 1 to 2 years,"March 21, 2022",0,I have put up with sciatica pain in thigh for the last 4 weeks. It was so bad sitting down getting up was debilitating and extremely painful. I took one 500mg naproxen and I feel like I can walk on water it's blissful with no pain. Worth putting up with the side effects for relief.,Lizzy
1,Naproxen,Sciatica,1.0,,"January 18, 2022",0,"I've been taking this for ten days for sciatica - 3x250mg per day.I'm still in as much pain as I was before I started taking it.",Vanessa
2,Naproxen,Sciatica,9.0,Taken for 2 to 5 years,"December 25, 2021",0,"I have been taking Naproxen for severe menstrual cramps for about 5 years now. It helps relieve lower back pain and loosen pain in my abdomen. I just recently started experiencing sciatic nerve pain. I’ve seen a chiropractor. Stretched. Hot-tub. Exercise in pool. Heat. Ice. I cannot lay down at night and have been sleeping upright for 2 weeks now. I’ve become desperate for relief and sleep. I took one of my naproxen 500 one night and have never felt more relieved. However, since I’ve been taking it for so long, I’ve noticed a slight tolerance and stomach sensitivity. Take it only when you really need it.",emily
3,Naproxen,Sciatica,2.0,Taken for less than 1 month,"November 26, 2021",0,"Naprosyn (naproxen):I tried Naprosyn 500 mg.. not worked..Take mobizax  (diclofenac+chlorzaxazone )1-0-1, mecocel pg (methylcobalamine1500mg+pregablin75mg SR)0-0-1.@7PM..RABICEL DSR (OR) ANY GASTRIC TABLET BEFORE FOOD 1-0-1..This is very effective sciatica medicine thanks.If you are still facing problems kindly visit your doctor.",Harsha
4,Naproxen,Sciatica,,,"September 28, 2021",0,Tried Aleve for sciatica pain but it didn’t help. Tried a 2nd pill within an hour as directions suggested but still no relief from pain. Was up most of the night. Couldn’t get comfortable.,Geri
5,Naproxen,Sciatica,,,"September 14, 2021",0,Aleve (naproxen):I had to quit using due to swelling in my right leg and feet ( Edema).  Went away several days after discontinuation of use. Went back on two more times but same problem occurred again.  I now alternate  Ibuprofen with Acetaminophen with no side affects except occasional constipation.,Anonymous
6,Naproxen,Sciatica,1.0,Taken for 1 to 6 months,"April 8, 2021",0,"Took for about 6 weeks, did nothing except give me tinnitus, 8 months after stopping this drug and my  ears are still ringing.",AG
7,Naproxen,Sciatica,1.0,Taken for 1 to 2 years,"February 20, 2021",2,Naproxen doesn't even touch the pain. I use flexeril for muscles and Neurontin for the pain.,Scooter
8,Naproxen,Sciatica,2.0,Taken for less than 1 month,"January 3, 2021",3,Aleve (naproxen):Took Aleve 3 hours ago and still in pain. On blood thinner so I can't take more. No relief,Dodo
9,Naproxen,Sciatica,1.0,Taken for less than 1 month,"August 5, 2020",17,Have had Naproxen before and it was useless for sciatica pain. Used diclofenac and it was great but now I am 64 doctor won't prescribe it and has given me Naproxen and said to take paracetamol - I am now on my 2nd week of agony and can't stand up straight or walk far.,oldgroom
10,Naproxen,Sciatica,8.0,Taken for 2 to 5 years,"March 8, 2020",37,"26 years US army, then 10 years civilian working in middle east, active with kids camping travel. BUT upon retiring at 56 years young suddenly the sciatic nerve issue, pain, pain, pain and did I mention PAIN?? Doc started me on 1 pill a day of naproxen, and just like a bunch of the posts on here I was skeptical to the point of laughter................Guess what   after taking three days the pain subsided..... and after 6 months it was, and two year later still is, GONE...",MadMike
11,Naproxen,Sciatica,1.0,,"August 24, 2019",14,Pointless doesn’t touch pain,Anonymous
12,Naproxen,Sciatica,7.0,Taken for less than 1 month,"November 2, 2018",30,Prescribed 500mg twice a day of naproxen along with codeine and oramorph for my first sciatic episode.  I stopped the oramorph after a couple of days as I hated the way it made me feel and the codeine lasted about 5 days. Now had 5 days of just the naproxen. The pain is unbearable in the morning and don't know if the pain goes to a manageable level because I start to move or because my morning dose has kicked in. I'm getting some weird side effects like numb fingers and bad stomach pains so I don't know if i should quit taking the drug to see if i still need it or not?,Kara
13,Naproxen,Sciatica,1.0,Taken for less than 1 month,"October 24, 2018",15,Please be aware cause extreme bleeding inside your body do not take unless I absolutely have to does not even help with pain like it's supposed to,Smily
14,Naproxen,Sciatica,8.0,Taken for less than 1 month,"September 16, 2018",50,Aleve (naproxen):I have been taking Ibuprofen for years but only helped a little I saw commercial for Aleve and thought I would try What a difference in my back pain and sciatica.It even took down the inflammation in my hands,Smw
