,drug,condition,rating,duration,review_date,upvotes,review,username
0,Gabapentin,Alcohol Withdrawal,8.0,Taken for 1 to 6 months,"December 18, 2021",4,"Every time I tried to detox from alcohol before taking gabapentin, my nerves would feel like lightning+fire and all my muscles would feel tense while anxiety and irritability ruled my mood. I would sometimes deal with that detox but usually not for long. Without gabapentin I was struggling to even get sober, let alone stay that way.Gabapentin didn't get rid of my alcohol cravings long term by helping me break lifestyle habits or by addressing what was wrong in my life that made me want to drink, but it got rid of short term detox symptoms well enough to where I could make enough progress on long term craving causes.I tapered off gabapentin after a few months because it was having a mild but noticeable and increasing negative effect on sex drive, and I didn't like how it made my vision blur just a tiny bit.I'm about 40 years old and 185 lb and took 200 mg 3x per day.",Austin
1,Gabapentin,Alcohol Withdrawal,9.0,Taken for less than 1 month,"November 3, 2021",6,"I had been drinking 4-6 drinks every night and binge drinking even more on the weekends for about 3 years due to situational stress/anxiety. When I tried to stop recently, I'd try to just have one but would sneakily chug 6 instead before I could curb the impulse. I was having regular hangovers, mood swings and difficulty focusing. This was concerning so I asked my psychiatrist what I should do. He told me to take 200mg of gabapentin before bed (when I would usually binge) and to reduce my alcohol consumption to 2 light beers per night, then only 1 per night until I can go with just having one or two once in awhile. So far, it's worked! I don't crave more and more booze when I take the gabapentin. Drinking one beer feels just fine and I'm able to go without drinking at all if I want.I'd recommend giving it a go if you have a doctor who can recommend the right dose for you. The only side effect I have is morning drowsiness and some weirdly elaborate dreams at night.",Anonymous
2,Gabapentin,Alcohol Withdrawal,10.0,,"August 5, 2021",15,"I was drinking about a 750ml a night and then a couple quarts on the weekend. I had 4 seizures due to alcohol withdrawal, have been in detox 4 times, hospitalized a bunch and had severe liver Cirrhosis and kidney failure. I tried naltrexone but just kept drinking, tried therapy, anti-depressants, and some AA meetings but nothing helped. When not intoxicated I had horrible anxiety, insomnia, depression and thought about killing myself. I drank not to feel happy but to basically survive. I finally saw an amazing compassionate doctor during my latest hospitalization from withdrawal. He prescribed me gabapentin and have been sober 6 months. Gabapentin has changed my life. I never thought I could go this long without drinking. I take it 3 times a day at 300mg and I’m ridiculously happy. My anxiety is basically gone and I can sleep again. I feel almost normal is social situations. Gone is the feeling of impending doom. I would highly recommend this to anyone, it was a miracle drug for me.",Freedom
3,Gabapentin,Alcohol Withdrawal,10.0,Taken for 6 months to 1 year,"April 12, 2021",16,"I've been a chronic alcoholic for over thirty years, but this drug really helps. It's odd: it does have an anxiolytic effect (not as much as the benzos), but it takes away the cravings (and I mean it REALLY takes them away). I have no idea what the mechanism is, but I I'm glad that it works!",JustABlokeFromEngland
4,Gabapentin,Alcohol Withdrawal,10.0,Taken for less than 1 month,"April 11, 2021",17,"I got gabapentin after a binge episode that landed me in the hospital. It worked immediately at a low dose. No thoughts of drinking. I would typically binge on 24 tall cans a day. After three days of this medication, I've had one beer, and I think it will be my last - and my home is fully stocked to the point I could destroy myself. It just works. It's likely saved my life.",bill
5,Gabapentin,Alcohol Withdrawal,10.0,Taken for 1 to 2 years,"March 6, 2021",17,"Please try Gabapentin if you want to stop drinking. I know nothing is guaranteed to work, but it does help to take way those horrible feelings of anxiety.Good luck!",Sleeping Jim
6,Gabapentin,Alcohol Withdrawal,10.0,,"January 19, 2021",76,"Started off innocently enough by just having a few beers on the weekend with my under age pals in the basement playing pool. Four decades later, was jugging vodka all day and messed up my bp and heart rate. Was 170 over 110 and bpm of 120 while resting. Ambulance took me to the hospital twice for chest pain. Went to get help for my alcohol issues a few months back. Was put on gabapentin 300 mg per day with a schedule to increase to 1800mg over the day.  Believe it or not, I felt better day one and quit booze by day three with no wicked withdrawal or the usual cravings. I had tried to quit a zillion times before. My mind feels like I am 25 again. Please see your doctor!  You do not need to live recklessly and damage your health and relationships further. I was spending 6 to 7 hundred a month for vodka.  Now, well after Covid, I am going to take 3 vacations a year with the money I will save. Good luck all!  Also I almost forgot to add Once on gabapentin my bp and heart rate  went from 170 over 110, 120 heart rate resting to 118 over 88 and 66 heart rate resting.  No more chest pain and trips to the hospital. Call your doctor or a rehab facility.  I went to a confidential regional clinic. I was on course for a heart attack.",Finally Free
7,Gabapentin,Alcohol Withdrawal,10.0,,"December 28, 2020",35,"I am only a few days into my abstinence from alcohol, but I'm beyond thrilled/baffled that I'm here at all.    I was drinking nearly a bottle of wine at night to soothe stress and anxiety, but the fall out was mood swings and hang-overs.    I read in an article how gabapentin  helped with alcohol withdrawal and/or cravings. By way of experiment, I tried it, and as if by magic, I had no cravings for drinking.    Gabapentin seems like a miracle drug to me. It truly is the game-changer I never even imagined existed. If you're looking to quit or reduce your alcohol dependence, try it. You'll be dazzled.    Suddenly, I feel so much more positive about myself and my future. Good luck and power to you all.","Caution, but Thrilled"
8,Gabapentin,Alcohol Withdrawal,9.0,,"December 16, 2020",17,"Hi,I have had alcohol problems for 40 years and was never able to stop for more then a few weeks. I have been taken gabapentin 100mg, 3 times a day and 15 mg of mirtazapine at bedtime gabapentin amazing. I can finally sleep and think before I drink, like my mind is not running all the time at 100 miles an hour. Its been 6 months now and I can finally say, I have a life.",Guylaine
9,Gabapentin,Alcohol Withdrawal,10.0,,"October 2, 2020",78,"I have been drinking a bottle of alcohol every day from the time I woke up so the time I went to sleep, and that is for over 20 years. If I didn't have a drink by noon I would go into withdrawal. My wife would have to go to the store for me right away because of my shakes were so bad I couldn't even get the ATM card in the machine. Last year I was shot in the neck and back and this is one of the many medication I would prescribed. I put it to the side and I've never touched it although they send it to me in the mail for a month every month for a year. I just stuck to drinking. I decided to Google it and notice it works for alcohol withdrawal. So I decided to give it a try. The first day I didn't even have a drink with no withdrawals. It's been a month now and haven't touched a drink. I highly recommend this for anybody that wants to get off alcohol.",Danny
10,Gabapentin,Alcohol Withdrawal,10.0,,"September 24, 2020",31,"Gabapentin has been a godsend for me. It has kept me sober from alcohol for over 2 years. Introduced to it when I went in to detox and 28-day rehab. Had dual diagnosis alcohol abuse/anxiety. I could not believe that I would ever quit my daily heavy wine drinking for 20+ years but here I am and so happy, proud and truly know gabapentin got me sober and no cravings ever after 2 years. Please consider it if you were like me who never knew about it.  And it is not a controlled medication.",Dianey
11,Gabapentin,Alcohol Withdrawal,10.0,Taken for less than 1 month,"August 21, 2020",53,"Binge drank for 37 yrs, stopped 1000 times. Itook gabapentin 100mg 3 times a day. No more nausea that in the past only booze took away. It helped with my anti social behavior and severe anxiety. I can finally stop and talk to people and feel calm doing it. I am so happy I can finally stop drinking and live a bit of a normal life.",GuyGuy
12,Gabapentin,Alcohol Withdrawal,10.0,Taken for less than 1 month,"August 15, 2020",23,"Been on the Gabapentin for a couple weeks now to help with Alcohol Withdrawal. I believe I have hereditary AUD and have been a strong with my alcohol intake for roughly 15 years. My psychiatrist recommended the doses of 900 3x/ day. I take only 300 at around the typical time I would have a drink and it really does work. I tried the full recommendation of dose but The side effects where to powerful... sleepiness being a major one and not being able to sleep a full cycle at night. I find 30mg at dinner time is good for me, along with some will power. I’m sensitive to medication also so it will be different for everyone. Give it a try it does work.",Anonymous
