,drug,condition,rating,duration,review_date,upvotes,review,username
0,Propranolol,Performance Anxiety,9.0,Taken for less than 1 month,"March 27, 2022",0,"This worked for me as well. Overachiever, perfectionist, always got through but terrible anxiety and some panic attacks public speaking somehow got through it but would haunt me for weeks and months ahead of time .Had to do an event for 50 people for an hour presentation. Try different doses to make sure it works for you but for me the best dose is 10mg 2 hours before, then  10 mg 1 hour before zero fight or flight and 10/10 great feedback said it looked easy.",Experience101
1,Propranolol,Performance Anxiety,10.0,Taken for 2 to 5 years,"March 10, 2022",2,"Like most others have commented, propranolol has saved me. When public speaking, I'd shake, sweat, feel weak, have tunnel vision, and borderline pass out. I'd also feel sick days/weeks before the presentation. I even felt sick getting called on in class or having to introduce myself. I dropped so many classes throughout college due to presentation requirements and knew I would have to face them at some point. I read about beta-blockers (propranolol specifically) and got a prescription (which wasn't hard to do). When taking them for my first presentation, it was a world of difference. Literally, all of my symptoms had gone away and I could actually speak coherently without these anxious feelings shutting down my body. I tell everyone about this who deals with this struggle.  I usually take 20 mg about 1.5 hours before and another 10 mg about 45 mins before a presentation/scenario where I'll have to speak.",Anonymous
2,Propranolol,Performance Anxiety,10.0,,"February 18, 2022",4,"I never leave reviews but this honestly deserves it. I am a young professional and throughout my life have been confident at giving speeches. I had a bad experience where I was not prepared and it mentally scarred me. I would then go on to have tremors l, shaking, dry throat and quivering voice. My career was being hindered so I began seeing a hypnotherapist, to no avail. I then came across propranolol and I feel like my old self, it’s actually incredible. Take 2x 40mg tablets 1 hour before the event and all symptoms were gone, allowing me to focus and be my old self. Miracle drug.",Wow
3,Propranolol,Performance Anxiety,10.0,Taken for 2 to 5 years,"December 17, 2021",1,"I am a musician (classical trombonist) and I regularly perform in high pressure events in front of a live audience. Nothing is more stressful than waking up the morning of a performance of a TROMBONE CONCERTO and feeling sick, sweaty, nervous, and not having my face muscles work correctly. I take 10mg the morning of, and 20mg an hour prior to the performance. Playing trombone concertos or jazz solos is now a stress free, enjoyable experience. I wouldn't have a career without it.",Harrison Reed
4,Propranolol,Performance Anxiety,10.0,Taken for less than 1 month,"November 27, 2021",3,This will make you doing a presentation or holding a meeting feel relaxed like having a coffee with your friends... and your brain will remain sharp and awake.. and costs 1$ for whole box. The  best drug I have ever tried10/10.. 40mg should be enough for 3-4 hours,d.s.
5,Propranolol,Performance Anxiety,10.0,Taken for 2 to 5 years,"November 9, 2021",2,"Ever since I can remember (earliest memory being age 9) I have struggled with public speaking/ anything that puts me in the spotlight. I shake uncontrollably, dry mouth, sweat profoundly. I was so terribly embarrassed and every experience dampened my confidence further until it was rock bottom. I never thought to seek medicine until my early twenties - I was about to start my career and many interviews for jobs required presentations. I found Propranolol online, decided to try it and was prescribed 40mg tablets to take 1-2 times daily. It has been a complete game changer. Particularly when I made the jump to director level, it involves constant meetings and presentations where I'm expected to contribute. Propranolol takes away the physical symptoms so that I can focus and deliver. It won't take away mental nerves, but I've built up confidence to the extent that I no longer need to take it as frequently as before because of the positive experiences I've had.",user_156
6,Propranolol,Performance Anxiety,10.0,Taken for 5 to 10 years,"November 4, 2021",3,"I am using Propranolol for more than 7 years and it does miracles. Due to the nature of my position I have to speak in public from time to time and without Propranolol I would definitely had to quit my job and change my career path drastically. Still already for few years I am the director of 200+ people company and I could not manage it without this drug. The only negative aspect of it is that you become dependant (not physically of course, but mentally). Personally I don't believe in therapy or other similar methods and not sure if it even possible to change anything for such harsh cases of public speaking anxiety as mine so I think it is the only possible solution.",Kareem
7,Propranolol,Performance Anxiety,10.0,Taken for 1 to 6 months,"October 20, 2021",17,"I never leave reviews but the contribution of this thread and propranolol deserves a special mention. I have struggled all my life with severe public speaking anxiety. When you are young you are told it will get easier and you live in hope but for me it only got worse, particularly with work pressures and an increasing feeling of inadequacy. During a recent presentation at work I could not even speak, pounding heart, quivering voice, shaking...you know the symptoms! And then the shame and feeling of humiliation which seems to stay with you forever.  I've meditated, read countless psychology books, therapy and nothing ever worked. I came across this thread and although skeptical I decided to give it a go and Oh my god! I could not believe how calm I was in that presentation..I tried it again a couple of times for presentations and it worked every single time without fail. 40 mg an hour before and thats it. Like many of you, I wish I'd known about this sooner. Thank you science!",Anieska
8,Propranolol,Performance Anxiety,10.0,Taken for 5 to 10 years,"October 19, 2021",8,"I suffered a major panic attack during a high school presentation when I was 12 and have had a crippling fear of public speaking ever since. It even got to the point early in my career where I’d have panic attacks even meeting 1 on 1 with my boss. It nearly ruined my career. Every time I presented in front of a group I’d suffer the worst physical symptoms of anxiety and fear. When I was 35, I was preparing to present in front of about 300 people and was crippled with fear leading up to the event. A friend recommended beta blockers so I visited my doc and got a prescription for 40mg. Well I smashed the presentation out of the park and since then my career has taken off! I now give presentations weekly and take 40mg 90 mins before. Beta blockers have been the best thing for my career and I’ll be forever in debt to modern medicine. Miracle drug!",Alejandr0
9,Propranolol,Performance Anxiety,10.0,Taken for less than 1 month,"September 28, 2021",3,"I have had fear of public speaking since I was in my late teens, it just hit all of a sudden whilst I was reading out loud in class. Since then it has really gotten in the way of my studies and work. I literally would fill with dread, go red, feel choking sensation, go blank. Well, reading these reviews were so comforting just to realise I'm not alone and so many others are going through exactly the same. I tried 40mg propanolol before a work video call where I was to be presenting. Normally doing any form of formal speaking sends me into a spin, I fret for ages and feel that horrible, gnawing nervousness and panic. Well this time was different! I took 40mg 1 hour before and I was cool as a cucumber - I love this stuff! My plan is to only use it for when I have to present and to eventually not need it but this allows me to not avoid the situation and train myself to lose the fear! Thanks propranolol.",Lexia
