,drug,condition,rating,duration,review_date,upvotes,review,username
0,Levofloxacin,Bacterial Infection,1.0,Taken for less than 1 month,"January 28, 2022",0,"I was given this drug for diverticulitis at the ER.  After 2 days on this medication, my body started shaking uncontrollably from my neck down.  I couldn't get it to stop, and I couldn't sleep, which lead to severe anxiety/depression.  When I went to my doctor 3 days later for follow up she couldn't believe the dosage they put me on when there was no blockage.  She advised that I stay on it 2 more days, but I just couldn't do it.  To this day (and this was in 2019), I still have nerve issues, tremors and anxiety.   If you look up the ""brand"" name of this drug it's Levaquin which was pulled from the market in 2017.  According to the FDA, doctors should stop treatment with Levaquin, Avelox and similar drugs immediately if patients report experiencing central nervous system side effects, psychiatric adverse reactions, or blood glucose problems.",Shannon
1,Levofloxacin,Bacterial Infection,1.0,Taken for less than 1 month,"January 17, 2022",0,"This medication was absolutely horrible for me - it could be fine for others. I took it for diverticulitis and could not sleep for 2 days after only taking one pill but took another dose before I talked to my doc, at this point I had stomach cramping,  severe anxiety and I will never ever take this again. The side effects went on for close to 3 days and then off and on for 5 days. If you have anxiety I highly recommend not taking this or seeing if another med is an option. The worse was the anxiety but I was also confused at times. I also wasn't confident in driving while I had the side effects because it overall just made me feel weird. I will never touch this again!!!",Anonymous
2,Levofloxacin,Bacterial Infection,4.0,,"January 2, 2022",1,"10 day course (250mg) for an unconfirmed bacterial infection. Discontinued use after the 3rd day. Uncomfortable side effects included anxiety, high blood pressure, muscle and joint pain. My advice is to not use this medication. Weigh the risk. If you can heal you’re infection naturally or with another antibiotic, do so. Only use Levofloxacin if it’s going to save your life.",Rico
3,Levofloxacin,Bacterial Infection,3.0,Taken for less than 1 month,"December 30, 2021",0,"Do NOT take this for h.pylori, it’s a 14day treatment. This bacteria is not worth getting prescribed this nightmare antibiotic. I did half a pill on the 5th day and stopped, now my heart has not been the same it races by itself. My nerves come and go with burning and the twitching is as bad like when I took this antibiotic. The head nerves feel messed up, and itchy skin is bad. Yes I did read the reviews, but found out h.pylori can be treated natural and can be dropped to a safe rate. Just take probiotics find another route. Even after telling them it had a boxed warning label the nurse laughed and said don’t believe everything you see online. They didn’t even acknowledge it had a boxed warning label. The anxiety was the worse part as h.pylori causes that and then to have this quadruple it. Then for the doctors to say you need anxiety pills for 6 months no way.",DJspike
4,Levofloxacin,Bacterial Infection,1.0,,"November 30, 2021",1,"Well tried it today, to see if it works for h.pylori. Since the other medication broke me out in a allergic reaction. The reviews look very bad, and even the actual website of this drug. Will see how it goes I guess one day at a time, and the mind plays a big factor when taking antibiotics the nurse said. First dose today, made me sore, feel good though, but anxiety always wants to creep in.",DJspike27
5,Levofloxacin,Bacterial Infection,10.0,Taken for less than 1 month,"November 28, 2021",0,Levaquin (levofloxacin):After running fever for days on end and being given weak antibiotics that were not effective my physician gave me Levaquin. In less than 24 hours I felt like a human again and could get out of bed. I had zero side effects.  This antibiotic kept me from being septic and hospitalized.,Aggieland
6,Levofloxacin,Bacterial Infection,1.0,Taken for less than 1 month,"October 27, 2021",1,"This medicine was the start of one of the worst journey's in my life.  I went to the ER for abdominal pain (I have never been to the ER before, so this was new for me at age 58) and after tests were run, I was told I had Diverticulitis.  I was prescribed Levofloxacin, generic of Levaquin and a very high dose even though there was no blockage.  The misery started on day 3 of this medication, which was to be taken for 10 days.  My body started shaking uncontrollably from my neck down.  It was like I had Parkinson's and didn't let up, which effected my work/job as I was an Account Executive and on the road every day for work (UPS). When I went to see my GP for follow up after 5 days and she noticed my body movements, she asked how long they had me on it.  When I showed her the bottle she was shocked. She asked me to stop taking it if the shaking didn't stop or lessen after 2 days.  A year later, I was still recovering and ended up with anxiety and depression due to insomnia. DO NOT TAKE !",ColdNKC
7,Levofloxacin,Bacterial Infection,1.0,Taken for less than 1 month,"July 22, 2021",1,Levaquin (levofloxacin):I took this antibiotic and ended up in ER with a racing heart rate. I was admitted to hospital and had normal cardiac results as medication wore off.  Medical team finally attributed my symptoms to Levequin.,ROC
8,Levofloxacin,Bacterial Infection,1.0,,"May 21, 2021",5,"Day 3 of taking this Levofloxacin and I must say this worst drug I’ve ever had to take. If I didn’t have an S.Maltophilia bacteria growing in my nose I would NEVER take this medication. Unfortunately this or Bactrim were my only options! Constant headache, worst anxiety you could imagine, and my heart feels like it’s going to explode after taking it each day. Blood pressure and pulse have been through the roof since starting these pills! Constant headache and back pain as well.If you don’t absolutely have to take Levofloxacin DO NOT!!!",MattyIce2839
9,Levofloxacin,Bacterial Infection,1.0,Taken for less than 1 month,"January 22, 2021",0,"I was put on Levofloxin 500mg for 14 days.  I had a headache and dizziness each day.  On the 13th day, I blacked out on the kitchen floor hitting my head, shoulder, and hip,  I wasn't hurt.  On the 14th day, returning from the bathroom to the kitchen, I passed out again, falling over my walker and landing unconscious on the kitchen floor.  My son-in-law found me in a pool of blood 15 minutes later and called an ambulance.  I regained consciousness when the EMT'S were loading me on the gurney.  In the E.R..,  I received 6 stitches above my left eye and was told I had blood on my brain.  I was hospitalized for 6 days.",CHRIS
10,Levofloxacin,Bacterial Infection,,Taken for 1 to 6 months,"December 4, 2020",1,"Prescribed levofloxacin and had terrible side effects, tendonitis, swollen ankles, feet  severe nerve pain. Avoid",Rob
