,drug,condition,rating,duration,review_date,upvotes,review,username
0,Naltrexone,Alcohol Dependence,10.0,Taken for 2 to 5 years,"March 30, 2022",0,"Be patient.  I started Naltrexone because I needed to drink less and stop the progression of my drinking but I wasn’t ready to stop. It immediately helped cap me at two or maybe three drinks a night rather than four to five, or more. It stayed this way for about two years except when I’d drink liquor, which I began to do more often. Finally, I decided to start taking nights off, and then I decided to not drink at all Sunday through Thursday unless there was a social opportunity. I stopped talking Naltrexone on my off nights so there was no excuse to drink if I felt an urge. I’ve lost ten pounds and now vanity is motivating me. One Friday night with bourbon and waking up feeling like I used to every morning  was enough to rid me of the urge to have more than two drinks on the weekend, if I drink. When I do, I take a pill. My drinking is finally under my control and I can drink when and if I want, but I don’t abuse it any more and it isn’t going to kill me. Stick with it.",Niets
1,Naltrexone,Alcohol Dependence,10.0,Taken for less than 1 month,"March 6, 2022",0,"I have been on this since 3/2 and it is an absolute savior! I was prescribed it due to a rising alcohol problem. It completely ceased all cravings! Finally, I’m free from it! Added bonus, I did not realize it was also used for weight loss. I had definitely put on about 45lbs during my alcohol issues. In less than a week I’m down 10lbs after this morning! It totally curbs food cravings as well. It also has helped my moods as well (in combination with my antidepressants). As for the side effects, definitely take it at night. Makes me sleepy if I take it in the morning. Drink lots of water or you will have constipation issues. Expect nausea the first couple days (my first full day on it, I threw up a sandwich I tried to eat). After a couple days you’ll be back to normal, just without cravings. I do meal replacement shakes now, because I forget to eat and one day I had less than 500 calories.",smpowers6677
2,Naltrexone,Alcohol Dependence,10.0,Taken for 1 to 6 months,"March 2, 2022",0,"I was on naltrexone, not revia.  As for naltrexone l can honestly say it did what was claimed by my psychiatrist, which was it reduced my cravings by a lot.  My doctor prescribed naltrexone to me to treat  my methamphetamine addiction and I have been clean for about four months now which is great.  I'm glad they have drugs on the market to help with addiction issues.  A lot of great people struggle with addiction and need a little help to overcome those issues.  I was overall impressed with the results I had with naltrexone.",Freak off the l
3,Naltrexone,Alcohol Dependence,10.0,Taken for 6 months to 1 year,"February 28, 2022",0,Vivitrol (naltrexone):I was on vivitrol 3 years ago and I stayed on it for 1 year I had no cravings and had no problem being around people who drank alcohol or just around alcohol periodI got off vivitrol and I didn't have the support that I needed to stay sober so now 3 years later so now 3 years later I am back on the shot and it is working like a charm for anyone that is a chronic alcoholic and can't stop on their own this is a perfect drug for you I have had no side effects ever,Anonymous
4,Naltrexone,Alcohol Dependence,10.0,Taken for less than 1 month,"January 27, 2022",0,"I am 1 week into taking 50 mg a day and this has changed my life. I used to drink pretty much all day for 2 years. I had few times where I was able to go a month or two without drinking and then convinced myself I could drink moderately. Immediately after (within an hour) of taking it the first day, my thoughts of alcohol lessened. By the time I was on my third day, I didn’t think about alcohol at all and when I did, I had no interest. I couldn’t believe it. I had little side effects. I felt foggy headed for the first few days. That subsided.",Anonymous
5,Naltrexone,Alcohol Dependence,8.0,Taken for 1 to 6 months,"January 20, 2022",0,"Greatly reduced desire to drink. Went from about a liter of vodka a day for 12 years down to just  couple of beers few nights. Before naltrexone, I thought about how to get alcohol and hide doing it, it literally consumed every waking minute in my mind. On naltrexone, it completely removed the obsession and caring to drink. Unfortunately, I did have a few side effects that lead me to stop taking it. The minor side effects would be that I had cold sweats almost every night and would occasionally get brain fog very bad. Those were manageable. The side effect that wasn't manageable was that twice in a 6 week period I had a panic attack. I'm almost 40 and have never had a panic attack or anxiety attack. These panic attacks were so bad I had to be hospitalized and put on a psych hold each time",therodo
6,Naltrexone,Alcohol Dependence,9.0,Taken for 1 to 6 months,"November 14, 2021",2,"I started taking naltrexone combination drug for weight loss.  What a surprise ""the monkey is off my back"".  I no longer plan for drinking and  I no longer always order alcohol at restaurants,  or go to breweries to drink three or four beers. I can go on trips and not drink.  My mind does not gravitate to when I will get my next fix of alcohol.   When I read some of the experiences here, they say they were drinking for six years or ten years.  But, what about 40 or 50 years?  I wish they had this drug a long time ago.",LLS
7,Naltrexone,Alcohol Dependence,10.0,Taken for less than 1 month,"November 6, 2021",3,"I’m a 27F who has struggled with alcohol dependency since I was a teen. It runs in both sides of my family - almost lost my mom to it via liver failure when I was 14, then actually lost my dad to it when I was 18. I binged/blacked out a lot in my teens/early twenties, but for the past few years have become a habitual drinker, drinking 4-6 tall boys a day. I tried quitting cold turkey many times, without success and didn’t think AA was really for me. I decided to tell my doctor and she prescribed me 50 mg of naltrexone. I’ve been on it for 2 weeks now and have never felt so free from the grasp of alcohol. I took 25 mg for the first week and then upped it to 50 mg. I had a stressful situation earlier this week and cracked open a can out of habit, I used to turn to alcohol in times of stress but this time I didn’t even finish the can! Cannot recommend this drug enough if you are struggling with alcohol dependency.",freeatlast
8,Naltrexone,Alcohol Dependence,10.0,Taken for 1 to 6 months,"October 12, 2021",1,"Ummmm wow....I drank, heavily and daily, for ten years plus. I'm not sure when it started, mid thirties, by 38 I was drunk every day. Today I've been taking naltrexone for 2 months, I haven't been drunk in 50 something days, and haven't even had a beer in weeks. But it's easy... I did not expect that at all. I expected to grit my teeth through quitting (again), and eventually fail. I expected meetings, or rehab, or eventually to get fired and end up homeless (again). But I'm taking good care of my cat, have become one of the top guys at work, and I almost never think of alcohol. I tried to have a big high point ""beer"" (mike's harder lemonade) but as soon as I felt the beginning of any effects, I lost interest!!! I quit drinking accidentally!!! Never in my wildest dreams. Amazing drug, thank you, I have real hope for my future now. Ask your doctor, I'm so glad mine knew before I did. I did experience some shakes, insomnia, and never hungry. Worth it IMO",Kent ish
9,Naltrexone,Alcohol Dependence,10.0,Taken for less than 1 month,"September 25, 2021",3,"My average has been a 6 pack per day for 13 years. For 13 years now I've spent a quarter of my day thinking a beer would be okay right now, another quarter thinking I'd really love to have a beer right now, a quarter thinking heck how can I get a beer, and a quarter doing anything possible to get ahold of another beer. Took my 1st dose of Naltrexone yesterday and had zero desire to drink. To be honest though my desire was already lower than normal yesterday before taking the Naltrexone. Took it again today and my desire feels like zero. I went ahead and had my morning beer like usual anyway and it wasn't as good as usual and I don't have a desire to have another one. My body feels a little restless but that is the only side effect so far on day 2.",Jon
10,Naltrexone,Alcohol Dependence,9.0,Taken for 6 months to 1 year,"September 24, 2021",0,"Vivitrol (naltrexone):I was a binge drinker for many years drinking 4 to 5 nights a week anywhere between 1-2 pints of vodka on average, sometimes more.  I started on the pill form and was still drinking just slightly less.  I decided to put forth a little extra effort to try to quit once I got the vivitrol injection and had minor cravings only the first week which I was able to push thru.  I now have no cravings and no desire to drink.  I experienced no side effects , except for tenderness at the injection site, as well as a big bump for up to two and half weeks after receiving the injection.  I would take that over my drinking habit any day!",Kdub79
11,Naltrexone,Alcohol Dependence,10.0,Taken for less than 1 month,"September 20, 2021",2,"I have been drinking since I was 13 years old. Just turned fifty. Nothing could stop me, not even my own sister dying from alcoholism. BUT, my therapist asked me to try naltrexone and I did and the cravings are gone. I do go to AA and therapy, which I believe are important components to treatment, but the naltrexone is definitely a game changer.",Steph
