,drug,condition,rating,duration,review_date,upvotes,review,username
0,Oxcarbazepine,Anxiety,1.0,Taken for less than 1 month,"January 9, 2022",2,"So I was prescribed this medication for my anxiety flare ups and my horrible mood swings. For reference I am only on 150mg which is the lowest mg you can get and I have to split the tablet in half which makes that 75 mg. I have only been on it roughly a week and the side affects outweigh the positive affects. I’m so exhausted, I have diarrhea after everything I eat, I feel sick to my stomach, and I feel SO disconnected from reality. Like my body feels here but my mind is somewhere else. And it’s so overwhelming that it’s an uncomfortable feelings. I also kinda feel like a zombie as well, like I'm just here. I don’t really do anything or wanna do anything and I just feel numb. This medication is either a hit or miss and for me, it’s a complete miss.",Kai
1,Oxcarbazepine,Anxiety,9.0,Taken for less than 1 month,"December 25, 2021",0,"I have anxiety with depression and panic attacks. I got first Zoloft 50 mg, and Olenzapine 5 mg. Didn't worked. 3 Weeks ago, my doctor prescribed me 100 mg Zoloft and Oxcarbazepine 300 mg , 3x1. Worked as I woke up from long dream. Also doesn't interfered with other medications (0.5 mg Klonazepam, Olenzapine 5, medical marijuana). Need about 2-3 days to work properly in daily dose of 900 mg. Do not take alcohol with it.",Sarajevsky
2,Oxcarbazepine,Anxiety,10.0,Taken for less than 1 month,"November 19, 2021",1,"I've only been using it for a week but my anxiety is already noticably better. I started on 150mg and now I'm up to 300, and will increase it to 450 in aday or so. Even after the first time I took it, my anxiety was much more manageable. I usually tend to overthink and be paranoid about every little thing around me but this has helped so much with that. I've been able to talk to friends on the phone and I'm usually too afraid to do that. It feels like a huge weight was taken off of my shoulders. One issue that might be a problem for some people is it can be hard to concentrate on one thing unless you really want to. It's easy to just go into autopilot and let your mind roam free.",gary5367
3,Oxcarbazepine,Anxiety,3.0,Taken for 6 months to 1 year,"October 18, 2021",1,"It was horrible, increased my anxiety, and gave me night sweats as well as paranoia.",Ricola
4,Oxcarbazepine,Anxiety,8.0,Taken for 5 to 10 years,"October 3, 2021",2,"I’ve been on this medication for probably 5-6 years now. I can’t remember the initial side effects but they obviously weren’t too terrible. It certainly isn’t the best thing I’ve taken for anxiety (Cymbalta) but definitely not the worst (too many to name). It’s best used, in my case, paired with something like an SSRI or SNRI. It’s a nice backdrop that helps with mood balance. I don’t have bipolar but my anxiety can be off the charts. I also take Clonopin, between 1 to 2mg a day, usually at night. At one point I thought maybe it’s efficacy had waned and started to lower my dose. That’s when I realized how much it had helped with things like insomnia or social anxieties. Watch your salt levels as I was low on salt and my psych relayed that Oxcar can be a factor. Best of luck. If it doesn’t work, please don’t give up!! It took me a while to find a great trio of medications but I have and it has changed my life. Xo",EmmaLeigh80
5,Oxcarbazepine,Anxiety,10.0,Taken for 2 to 5 years,"August 17, 2021",13,"Oxcarbazepine made my anxiety go away. I was a mess of rumination, severe worrying, couldn’t sleep, worrying about the future, and had thoughts of suicide daily because I was so depressed. My doctor prescribed this but I was skeptical. Now I take 300 mg once daily at night. It has changed my life. I will never stop taking it if I don’t have to. I’ve been on it for 2 years, and all those symptoms are gone! It never made me feel sick, just sleepy, so I take it at night. I wish I had gotten help sooner. I didn’t do myself any favors as I went on YouTube watching people get sick from taking it, so I was scared to try it. None of that happened to me. Within about a week I was feeling better. Note, I also take 10 mg of Lexapro daily. I split it in half and take 5 mg in morning, and the other 5 in the evening. I started taking Lexapro first, but nothing really happened to help. Once I started the Oxcarbazepine, that’s when things changed for the better.",Sarah
6,Oxcarbazepine,Anxiety,1.0,Taken for 1 to 6 months,"August 5, 2021",2,"I've had a lot of meds in my time to treat anxiety, but this one is by far the least effective medicine so far. No noticeable side effects for me, but my anxiety actually worsened while on it. This med may work fine for other things, but it doesn't when it comes to anxiety.",Z
7,Oxcarbazepine,Anxiety,5.0,,"June 17, 2021",5,It worked well for me for 6 months and out of no where I started have melt downs again and I have now been switched medications. But it did really have an effect on my memory and I’m still struggling with my memory hope I get back to normal soon.,madiscott
8,Oxcarbazepine,Anxiety,7.0,Taken for 1 to 6 months,"March 24, 2021",7,Anxiety was reduced,Salim
9,Oxcarbazepine,Anxiety,6.0,Taken for 1 to 2 years,"January 26, 2021",38,"I used Trileptal for anxiety and had to stop it because I got to where I couldn’t remember ANYTHING, not even the next word I was trying to say to form a sentence. My whole thought process had become nonexistent! My boyfriend said that he noticed a change in me about 8-9 months ago and saw me go from being anxious to someone that was just a slug that couldn’t form a sentence or hold a conversation that made sense. I had asked my psychiatrist about it, but she didn’t say or do anything. She just recently passed away from a recurring illness and the psychiatrist that filled her spot took me off of it and it’s been a day and a half and I feel like I woke up and I’m alive and can just hear and see better, like I was living in a huge brain fog it seems. I feel like a normal person again and am working on regaining my thoughts!",Suzy
