,drug,condition,rating,duration,review_date,upvotes,review,username
0,Meloxicam,Inflammatory Conditions,3.0,Taken for 1 to 2 years,"March 22, 2022",0,"Not sure if it's from the medication but after a long period of use I feel dizzy, vertigo, itchy ears and throat. Not sure if it's related to meloxicam",Anonymous
1,Meloxicam,Inflammatory Conditions,9.0,Taken for 2 to 5 years,"March 8, 2022",0,One of the few exceptional miracle drugs. It relieved my inflammation pain completely even better than the narcotic based family of drugs. I could easily halve my pain meds just using Meloxicam. I only stopped to prevent kidney damage. Have never had a drug work so effectively.,Chazz
2,Meloxicam,Inflammatory Conditions,2.0,Taken for 1 to 6 months,"February 19, 2022",0,"I have nerve inflammation widespread. In the beginning it helped my pain, but soon side effects like constipation, bloating, and gas crept in. I kept taking to see if they would subside but never did. My gut is still recovering. Too bad. Low dose aspirin with tylenol works best for me. Ibuprofen doesn't agree either.",Guineapig4meds
3,Meloxicam,Inflammatory Conditions,1.0,Taken for less than 1 month,"December 4, 2021",0,I had to go to the ER 2 nights ago.  My hips gave out and I fell in my driveway for the 3rd time in four years.  I've been taking it for 2 days now and nothing.  Absolutely no help. The toradol shot they gave me at the ER didn't do anything either.  I've literally been screaming and crying in pain for over 2 days now. I'm bed ridden for the time being and can find no relief at all.,Crimson13
4,Meloxicam,Inflammatory Conditions,10.0,Taken for less than 1 month,"October 26, 2021",0,"I’m 49 and diagnosed today with SI (Sacroiliac Joint Pain & Inflammation).  I picked up Meloxicam at my pharmacy.  Within first 30 minutes, my fingers tingled (not anything I worried about, and it went away with an hour). My pain was gone within two hours.  I am so happy.  I didn’t realize how bad my pain was until the pain was relieved.",Refinnejean
5,Meloxicam,Inflammatory Conditions,10.0,Taken for less than 1 month,"October 2, 2021",1,"I swear this medicine works in one day, the second day unbelievable I was able to walk down the stairs by taking full steps not step by step , my problem was stiffness in my knee's for like 2 years till I told my doctor she recommended this drug 15mg",Rick
6,Meloxicam,Inflammatory Conditions,3.0,Taken for 1 to 2 years,"September 12, 2021",0,Doesn’t  work for me. Been using for over a year with no change in pain. Will talk to my dr soon,Apple
7,Meloxicam,Inflammatory Conditions,1.0,Taken for less than 1 month,"August 22, 2021",0,"I took one 15mg with dinner and the next day I was ill all day.  The following day, I decided to try half at breakfast and half at lunch to lessen the side effect.  I did the research first to make sure that was ok.   Later in the evening on the second day, I was getting ready for bed and the worst stomach pain I have ever experienced hit me like a train.  It lasted about 20 minutes and I kept pacing the floor wondering what a nightmare it would be to go to the ER in a pandemic.   It was HORRIBLE.  I will never take that med again.",Liz
8,Meloxicam,Inflammatory Conditions,1.0,Taken for less than 1 month,"August 20, 2021",0,I was given meloxicam because of a herniated disk by my doctor and I took my first dose today. I have had chest pain all day and it has done nothing for my pain. I will not be taking this medicine again I feel safer with ibp. This is not worth having a heart attack over.,Abbie
9,Meloxicam,Inflammatory Conditions,10.0,Taken for less than 1 month,"August 10, 2021",3,"My doc put me on 15mg of Meloxicam approximately 2 weeks ago. Before I started this I had great difficulty walking, especially up and down stairs. I had to hold on both sides and go one step at a time.  Aside from my leg pain, I also experienced back pain due to arthritis.  Previously, I was taking Aleve, but was still dealing with pain and discomfort.  Meloxicam is truly a miracle pill. No side effects so far.  I feel great!  I can start my walking regimen again.  I feel 20 years younger!",Susie
10,Meloxicam,Inflammatory Conditions,2.0,Taken for 6 months to 1 year,"August 1, 2021",0,"Meloxicam never did anything for me.    Ever.    I was on it daily, as prescribed, always keeping enough levels in my bloodstream.   It was prescribed for aching elbow (golfers elbow) and my shoulder (tendinopathy).",Tominator
11,Meloxicam,Inflammatory Conditions,10.0,Taken for less than 1 month,"July 13, 2021",4,"I had gotten my second COVID injection at the end of May 2021 , within 13 hours all of my joints hurt and until today my knees hurt so bad and it was hard to walk.  Finally went to the Dr and was introduced to Meloxicam. Within 8 hours I was walking normally with no pain. I feel the popping a little in one of my knees but there is no pain.  What a great day!",Mimi
