,drug,condition,rating,duration,review_date,upvotes,review,username
0,Prozac,Anxiety and Stress,10.0,Taken for 1 to 6 months,"March 10, 2022",1,"Prozac saved my life. I’ve struggled with anxiety my whole life, but after a stressful incident, I began to have extreme anxiety and panic. I couldn’t sleep more than 1 or 2 hours, I couldn’t eat, and had multiple panic attacks a day. I went to see my doctor and she prescribed Zoloft. Side effects of Zoloft were too much, so we switched to Prozac. Within a few days on Prozac my appetite improved, but I still struggled with anxiety/panic - then after about 2.5 weeks the anxiety started to lessen, and after about a month or so I was massively improved. I still struggle, but Prozac made life bearable again, and therapy helps for the rest. As far as side effects, I did struggle a bit to stay asleep - I take trazodone now to help that. I had some diarrhea and acid reflux the first 2 weeks, but that’s gone. My hands shook the first month, also gone now. No changes to sex drive. So thankful for this med!",siaaa97
1,Prozac,Anxiety and Stress,10.0,Taken for 6 months to 1 year,"February 28, 2022",3,"Well 2 years after Covid I have been dealing with minor OCD, social anxieties, intrusive thoughts. It all started to effect me physically around Feb 2020. I had shortness of breath, very anxious that made me feel horrible. I've always been a very relaxed person, never have been effected by stress/anxiety. I decided to take my doctors advice and try Zoloft for a month, I felt crazy! The crazy feeling never went away so I stopped taking it. Several months later I decided to try Prozac. I was very hesitant at first and it took me weeks to take the first pill of 10mg. I took 10mg for 2 weeks and then moved up to 20mg. During the first few weeks from start I honestly did not have a lot of issues. It all seemed to level out around the 4/6th week. Its been great! I do have seldom moments once in a while but they are not nearly as bad as it used to be. I feel relaxed again, able to go on with my life as normal. What a life saver!",i get it now!
2,Prozac,Anxiety and Stress,10.0,Taken for less than 1 month,"February 11, 2022",1,"First day on Prozac (fluoxetin) my anxiety disappeared! I had no idea I could feel this good! I didn't know I had so much anxiety before I met this doctor who prescribed prozac. I got the diagnose bipolar disorder type 2, I thought I was just sensative and that it was normal to feel the way I did before. My life has changed, I'm so happy I can enjoy life the way I want to! Ps no side effects yet",Anonymous
3,Prozac,Anxiety and Stress,5.0,,"February 8, 2022",5,"Hi, I’m 21 years old and a college student. I have GAD/OCD and I finally decided to try Prozac after years of being afraid and not wanting medication. First off, I want to say to whoever is reading this that medication is not a bad thing. It is there to help you. Living with mental illness is incredibly hard, and it doesn’t have to be this difficult. However, after experience- you should know if a drug is working for you sooner rather than later. There are TONS of drugs out there so don’t be discouraged, but if you are experiencing horrible side effects for weeks, this might not be the right med for you. I was on Prozac for 6 weeks and experienced the worst side effects unfortunately. I stuck it out because of these reviews, but recently had to stop because it didn’t work for me. My advice- if the side effects are still unbearable by the 3 week mark, SWITCH. Start taking your meds today! You’ll never know if you don’t try. Bless anyone who reads this!!",Anonymous
4,Prozac,Anxiety and Stress,8.0,Taken for 1 to 2 years,"February 3, 2022",2,"Firstly don't take these type of medications until you get diagnosis for a long term mental health condition these are only lifeline drugs not drugs to play with because your a bit down or a bit anxious because these drugs only work when they are in your system they reuptake serotonin and use it more efficiently so how can people come off them and say it really helped? That is impossible!!! If you had GAD , SAD , PTSD , BI POLAR or similar then these can help but only long term, stop taking them and you will be the same as before or worse because you have become dependent on this medication recycling your own serotonin for you so you can definitely be worse off. Basically if your on a high dose there is a very good possibility of erectile dysfuntion but my situation was so desperate life was more important than sex, feeling good and being able to look at a beautiful world through new eyes outweighed my new monk lifestyle of no sex.",Read this
5,Prozac,Anxiety and Stress,8.0,Taken for 1 to 6 months,"January 20, 2022",4,"Prozac was a last-ditch effort for me with antidepressants--everything else had either caused terrible side effects or just didn't make me feel any better. I started on 10mg, went up to 20mg, them 40mg, but 40mg caused severe headaches, so I went back to 20mg after about a month of tolerating them. A week or so ago, I had the realization that I was 'calm'--after a stressful day at work, I didn't feel like I had to go home and hide in my bed on the verge of a full breakdown. That is the first time this has ever happened to me with antidepressants before, and it's a strange but amazing feeling. It takes time to work, but stick with it!",Mar
6,Prozac,Anxiety and Stress,10.0,,"January 2, 2022",3,I was prescribed Prozac 20 mg daily for crippling anxiety.  I had been really struggling to live in the present instead of the past or future for many years. I can confirm what many others here have stated with regards to the amount of time it takes for this medication to build up in your system and work.  Week 1 my anxiety and insomnia worsened.  By the end of week 2 these side effects are completely gone and I have a feeling of calm and happiness I have not felt in a very long time.  I will continue to use this medication indefinitely.  If you do decide to take this medication stick it out for a least a couple weeks before you make a decision on if it's right for you!,Anxiety
7,Prozac,Anxiety and Stress,,Taken for less than 1 month,"December 23, 2021",5,I have started Prozac about 2 weeks ago but I have feeling much worse with negative repetitive thoughts and sadness. I don’t want to go out or see anyone. Will I get over these feeling?,Allison
8,Prozac,Anxiety and Stress,9.0,,"December 16, 2021",4,"I’ve always struggled with social anxiety, some generalized anxiety, and mild to moderate depression. Earlier this year due to personal circumstances, my mental health took a nosedive. I have always been resistant to taking antidepressants, but I decided to try 10mg of fluoxetine (I’m sensitive to medication so I didn’t want to try more than that). I can honestly say most of my anxiety and depression has disappeared, my interest in my hobbies has come back, and my work life and relationship has significantly improved as well. The only negative side effect really is that my sex drive is pretty low, and it does occasionally cause loss of appetite for me. Overall I’m very thankful for this medication and give it 9/10.",Anonymous
9,Prozac,Anxiety and Stress,5.0,Taken for 1 to 2 years,"December 14, 2021",2,"I used prozac when I was between 18-20 and went between 20mg and 40mg. I struggle with anxiety and depression and during this period along with therapy I found that this medication helped. A side effect is that I very rarely cried on it, but I didn’t mind at the time because I was able to enjoy university and create meaningful relationships and experiences. I used it alongside propranolol for anxiety. I switched meds when I was 21 to sertraline/Zoloft because I felt the effectiveness of the fluoxetine wearing off.I'm 23 and a few months ago when I was struggling with severe depression and anxiety I re started fluoxetine. Honestly it really wasn’t great for me this time, I’m in a different and quite hard phase in my life after graduation. First few weeks I didn’t notice the difference and was still struggling, and then at about week 5 I’ve had a really bad anxiety episode that’s lasted about two weeks at this point so have have had to taper off and find something else",mentholillness
