,drug,condition,rating,duration,review_date,upvotes,review,username
0,ProAir HFA,Asthma acute,,Taken for 1 to 2 years,"January 11, 2022",1,"the insurance company wont cover Ventolin which I have used for ever and works they will only cover this bad product, that doesn't work so if I want to breath i have to pay 60 but if i do what they want ill pay 10 and not breath really take this thing off the market!",mike
1,ProAir HFA,Asthma acute,3.0,Taken for 10 years or more,"January 3, 2022",1,The medicine itself works but the container used does not after so many uses. There is not a specific amount of uses before the container stops dispensing the medication. I've experienced when I took it out of the box and didn't work and halfway through the counter etc.,Shell
2,ProAir HFA,Asthma acute,2.0,Taken for 1 to 2 years,"December 15, 2021",0,"My experience is the same as so many others. They clog after a few uses. The scary part is that they still sound as though they are dispensing medicine, but it is going up the canister, and not into the patient. I can imagine that people, especially children, could be harmed and unaware that they're not getting the medicine they believe they are.  It is a small inhaler, with a dose counter on it, which is great, but it is useless if it clogged and cannot help someone when it's needed.",ProAir
3,ProAir HFA,Asthma acute,1.0,Taken for 1 to 6 months,"October 18, 2021",1,"Insurance just switched me from Ventolin to this generic ProAir inhaler.  This stuff is a joke and should be considered criminal to offer this as a solution for asthma attacks.  My asthmatic wheezing puts out more air than this inhaler could ever hope to do. The puff itself is quieter than someone laughing at a bad joke, exhaling out their nose. At least that person can breathe, unlike anyone using this inhaler. I'm sure this review is going nowhere, but I'm guessing whoever put this product out never had asthma or ever heard of it. Insurance companies are already awful, but to force this option and not cover something that works is ridiculous.",sean
4,ProAir HFA,Asthma acute,1.0,Taken for less than 1 month,"August 23, 2021",1,"This is hands down, the WORST rescue inhaler ever made. I put rescue in parentheses because it doesn’t rescue you from anything. It doesn’t work AT ALL. I used Ventolin all my life until my insurance stopped covering it and switched me to ProAir. Now I have to buy my Ventolin out of pocket at Walmart because I REFUSE TO USE PROAIR. You might as well not have a rescue inhaler at all because PROAIR DOES ABSOLUTELY NOTHING. This product should have been discontinued years ago as it is a risk to peoples lives! Wish I could give this product zero stars. The greed and selfishness of the pharmaceutical companies is literally dangerous to people.",Anonymous
5,ProAir HFA,Asthma acute,10.0,Taken for 5 to 10 years,"May 17, 2021",1,I am not sure why anyone's complaining about this inhaler brand. I've had asthma ever since I was about 6 months old and have been with ProAir since it's release. I was switched temporarily to Ventolin but was put back on ProAir ASAP after having an asthma attack after taking a puff from the Ventolin inhaler. My insurance made sure to let my doctor know to keep me on it and to not switch it without telling them or having them talk to me about it. It is the only inhaler that works for me. I also do not use the generic versions.,NoPunIntendo
6,ProAir HFA,Asthma acute,4.0,,"March 14, 2021",3,"ProAir has never worked well for me. It is albuterol just like Ventolin HFA, etc.  But, I have heard from many that ProAir is not as effective due to a different type of propellant in it. Now, to me this makes little sense. The reason why makes little sense is that IF the propellant that has been changd from the product is ""part"" of what helps the treatment of an asthma attack, it (the propellant) should not be replaced by a different propellant. The propellant that helps treat asthma SHOULD THAN be considered as an active ingredient that TREATS asthma. Since propellants have not been studied or claimed to be a treatment, it leads me to believe there is some OTHER unfounded reason for the ProAir not to work as well as other inhalers. Why? BECAUSE ProAir and many other ""emergency"" inhalers contain the same active ingredient; albuterol. I rate ProAir a 3-4 in effectiveness. I would rate other emergency inhalers that contain the same active ingredient, albuterol, as a 9-10.",Don
7,ProAir HFA,Asthma acute,1.0,,"February 2, 2021",4,"I like so many others here have had a very bad experience with pro air. I have bad allergies and so I will regularly need my inhaler when working. I used Ventolin for years, and it was great, no complaints, but like so many others, my insurance decided the be greedy and switched me over to ProAir. It tastes awful, first of all, always makes me gag, and second it causes my attacks to get worse! Supposedly my insurance covers it, but it is more than 3x that of any inhaler I've ever gotten! I've only had it for a couple months, but I will be very strongly requesting to my doctor and pharmacy that I go back to ventolin very soon.",Tired
8,ProAir HFA,Asthma acute,1.0,Taken for 1 to 6 months,"October 16, 2020",1,"My son has had ProAir HFA switched when Covid hit and its JUNK. I do not recommend leaving any pharmacy with this if you actual need to count on breathing or having a reliable inhaler.It clogs all the time which is unacceptable if you have activities that involve being outside and possibly away from being able to wash it.Even when its able to dispense properly the relief it provides is minimal at best. What a joke. Yes, I'm angry. I have worked hard to figure out what works for my kid and to have someone tell me I cannot do that is not acceptable.",AngryMother
9,ProAir HFA,Asthma acute,7.0,Taken for less than 1 month,"September 16, 2020",6,"Pro Air inhaler works but it clogs constantly. If you can rinse the plastic inhaler with hot water, shake it let it air dry and waste one does, it starts to work again. However, it is obvious that this can be dangerous. If the patient is in need of the medication and not near any hot water, it could cause a problem as you would not know that it's clogged until you try to use it.",TechieB
10,ProAir HFA,Asthma acute,1.0,Taken for 1 to 2 years,"September 15, 2020",7,this inhaler is supposed to be a rescue inhaler. But it is extremely dangerous because it probably is plugged when you might need it most. I was in my car when I had an attack and thank goodness I had an old one because this model was clogged and unable to rescue me!!!!!!!!!! It is horrible and could cause great harm!!!!,KB
