,drug,condition,rating,duration,review_date,upvotes,review,username
0,Diclofenac,Back Pain,9.0,Taken for less than 1 month,"February 11, 2022",10,"Voltaren (diclofenac):I've had severe unrelenting L4-5 radiating pain, searing sciatica, and overall spine fatigue.I  am only 56 years old and normal BMI so I'm not sure why I've even got so many spine issues that are unrelieved by therapy or posture improvement. That aside, my dr rx'd me voltaren pills..and honestly, the side effects were scary. Then I saw a gel available. I turned around went back to my drs room and asked about the gel, his nurse said she had a sample + $5 off coupon. I've used the gel for 2 days and I already feel noticeably less pain. I'm a little concerned that all the American articles say to not use it on your back, but Australian and New Zealand articles seem to use the emulgel voltaren which looks to be the about the same thing to me. Mine has 1% active ingredient and I think the emulgel . I will ask my doctor when I see him in a month.but so far I would say it is definitely a noticeable difference even after one day.. of course if I develop a side effect I will update this review.",Ambrid
1,Diclofenac,Back Pain,10.0,Taken for less than 1 month,"January 18, 2022",3,Voltaren (diclofenac):I just started getting terrible back pain. Went to the doc and realized that I have arthritis. She prescribed Voltaren and the pain went away immediately. My whole body felt so much better. I have not felt any side effects. It’s a great drug.,Anonymous
2,Diclofenac,Back Pain,10.0,Taken for 6 months to 1 year,"October 31, 2021",1,Voltaren (diclofenac):Voltarten works 100% on Back pain that comes from Fibromyalgia. I’ve suffered for years with horrible lower back pain from Fibromyalgia muscle pain. I first use Real Time a muscle ache creme. I rub that first which opens the pores with Menthol then I apply the Voltaren and almost immediately I get relief. I’ve tried about everything over the counter and prescription and either I had reactions or no relief. This combination works 100% without burning my skin or other reactions. This along with my prescription Hydrocodone works totally. I also use both in other areas of pain and it works. It keeps me totally out of pain during the day and also at bedtime so I can get a good nights sleep.,Dave
3,Diclofenac,Back Pain,1.0,Taken for 10 years or more,"October 7, 2021",0,"I’m 23 year old female I took Diclofenac and paracetamol for headache but just after 1/2 an hour my severe stomach pain started and my pain also reflects to back, but I got relief from headache..and for stomachache I took one more medicine  which makes me feel good after an hour.",Meha
4,Diclofenac,Back Pain,10.0,,"September 4, 2021",2,"Diclofenac where have you been all my life!!! I was in a severe car crash 35 years ago and was broken from head to toe. Plus I have scoliosis and fibromyalgia. Needless to say I’ve spent my entire adult life in significant pain and have tried so many different meds/procedures with little to no relief. Then my new pain management dr prescribed diclofenac 75 mg/twice a day and although I’m still in some pain, I am now functioning and because of this miracle drug!! I just hope I can take it for the rest of my life, as I’m 48!!",Miracle drug
5,Diclofenac,Back Pain,10.0,Taken for 1 to 6 months,"July 24, 2021",19,"Voltaren (diclofenac):I have arthritis in lower back.  Physical therapy helped my pain, but not completely.  The addition of Voltaren use has brought me tremendous additional back pain relief.    My pain level is the lowest it’s been in 20 years.    I am so thankful that this product exists!!!",Jomi5
6,Diclofenac,Back Pain,9.0,Taken for 1 to 6 months,"January 11, 2021",26,"I am a 49 year old woman with cervical stenosis/myelopathy due to impingement from disc degeneration and bone spurs. Also severe pain from cervical radiculopathy down my right arm. During a terrible flareup six weeks ago with unbearable pain, I began taking 50mg diclofenac three times a day plus paracetamol (acetaminophen), with diazepam and codeine at night when the spasms were bad. Over time, I've achieved pain relief from the diclofenac and have been able to drop the paracetemol, diazepam and codeine. The pain isn't gone completely but I can work, sleep, etc. Anytime I forget to take it, or try stepping down to ibuprofen instead, the pain comes back viciously within hours! So I know it's doing its job. I've had minimal side effects (some constipation). You do need to take it with meals. I understand it's not intended for longterm use, but hoping it will see me through to surgery next year. I'm very grateful for it!",Jane
7,Diclofenac,Back Pain,10.0,Taken for less than 1 month,"November 9, 2020",13,"Cataflam (diclofenac):Pulled a heavy object, I think did something to my lower back. It was so painful. I can't stand, walk or sleep properly. I had some Cataflam from his dental work. Tried to eat 2 initially since I read in this web that it will provide better relief in some patients.Boy, it was working just under 24 hours since I took Cataflam, by lower back pain was gone probably around 70%. After that I took 2 Cataflams a day (1 Cataflam per 12 hours). After 2 days I almost feel no pain, just still a little bit discomfort around lower back. The third day I stopped the medications since I no longer feel pain. What a wonderful medicine for my lower back pain.",Regis
8,Diclofenac,Back Pain,10.0,Taken for less than 1 month,"October 28, 2020",67,"Voltaren (diclofenac):I’ve had a herniated disc (L1-L2) that has not healed in 8 months, I’ve tried chiropractic, two epidural steroid shots and physical therapy. Now that I’m taking Voltaren daily I have much less pain and inflammation, more range of motion and get so much more out of my physical therapy sessions. I finally feel like I am getting my life back.",Mbz
9,Diclofenac,Back Pain,,Taken for less than 1 month,"August 18, 2020",1,I've been taking diclofenc for 2 months for back pain they work but now the past two days nothing even with tylenol what else can I take,Marlabob
10,Diclofenac,Back Pain,10.0,Taken for less than 1 month,"June 24, 2020",7,Prescribed and take diclofenac 50mg twice a day. Was in total low back spasm (L4 disc issues). Spasm and pain gone in 2 days. Awesome drug.,Mark
11,Diclofenac,Back Pain,1.0,Taken for less than 1 month,"December 17, 2019",6,"I slipped a disc in my lower back and also strained the muscles on the right side. I was prescribed Diclofenac by my doctor which did nothing. There was no change of any kind to my pain and in the middle of the night I was actually sobbing. For 3 days prior to this prescription I had taken neurophen which did provide some relief and I took 5 mg valium tablets, 1/2 a tablet at night with the neurophen which enabled me to sleep. After seeing my doctor ,she prescribed me ten tablets of low dose valium to take with the Diclofenic  causing me to feel drowsy but leaving me with mind-blowing pain. After 2 days of Doclofenac with no reduction in pain at all I am going back to neurophen ...my back still hurts but I can at least endure it without crying .",Cassie
12,Diclofenac,Back Pain,10.0,Taken for 5 to 10 years,"December 15, 2019",12,"I use Diclofenac patches on my back whenever I have muscle pain due to bruxism (grinding my teeth at night) in my upper back, and it always takes the pain away. Now, earlier today, I had an awful pinched nerve in my back (probably due to wallpapering yesterday), and I put a Diclofenac patch over the nerve pain area and it has taken all of the nerve pain away. The patches are absolutely wonderful for local pain, and especially for people like me whose stomachs can't handle meds like ibuprofen very well. I did try the Diclofenac tablets once years ago, but they really bothered my stomach, so I won't take those again. However, the patches are an absolute god-send whenever I have localized inflammation / muscle pain or nerve pain, as was the case today.",C8
13,Diclofenac,Back Pain,9.0,Taken for less than 1 month,"November 3, 2019",21,"Wow. After struggling with injections, pain killers, muscle relaxants, physical therapy, chiropractic, and acupuncture.... 50 mg diclofenac 1 to 3 times a day for 1 week took out the stiffness and pain in my back completely.Almost equally as good as steroid injections.I have lower facet joint syndrome, spondylothesis, and some sciatica.I really wish it had a better side effect profile particularly on the arterial changes it can make increasing risk for heart attack and stroke!!!I've taken 1000mg of Naproxen for weeks with no noticeable difference, though it's safer side effect wise.I plan on using the quick release and or the time release diclofenac to calm down intense flareups without staying on it for long periods of time.It's too bad, the pain relief is better than percocet, which you have to be a criminal to get anymore !!!  If only it was safer to take .....!???",jserrent
14,Diclofenac,Back Pain,10.0,Taken for 6 months to 1 year,"October 21, 2019",10,"started diclofenac 6 months ago after back surgery, dr thought I had sciatica, he was going for small pain machine for me. PT found out it was my hip. I'm having a hip surgery, was scheduled for 10/14/19. Then  my mobility scooter got stuck in reverse and I went flying backwards down the hill, dumped me in the woodpile, battery flew off and hit me in the back. I was off the diclofenac for the surgery. In the ER room they put me on pain meds they were not working so I went back on the diclofenac. It works very well, I have weight gain, pain in arms at night and diarrhea and I sleep more than I used to. But the pain of bone on bone is way more than I can stand. I'm sold on the diclofenac. I plan to go off it after the hip surgery. IT HAS BEEN AMAZINGnothing else can touch this ugly pain.",cincy
15,Diclofenac,Back Pain,5.0,Taken for less than 1 month,"October 10, 2019",6,"I'm taking this for back pain - it does help some.  I take it for back pain consecutively, for three days then as needed, it does have a lot of scary side affects ,and  I do get dizzy, heart flutter, diarrhea, and stomach problem, but it's the only pill that works best for my pain. I'm scared in the long run to what problem me this medication will cause",Keely kee
16,Diclofenac,Back Pain,8.0,,"August 24, 2019",5,I take diclofenac 75mg. Helps with stiffness but doesn't  completely take away my pain. I'm not going without it though.,Achy
17,Diclofenac,Back Pain,1.0,Taken for 2 to 5 years,"August 12, 2019",7,I’ve had severe back pain off and on for about 3 years now. It’s to the point that I can’t sleep or function. Doctors keep prescribing this like it’s a wonder drug and it NEVER helps. Even when I tell them it’s not helping they prescribe it anyway. Useless medication,Kentucky
18,Diclofenac,Back Pain,8.0,,"May 29, 2019",8,"Three months ago, I started Diclofenac 75mg twice a day for facet joint syndrome. The achy joint pain is reduced by 50-75% (yay!), but the associated nerve pain (tingling, burning, stabbing) is unaffected and still requires Vicodin to alleviate daily flareups.",sf100
19,Diclofenac,Back Pain,1.0,Taken for 6 months to 1 year,"May 21, 2019",33,"Voltaren (diclofenac):My Voltaren is destined for the trashcan. I used the product several times for moderate back pain over a one year period.  Did absolutely nothing for me. It's a pricey product, not covered by my insurance, and  proved ineffective.  I switched back to the cheaper products on the market which are much more effective.",Disappointed
20,Diclofenac,Back Pain,10.0,,"May 9, 2019",65,"Voltaren (diclofenac):My back was in pain and I was bent over and couldn't stand up straight, the pain was bad and I have taken  strong pain meds for years.I started taking Voltaren 75mg.The next day I was 75% better. The following day my back pain I was 100% better, so  I am very pleased that the voltaren tablets worked.",Marky
21,Diclofenac,Back Pain,10.0,Taken for less than 1 month,"March 15, 2019",7,"I suffered for weeks with back pain prior on a  Ibuprofen and a muscle relaxer combo  then my doctor switched me to diclofenac, and in one day it worked",Chandalicious
22,Diclofenac,Back Pain,9.0,Taken for less than 1 month,"February 7, 2019",12,"I started having neck stiffness which progressed to right shoulder and forearm spasm, tingling sensation and severe pain. Doctor initially prescribed tramadol and anarex which worked a little while until I experienced side effects from tramadol. Anarex does not alleviate the pain. Finally doctor presribed  diclofenac sodium 50mg three times a day. I can attest that this drug really is my saviour. Pain scale drops from 10 to 2 within a day of taking. However, after taking for two weeks, I thought my shoulder pain has subsided so I stopped taking for two days and then the unbearable pain suddenly came back this morning. I guess I need to continue taking this medication until doctor review my MRI report.",Derrick
23,Diclofenac,Back Pain,3.0,Taken for less than 1 month,"October 10, 2018",14,Zipsor (diclofenac):I don't think this works any better than taking one or two Aleve and it cost the insurance company $1500.  Not worth it.,Kew
