,drug,condition,rating,duration,review_date,upvotes,review,username
0,Isosorbide,Angina Pectoris Prophylaxis,9.0,Taken for 1 to 2 years,"January 22, 2022",1,"I have been taking isosorbide mononitrate for over a year now for stable angina pectoris.  I take it at 10 A.M. in the morning rather than when I get up, which works best for me because it's effect only lasts 9 hours for me, and If I take it too early, I have a severe rebound period beginning at about the 9 hour mark... eating the evening meal at 6 P.M. causes hard angina attack if I am in the rebound period.  In my rebound period, walking 50-60 feet or any similar activity brings on an attack and I have to take one .4mg nitroglycerin sublingual tablet as a minimum, and If I don't catch it early two or three nitro tabs.  My rebound period is most problematic from about 9 hours to 14 hours after taking the drug.  In the mornings after resting overnight, I'm good.",cebtoo
1,Isosorbide,Angina Pectoris Prophylaxis,10.0,Taken for 2 to 5 years,"January 15, 2020",17,I've been taking Isosorbide 30 mg ER dose 3 times a day for years to help angina.  I also have a pacemaker.  No headaches and I feel better than I did before this medicine was prescribed by my cardiologist.,Donaldw4
2,Isosorbide,Angina Pectoris Prophylaxis,,Taken for 6 months to 1 year,"September 3, 2019",25,Jackson.  My Dr put me on 30 mg and I had a killer headache all night so I wasn't going to take again but broke the tablet in half and took it.  I still had a small headache.  I suggest slowly increasing isosorbide until your body  adjusts to it and then continue increasing until you reach the desired dose the dr wants you on.  I told my cardiologist and he said that was ok..just a suggestion - you probably should check with your Doctor and see what they think.,Sue
3,Isosorbide,Angina Pectoris Prophylaxis,1.0,Taken for 2 to 5 years,"May 6, 2017",20,"No more! Everything upsets me on this Med! Always irate , temperamental. DRY MOUTH so bad - had 4 teeth pulled . Cry cry cry . I'm so angry """" doc "" never  listened / shame on you all of you , it's my body & you ruined it forever!!!!!!!!!!!!",It sucks
4,Isosorbide,Angina Pectoris Prophylaxis,8.0,Taken for less than 1 month,"April 22, 2017",19,"Within a few hours of taking have never felt so bad in my life. Headache,sickness and diarrhoea. In bed for 2 days. Now on my 5th day mild headache no chest pain and all round feel better than I have for a long time",Anonymous
5,Isosorbide,Angina Pectoris Prophylaxis,9.0,,"March 28, 2017",24,"My GP suspected (and after pressure wire Angiogram) I was diagnosed with Variant (Prinzmetal) Angina. I have been taking Isosorbide Mononitrate 30mg successfully for a year. The headaches were awful at first but by ""titrating"" the (strictly once a day) dose (that is gradually increasing it to the prescribed strength over a period of a couple of months) the side effects were minimised. My GP was helpful in this regard by selecting tablets that could be halved; quartered; and of lower strength than the target dose, while working up to the full dose. The frequency episodes of chest pain have reduced from almost daily to about 1 day in 10 and the intensity of pain reduced from excruciating to quite mild.",PeterRG
6,Isosorbide,Angina Pectoris Prophylaxis,1.0,,"February 19, 2017",31,"Imdur (isosorbide mononitrate):Took half dose, 15 mg, and spent two days feeling terrible. It caused chest and back pain, shortness of breath, confusion, dizziness, anxiety, and a general really sick feeling. It did relieve angina but it was not worth the side effects. Really bad medicine.",NCDavid
7,Isosorbide,Angina Pectoris Prophylaxis,3.0,Taken for less than 1 month,"March 2, 2016",30,"Imdur (isosorbide mononitrate):my mother was prescribed imdur this after heart attack stent placement. She had horrible body aches and felt like her body was crushed, worst pain of her life she said.   plus her feet were on fire and her body was ice cold she was shivvering and couldn't see so it affected her eyes too",monkeyponycalleigh
8,Isosorbide,Angina Pectoris Prophylaxis,1.0,,"February 1, 2016",44,Imdur (isosorbide mononitrate):In bed 24 hours severe pain head to toe blurred vision vomiting light sensitive extreme this all happened on the day that I took imdur - I'm taking 30 milligrams the next day I was in bed till about 2 I felt 75% better did not take imdur called the doctor and told them what was going on would not recommend this medication to my worst enemy,Sally66
9,Isosorbide,Angina Pectoris Prophylaxis,1.0,Taken for less than 1 month,"December 4, 2015",25,"This is my second day and second dose.  I am experiencing headaches so intense I vomit, lower leg pain, annoyance with about everything, social isolation, no concentration, and paranoia.",Luckyirishfightclub
10,Isosorbide,Angina Pectoris Prophylaxis,3.0,Taken for less than 1 month,"November 29, 2015",13,"Headaches, dizzy, nausea.",Manny Garcia
11,Isosorbide,Angina Pectoris Prophylaxis,1.0,,"November 3, 2015",53,"Imdur (isosorbide mononitrate):I had chest pain and palpitations. Was prescribed Imdur and took 1 tablet. That was the worst 3 days of my life. I prefer the angina to the ""cure."" Caused nausea, vomiting, intense pain (felt like my body was made of broken glass), every sound went right thru me, and every noise was excruciating. Never again.",Sonny Beach
12,Isosorbide,Angina Pectoris Prophylaxis,10.0,,"June 7, 2015",57,I have been on this med for a couple months and I must say I feel sooooo much better! I have been fortunate in that I never had the headaches as have been reported in the reviews! My doctor just increased dose to 60 mg which has really helped me with my activity - no more shortness of breathe or pain! I have Angina and this med has helped big time! I have my quality of life back!,Betboop
13,Isosorbide,Angina Pectoris Prophylaxis,8.0,Taken for 1 to 6 months,"September 16, 2014",43,"I have been on the medication about a month now. Fortunately, I have not had any headaches and the chest pain is gone for the most part. The side effects I have had are dizziness, sweats, feeling faint. So far, the good is outweighing the bad.",Phyllie
14,Isosorbide,Angina Pectoris Prophylaxis,8.0,Taken for less than 1 month,"June 27, 2013",41,"Had a angiogram, found a caulked artery, did not fix it, was put on this to help, so far only one mild headache. It's been 8 days, there has been no chest pain!  I'm happy with this medicine so far.",Anonymous
