,drug,condition,rating,duration,review_date,upvotes,review,username
0,Norco,Back Pain,7.0,Taken for 2 to 5 years,"March 16, 2022",0,Norco does help with my quality of life and does help with me being a little bit more mobile throughout the day however it is a temporary fix temporary fix due to the fact my insurance will not cover it a surgery for my back this is the society we live in today,Back pain
1,Norco,Back Pain,1.0,Taken for 10 years or more,"March 15, 2022",4,"We need to make sure that this message gets out. Share it with as many people as you know: People are being forced to buy drugs on the street, stronger, non-regulated, and often deadly alternatives to their pain medications, because of the re formulations that have taken place in the commonly prescribed hydrocodone formula. I have been a pain patient and practitioner for over 25 years. Norco is an easy medication to prescribe - while addictive in nature, if taken as prescribed, the risks are fairly mitigated.People are dying because they cannot get access to a low risk medication that works. SHARE THIS MESSAGE. It feels like no one is hearing us!!! Due to pressure, lawsuits, and the like, the reformulated generic Norcos are very unpleasant. The active ingredient is the same, but it isn't derived the same way. Much of it is derived abroad. Qualitest/Par/Endo formulated the yellow ones that the pain patients here refer to. It worked well and didn't create the side effects of the others.",Michael Wilsher
2,Norco,Back Pain,2.0,Taken for 1 to 2 years,"February 2, 2022",9,"Norco 10- 325 something is wrong with the med, it doesn't take my pain away, or help with my breathing, I can hardly get out of bed",Norco
3,Norco,Back Pain,,Taken for 2 to 5 years,"January 28, 2022",10,I've been taking Norco for my back and neck for at least 5 years. I take it as prescribed and it worked to keep me functioning adequately.  Now that they're pharmacies are getting their hydrocodone from the manufacturers listed in these comments I get no relief. My last prescription I took my pills with food and immediately threw my food up. It's not right to not have a choice to get American Pharmaceutical FDA inspected medications. If anyone knows who we need to complain to please leave it in the comments.,Anonymous
4,Norco,Back Pain,1.0,Taken for less than 1 month,"January 20, 2022",6,"I filled a small script at Walmart for hydrocodone/acetaminophen5 - 325 When away from home. Not my normal pharmacy. I have complications from spinal surgery a year ago. Been getting my script for hydrocodone from a private pharmacy. I only take the pain meds at night when I need to relax and sleep. Otherwise I cannot sit still from nerve pain and jumping in the nerves. I am 62 years old, and healthy.I couldn't understand why I got no pain relief when taking the script from Walmart until I started reading this forum.I did NOT KNOW it was a different brand than my pharmacy so it's NOT ALL IN MY HEAD. This brand of Hydrocodone does NOT work.I tried it 4 x And I got zero pain relief.Had 4 sleepless nights.Finally got my normal script from my pharmacy. Thank God.The NORCO brand absolutely does not work for nerve pain.",Deb
5,Norco,Back Pain,1.0,Taken for 10 years or more,"December 29, 2021",13,"This is a follow up of a review about a year ago. The Mallinckrodt brand has gotten even weaker to the point where I have decided to stop taking them. They are starting to give me a NERVOUS TYPE of SICK FEELING on top of the daily pain. I will also stop making all my supplemental health insurance payments and work on a plan to become an expat of U.S. It is a shame I have to make plans to leave after building USA infrastructure for close to 40 years of heavy construction work. The daily, close to 40 years use of heavy construction tools that caused vibration throughout the body created multiple levels from neck to lumber of herniations and stenosis. The medications do not work anymore for reasons only FDA and CDC can explain. I pray for an advocate to start legal action to see why the medications don't work anymore.",GandyDancer
6,Norco,Back Pain,,Taken for 10 years or more,"December 14, 2021",9,I been taking Norco for ten years now it's not working. I am in pain all day every day. My doctor told that he wouldn't give me anything else. I told him that the Norco was not working anymore. I don't know what to do.  I can't do my house work or stand to long or walk to long.,lillierollins99
7,Norco,Back Pain,10.0,Taken for 5 to 10 years,"December 5, 2021",0,It works for me I take as prescribed am able to somewhat have a limited life as stenosis of the spine is very painful,Help
8,Norco,Back Pain,2.0,Taken for 10 years or more,"November 29, 2021",16,What is going on with generic Norco? It's been over a year that there not working like they did. Now it causes migraines & stomach pains & barely relieves my back & neck pain? How is the government now checking when we keep complaining. Taking 10s,Xxena
9,Norco,Back Pain,1.0,Taken for less than 1 month,"November 12, 2021",6,I took two tablets in the am and two more 6 hours later and 2 in the evening for two days with NO relief!,Mallinckro
