,drug,condition,rating,duration,review_date,upvotes,review,username
0,Zoloft,Panic Disorder,8.0,Taken for less than 1 month,"April 2, 2022",1,"Hey everyone I’m a 32 year old female that started taking Zoloft a week ago! Your comments really helped me to even start taking it so thanks to everyone that left a review because I’m scared of medicine. I am to leave a review in hopes to help someone like me! I started on 25mg but broke it in half to get it into my system for one week and I will move up to my 25mg but my experience so far I have had sleepless nights, headaches, diarrhea, not really been hungry but y’all don’t let that scare you like it did me.  I’m telling you even on a small dose I can tell a small adjustment already and I will be back in another week to update y’all on the dose increase, but take a leap of faith and try it I can already tell I’m feeling some what better just in a week! We are all in this together!",Renee
1,Zoloft,Panic Disorder,10.0,Taken for 5 to 10 years,"March 24, 2022",2,"It's a mystery to me why anyone would be afraid to take antidepressants. Well actually no, it's not a mystery. I'm sure it's because of all the sensationalism in the media. It's a good example of what a grave disservice the media can do the public. Mental health medicine is no different from other medicines. This one treats depression. That's why it's called an                  ""anti"" ""depressant"". What's less well known is that antidepressants usually treat anxiety as well, including panic attacks. Actually, most antidepressants are some of the safest medicines on the market. Zoloft saved my life. It made a dark gloomy depression just disappear. I felt like a huge burden had been lifted off my shoulders.",Anonymous
2,Zoloft,Panic Disorder,10.0,Taken for 1 to 6 months,"March 9, 2022",5,"I have had panic disorder, generalized anxiety disorder, OCD, and depression. I have struggled with anxiety since I was a child. I have been in therapy since I was young, have done CBT and seen my therapist regularly. I have done all of the things that I was supposed to do. Exercise, healthy eating, sunlight, sleep, etc... I developed an intense fear of not sleeping. Literally it consumed all of me. I was insanely depressed because I was mentally exhausted from the anxiety and obsession I developed about sleep. I was able to get through it without medication but it took time and it was very hard. It happened again out of nowhere, nothing triggered me.  That's when I realized I needed medication as I clearly have some time of imbalance in my brain and this isn't my fault nor something I can control. I have been taking 50 mg of Zoloft for 5 weeks now and have improved drastically. I literally have stopped caring about the sleep. Do not give up. Do not let the negative reviews deter you.",Anna
3,Zoloft,Panic Disorder,9.0,Taken for 1 to 6 months,"March 9, 2022",2,"Simply put, this medication saved my life and allowed me to return to my normal self. I was so hesitant about going on medication for my anxiety but I’m so happy I did. The beginning stages as you are getting used to the medication are rough i won’t lie. But once you get past those 2-3 weeks it’s like a breath of fresh air. I was having panic attacks every day all day long, now I can function normally again and love the life I live :)",natalie
4,Zoloft,Panic Disorder,1.0,Taken for 1 to 6 months,"March 2, 2022",0,"NEVER TAKE THIS EVIL DRUG!!!!!!Please believe me I’ve been on over 13 anti depressants in my life (I’m 27) and never had anything as bad as this - 50mg for 3 weeks, throat tightness extreme chest pain couldn’t eat couldn’t sleep bc of crippling whole body rolling panic attacks 60-100 a day nearly got sectioned started hearing voices (never been psychotic) wanting me to hurt me and other people  and tried to stop and had violent vomiting body shakes and LEG AND ARM NERVE PAIN!!!! Awful!!!!!",CamusOshin
5,Zoloft,Panic Disorder,9.0,Taken for 2 to 5 years,"February 27, 2022",2,"I started taking Zoloft about 3 years ago and yes, the first 4 weeks were hard Increased anxiety, insomnia, sweaty hands, headache and nausea, eventually went away, the last one to go was insomnia. After about 6 months we added welbutrin to counteract the procrastination that Zoloft caused. During the period of having the side effects I went back to the Doctor several times and following helped:1) Valium to help ease the initial increase in anxiety2) First Valium to help overcome the insomnia, but did not help, so put on trazodone.3) Going to the gym and having a good 30 minute intense aerobic exercise session (had to take valium first, so anxiety went down and I had motivation to go)Zoloft comes with side effects, if you get them, go back to your Doctor and get meds to ease the side effects. Don't continue to suffer. I came off Zoloft and recently started it again. Made sure I got prescription for Trazadone and Valium. Week 3 and side effects have been well managed",Rob
6,Zoloft,Panic Disorder,9.0,Taken for 6 months to 1 year,"February 23, 2022",5,"I'm on this for anxiety and stress.  I posted a while back, but wanted to check in after about 8 months. Only 50 mg daily. My anxiety  has basically completely subsided. The only continuing side effect that I seem to have is a deep afternoon tiredness, to the point that I have to take a nap nearly every day now.  I still have some depression, and some days I can get pretty dour. My doctor prescribed Wellbutrin to me today. I'll be combining it with my Zoloft to try to offset some of the fatigue and help with the doldrums. If not for the tiredness, I would give zoloft 10 out of 10. It eliminated my anxiety.",judonerd
7,Zoloft,Panic Disorder,1.0,Taken for 2 to 5 years,"February 19, 2022",0,"I was on zoloft for 3 years at 50mg and did well. It started to lose its effectiveness and we raised the dose to 100mg. My life turned into a giant panic attack for weeks. I went to the ER 3x. My vision was blurry, I couldn't stand up straight, I lost 25lbs from nausea and apathy, I was emotionally a zombie, I couldn't smile to my kids,  I developed such a deep depression that I checked myself into inpatient.  Drs tried to stabilize me back at 50mg but the depression wouldn't lift. I have been off it for 2 weeks now.  I'm scared I'll never find my normal again, but I feel so much better than I did on it.  After completing genetic testing, I discovered this drug does not work with my genes.",User
8,Zoloft,Panic Disorder,5.0,Taken for 2 to 5 years,"February 15, 2022",0,"Worked well to quiet my obsessive thoughts and panic attacks but unfortunately the side effects turned out to be worse than my mental disorders. I started having migraines almost immediately, memory loss, scattered thoughts, extremely dry eyes and nightly teeth clenching so bad I had to start wearing a night guard. I actually spent 2 years looking for other reasons with multiple doctors for these ailments but in the end they were all caused by the Zoloft. I finally quit taking it and one by one all these ailments disappeared. I think this is a good drug, it did what it was supposed to do and might work wonders for others, definitely give it a try But if you start having issues like me, don’t suffer for years like I did. Stop taking it and try something else.",Middle age lady
9,Zoloft,Panic Disorder,10.0,Taken for 1 to 2 years,"February 9, 2022",2,"Don’t listen to all the negative comments.   If you have anxiety or panic this is the drug to have.   It takes some time to work maybe 6 to 8 weeks .   I’ve been on this drug over a year and it’s been great.   I have no panic or anxiety.  I’m seeping better then I have in years.  I had some side effects in the beginning, nothing major but they went away in 7 to 10 days.",WH71
