,drug,condition,rating,duration,review_date,upvotes,review,username
0,Gabapentin,Insomnia,4.0,Taken for less than 1 month,"February 27, 2022",0,"Tried for a few days 50-100mg Gabapentin as a low dose add-on to 12.5mg zolpidem for insomnia. I took zolpidem and gabapentin 30 mins before bed. Gabapentin improved deepness and satisfaction of sleep at 100mg, muted quite effectively my daily headaches after meals, but made reaching orgasm completely impossible even at those low doses. I'm a middle aged male and have difficulty reaching orgasm but gabapentin took that to a complete impossibility. The anorgasmic effect is described in the medical literature but I was hoping it won't spill over during the day since gabapentin is alleged to have a short half-life of 7 hours. It's effect on the nervous system seem to last the whole day - I've read somewhere that it boost production of GABA in the brain, in which case the 7 hour half life does not apply.",samueldj
1,Gabapentin,Insomnia,,Taken for less than 1 month,"February 7, 2022",1,"12 years ago my grandpa died and that was a huge trigger for me. I started to have anxiety and later insomnia and depression. I tried many meds and also was addicted and created a tolerance. I have also Bipolar Type 2 and taking Lamotrigine in the morning. Today I begged my doctor to prescribe me GABA after many good reviews here. He said that I will not sleep and was very sceptic :(But I hope it’s not true even if it will need a bit of time to find the right dosing, I will sleep one day. Fingers crossed! Somebody has the same experience? Would be helpful!",Kate390
2,Gabapentin,Insomnia,2.0,Taken for 2 to 5 years,"October 26, 2021",1,"Up to 1200 mg, the most prescribed. Doesn't work alone at all. I take it with 40 MG melatonin and 1 benadryl. I can still be awake all night. To get a sleeping pill is like an act of congress, taking forever.",Annalyn C
3,Gabapentin,Insomnia,9.0,Taken for 1 to 6 months,"October 23, 2021",3,Take one 300mg after dinner and one 300mg before sleep and it gave me the best nights sleep I've had in years.,Tb72
4,Gabapentin,Insomnia,8.0,Taken for less than 1 month,"September 6, 2021",4,I have taken all kinds of sleep meds for my insomnia .So first night 300mg gaba plus 1/4 (7.5mg) zopiclone I slept most of night but fuzzy next day .Since then I did same next night with less fuzzy next day.  It seems to me your body gets used to it and the fuzzy goes away. I find I need a bit of zopiclone to put me to sleep but the gabapentin keeps me asleep.,etype
5,Gabapentin,Insomnia,,,"September 3, 2021",0,"I take 900 mg of Gabapentin at night with other meds due to sleep issues after a traumatic event in 2016 which causes me to be hospitalized for 7 weeks of insomnia. I am so scared to sleep on my own and am followed by a psychiatrist , but I can’t function. Does anyone think that is too much and I think I have to slowly try to detox from it",Aline
6,Gabapentin,Insomnia,9.0,Taken for 1 to 6 months,"August 23, 2021",4,"Tried herbal medications, Z drugs and then Clonazepam for 10 years for severe insomnia. Nothing seemed to work consistently. After reading some studies I asked my doctor to prescribe gabapentin. That together with half dose of Lunesta seems to be doing the trick. Getting good 7 hours of sleep and wake up only once a night. First month or so I experienced severe grogginess which seemed to get better. A good large cup of coffee helps. Still trying to figure out how to get rid of Lunesta completely and just survive on gabapentin.",AB Hat
7,Gabapentin,Insomnia,10.0,,"August 20, 2021",2,"I take 200mg and I just started like last night I awoke refreshed feeling good, I slept all night I have no pain anywhere and I am thankful and this medicine for helping me sleep very soundly at night.",Babygirl
8,Gabapentin,Insomnia,4.0,Taken for less than 1 month,"August 1, 2021",4,"Took one 300mg capsule  for the first time tonight for insomnia and while it helped me fall asleep fast it certainly didn't keep me asleep and I only slept a couple hours at best I awoke several times throughout the night but was able to fall back asleep quickly.  Sleep was deeper, dreams were lucid, slight grogginess after waking. I'd say this medication is no better than Trazadone, Hydroxazine or any OTC sleep aid. Kinda disappointing.",Tom
9,Gabapentin,Insomnia,1.0,Taken for 1 to 2 years,"April 21, 2021",192,"Taking this drug, for me, was taking the tiger by the tail. And I got eaten in the end. Lol, to be less dramatic, I used 300 to 600 mg gabapentin for sleep every night for fourteen months. It worked like a dream and I thought my lifelong debilitating sleep issues were over. No. It stopped working. I sleep even worse ON the drug now than I used to sleep without it. And when I don’t take it, I have complete insomnia—not even a doze all night. I know I could increase my dose and maybe be okay for another six months or another year. But I have to get off of it sometime if it’s just going to stop working periodically. I can’t increase the dose forever. I wonder how long it will take to withdrawal? I wonder if I’ll ever sleep well again? Maybe I’ll update this post or post again when I find out.",Erin
