,drug,condition,rating,duration,review_date,upvotes,review,username
0,Liraglutide,Obesity,10.0,Taken for less than 1 month,"March 21, 2022",4,"Saxenda (liraglutide):I’ve been overweight for about 15 years and yo-yo’d, losing a few pounds and then putting back on. I dread warm weather and not being able to use loads of layers as my ‘comfort blanket’.I reached my heaviest during lockdown and started back on exercise and keto/low carb diet, but after 4 months I wasn’t seeing any results. I started Saxenda on the 0.6 dose. I’m happy to say, I’ve lost 6.2lbs in one week!  The first 3 injections made me feel a little queasy, but I wasn’t too sick. I felt like I needed to rest up. The effects were immediate and it has just turned off cravings and snacking. I just don’t want any rubbish food anymore. It’s quite amazing really. I just haven’t thought about food that much, and I used to plan my day around shopping for food, cooking it and enjoying it! It’s what I need to help me get to a healthy BMI as I approach my mid 40s…",43uk
1,Liraglutide,Obesity,10.0,Taken for 6 months to 1 year,"March 10, 2022",0,"The last time I lost 20 lbs on my own I was following a low carb diet. It took a year, and as soon as I started eating carbs again I gained 40. This has been the pattern all my life. I have lost 30 lbs in 6 months taking saxenda and seeing a dietician. I had some stomach issues in the beginning but they subsided.",Mschatelaine
2,Liraglutide,Obesity,1.0,Taken for 6 months to 1 year,"November 29, 2021",0,"Saxenda (liraglutide):I started taking Saxenda in January 2020 for weight loss.  I gained 30 pounds when I went through menopause. I have a BMI of 34; had all the side effects, nausea, vomiting, severe acid reflux.  Started slowly and every time I advanced my dose the symptoms worsened and then subsided.  I was on Saxenda and never lost any weight.  I had no appetite as I could not eat without getting sick.  I tried taking it in the morning and then at night before bed thinking a different time of day would help.  I achieved no weight loss and lost sleep from the acid reflux.",MLR70
3,Liraglutide,Obesity,1.0,Taken for less than 1 month,"November 3, 2021",1,Saxenda (liraglutide):Nausea and diarrhoea toomuch to bear this drug is awful would definitely not recommend .Dose 0.6mg,Jummy
4,Liraglutide,Obesity,,,"November 2, 2021",3,Saxenda (liraglutide):It is working for me. I eat a low cal diet and it helps remove hunger.,Anonymous
5,Liraglutide,Obesity,1.0,Taken for 1 to 6 months,"November 1, 2021",1,Saxenda (liraglutide):I have been using Saxenda for 2 months and have not lost any weight. I do not find that it lowers my appetite at all. Last year the Doctor had me try Ozempic which was very successful for me for approximately 6 months then it stopped being as effective. Since then I have tried other medications but nothing has worked. My side effects are mostly rapid heart rate and a slight headache but no stomach issues.,EmmaL
6,Liraglutide,Obesity,7.0,Taken for less than 1 month,"October 5, 2021",1,"Saxenda (liraglutide):Today is my 8th day on Saxenda. I have not felt sick so far but my appetite is suppressed a little. Sometimes I get nauseous. Since I increased my dose yesterday today I'm feeling a bit of a headache. Overall I feel a lot lighter, have not lost weight but my body feel lighter than usual. I'll keep on it for 3 months and see how things go. I am not able to exercise yet as my body is quite heavy. I am 121kg I need to lose at least 30kgs and maintain. Overall I am happy with the Saxenda even thou I have not seen any results yet.",Thuli
7,Liraglutide,Obesity,8.0,Taken for less than 1 month,"October 1, 2021",2,Saxenda (liraglutide):Started Saxenda a few weeks ago and I have literally felt like nothing to eat since I started the pen. All my favourite things just don't interest me at all and I couldn't even face the smallest bite. Really weird. Horrible vomiting the other night and constantly nauseated with heartburn too. Popping pills like smarties. Hope this passes in a day or two. Can't continue like this much longer.,Gill
8,Liraglutide,Obesity,8.0,Taken for 1 to 6 months,"September 30, 2021",3,"Saxenda (liraglutide):Expensive, BUT, I lost 16 stone on my own, diet and exercise, over 18 months and put it back on after injury, and after trying to get started again I’m BACK. 50lb down, 35 during saxenda in 10 weeks. Awful taste, terrible constipation and thirst and headaches, BUT no real cravings. And if I want a meal I can have it; I just don’t eat as much. It is worth it if you have tried and failed to lose weight, and if you can cope with the side effects. I’m feeling far more mobile, fairly stable mood wise but you do have to help yourself. I’ll start some light exercise, and I need to eat the right type of food or I don’t lose, but it does work!",Jane
9,Liraglutide,Obesity,10.0,Taken for less than 1 month,"September 28, 2021",8,Saxenda (liraglutide):I started on Saxenda September 1/21. I went for my one month check yesterday and I’m down 14 lbs. I take the minimum dose 0.6. I don’t feel that I need to increase it as I’m happy and content with no cravings. I take my dose at night  half an hour before I go to bed. I’ve never had any kind of side effects from this medication. I make sure that I take a good multivitamin…drink lots of water and follow the daily nutrition guide.  I walk half an hour 5 days a week on my treadmill and I don’t eat anything after 6pm. I’m totally happy with this medication and highly recommended it to anyone who’s been a yo yo dieter like myself.,Gillian
