,drug,condition,rating,duration,review_date,upvotes,review,username
0,Opdivo,Non-Small Cell Lung Cancer,10.0,Taken for 1 to 2 years,"December 7, 2021",4,"My father was diagnosed with stage IV lung and brain cancer back in 2015. He went through chemo and then 2 years of Opdivo. Now, 6 years later, he’s cancer free. How does that even happen? He never complained about any side effects but he also doesn’t share or just doesn’t feel things. I’m sorry for those that had bad experiences with this medication but it seem to be a miracle for others.",E Sprit
1,Opdivo,Non-Small Cell Lung Cancer,1.0,Taken for less than 1 month,"September 23, 2021",0,"Opdivo is a JOKE ! My husband had a heart attack the day of his second treatment and died the following week because he could not undergo surgery due to being so weak. We were not aware of some of the side effects. After his death I owed more to the cancer center than the hospital due to the fact that this immunotherapy drug cost $16,000 per treatment even though medicare and the supplement helped pay. The ONLY ones who benefit from these drugs are the drug makers. I honestly do not know a single cancer patient that immunotherapy has saved.",His Widow
2,Opdivo,Non-Small Cell Lung Cancer,10.0,Taken for 5 to 10 years,"February 13, 2021",7,"My husband, a smoker for 60+years, was diagnosed with nsclc in 2015. After several months of traditional ineffective chemo, his doctor recommended the newly discovered Opdivo. That was late 2015. It is now Feb 2021 and he is still going strong with no/minimal side effects. As I’m sure many fortunate patients can attest, every day is a blessing!",Pat
3,Opdivo,Non-Small Cell Lung Cancer,1.0,Taken for less than 1 month,"May 29, 2020",14,"My husband was told he had 6-8 months to live. He had radiation and chemo and did well. After 14 months, his MRI showed  an increase in size of his tumors. Six weeks before he died we were on a cruise. Four weeks after this his doctor wanted him to try Opdivo. He was dead within 7 days. Please read all you can about these drugs before making a choice.",Fl Shopper
4,Opdivo,Non-Small Cell Lung Cancer,10.0,Taken for 2 to 5 years,"May 24, 2020",7,My mom has stage 4 nslc on year 7. She started Opdivo 4 years ago and at age 74 she’s still going strong. Minimal side effects cancer is almost non existent.,Anonymous
5,Opdivo,Non-Small Cell Lung Cancer,1.0,Taken for 6 months to 1 year,"March 11, 2020",13,My husband had been fighting this horrible disease (NSCLC) for two years. At one point the dr. said he was in remission. But the dr. still wanted him to try opdivo. I honestly believe the opdivo was what finished  him. He had been on the opdivo for 3 months when the dr. said sorry but you have 3 months left and we are not going to continue the opdivo. Basically he said go home and die. Unfortunately he died 2 weeks later.,Broken hearted
6,Opdivo,Non-Small Cell Lung Cancer,10.0,,"July 31, 2019",23,"I had NSCLC. I found out about April of 2018. The hospital I was going to tried radiation and chemo. The cancer had moved to the lymph nodes in my neck. The radiation shrank it some but it came roaring back. My Oncologist started me on Opdivo about October of 2018 and it has been smooth sailing so far. Here it is July 31 2019 and I look forward to maybe only one or two more treatments. My last two PET scans have been good. There is no doubt in my mind that I am alive because of this treatment. I have had some shortness of breath, quite a lot of fatigue, a rash or two, some itching.. Nothing unbearable, just uncomfortable. I am grateful for this technology. Having said that, I quite understand that people who have had negative experiences might even hate it, but how could  I not give myself this chance?",hesees
7,Opdivo,Non-Small Cell Lung Cancer,8.0,Taken for 1 to 6 months,"October 12, 2018",13,"My mom is 78 years old with stage iv lung cancer.  She has had 6 treatments with Opdivo so far; minimal side effects.  She was on Pemetrexed for 2 years, then in remission for almost 18 months.  Her oncologist wanted to try Opdivo.A 93 year old gentleman who comes to the same cancer clinic biweekly, has been on Opdivo for 2 years now for melanoma.  His daughter stated that he has minimal side effects from the medication.",Scarlett
8,Opdivo,Non-Small Cell Lung Cancer,10.0,Taken for 1 to 2 years,"October 7, 2018",24,I started Opdivo in 2010 to 2012 had stage IV lung cancer it is now 2018 and living a normal life.  Thanks for this product it saved my life . In 2010 the life expectancy was only 1 to two years on chemo .,KK
9,Opdivo,Non-Small Cell Lung Cancer,1.0,Taken for less than 1 month,"July 27, 2018",23,My husband had stage 3B NSCLC with a small metastasis on his spine. Oncologist recommended Opdivo. Only had 2 treatments. After the first treatment he ended up in hospital with severe shortness of breath. He passed away a few days after the second treatment as the drug attacked healthy heart muscle. Don’t try this drug!,Hill
