,drug,condition,rating,duration,review_date,upvotes,review,username
0,Botox,Cervical Dystonia,8.0,Taken for 2 to 5 years,"March 18, 2022",0,"I had been getting botox injections for three years for my cervical dystonia, and it helped tremendously but my last three injections caused respiratory failure. I had trouble swallowing, speaking and breathing ,the last time I got injected 2 weeks later I   was asleep, rolled over on my side and as I did I tried to swallow and could not. I couldn't catch my breath, panicked, I was gasping for air, 4 hours I was gasping for air. I thought I was going to die.  That was my last time I got botox injections. Has anyone else experienced these symptoms?  I was getting 12 injections every visit to neurologist ,about 6 vials.  It did help with my twisting neck but now I'm scared to go back. My pain is off the charts, got an appointment with pain management to see if pain pills will help. Has anyone tried pain pills? Do they work?",rex
1,Botox,Cervical Dystonia,7.0,Taken for less than 1 month,"December 2, 2021",0,"Friday 26th Nov I had botox injections all at 300 units  for a focal segmental myoclonus. A neurologist gave me 3 injections in my neck for a twitch to the right, one on the left hand side under the jaw and 2 in the back of the  neck on the right hand side. My neck was very stiff in this area. I also had 3 further injections 1 in the front of the shoulder 1 in the back of the shoulder and one in my side, which felt like in between a rib area. The second three injections were done with the use of the machine. I have read in the reviews that it is better to ask the neurologist to use the machine that reads the electrical activity. Am I right that the neurologist who gave me the first 3 jabs was just trying for pot luck ie not using the machine whilst the other, maybe his second in command did the job correctly?Initially the first night I felt I had an improvement, but since then it has got much worse. Although I can hear you all saying give it time, I was told 10 days. Any recommendations?",unnykop
2,Botox,Cervical Dystonia,1.0,Taken for less than 1 month,"October 29, 2021",0,Just received my first Botox treatment for neck pain 2 days ago.  I'm now in worse pain than before.  I can't bend my head down and can barely turn it.  I'm feeling incredibly discouraged.  This was my last hope...now I'm worse.   Does the initial pain wear off?,KimRN
3,Botox,Cervical Dystonia,1.0,Taken for 1 to 6 months,"September 14, 2021",0,"I had Botox shots for cervical dystonia 6 weeks ago.  Sadly, the spasms have not gotten better and I have developed extremely painful nerve shocks in my neck.  I’m very tired and dizzy and experienced a day of urinary incontinence about 3 weeks after the treatment.  I honestly don’t know if the failure of the treatment and the side effects were because of the Botox or the way it was injected.",Pupper
4,Botox,Cervical Dystonia,,,"July 9, 2021",7,I had Botox injections almost 2 weeks ago for my diagnosis of cervical Dystonia. So far no improvement. Does anyone have pain that radiates into your face .This drives me crazy. Radiates from the jaw area over cheeks toward my eyes and I still have tremor,Jazz
5,Botox,Cervical Dystonia,2.0,Taken for less than 1 month,"June 23, 2021",13,"It's been 15 days since my first treatment and so far I would have to say my movement and tremor symptoms are the same, and the pain and headaches are worse! I know it's early still, but if I had to make a decision today I would NOT get this treatment again.",BrianMat
6,Botox,Cervical Dystonia,3.0,,"June 13, 2021",6,I had the procedure every 4 months for 2 years and it was like magic every time. No more neck pain or dystonia. But my esophagus got paralysed at the last dose so had to get ambulance to ER. No solid food for 4 monthss. So sad to discontinue it. Searching for new treatments.,Jankelsh
7,Botox,Cervical Dystonia,1.0,Taken for 1 to 6 months,"May 22, 2021",0,I received my first Botox injections 4 weeks ago for my Torticollus. I was in pain a few days after but it got better. It was about 85% better & then the last few days my neck has been twitching much worse. Especially during the day which wasn't a problem to begin with. It was the nights where it drove me crazy. Is this common? I only received 200 mgs. My doctor said 300 mgs was the norm. I am so frustrated! I have sent messages to my nurse & she will get back to me. Is this common?,Tinosgrl
8,Botox,Cervical Dystonia,3.0,Taken for 5 to 10 years,"April 20, 2021",1,Treatments don't work any more,Ljhs
9,Botox,Cervical Dystonia,5.0,Taken for 2 to 5 years,"January 4, 2021",4,"I have Cervical Dystonia from a spinal cord compression from a fall 3 years ago. I had an amazing pain management doctor to help me with my diagnosis and began botox as soon as my insurance approved it. I switched to xeomin (not much better) when it comes to post injection side effects. The injections themselves do not hurt but 3 days after the injections the spasms, swelling and pain are unbearable for about 2 weeks. They do help in the long run but the frequency can cause ""injection fatigue"" for those of us who don't tolerate the toxin..",suzilla
10,Botox,Cervical Dystonia,1.0,Taken for less than 1 month,"December 22, 2020",5,"On November 26, 2020 I received Botox injections for cervical dystopia. Two days after injections my head felt like it was to heavy to hold up. My neck, shoulder snd right scapula experienced extreme pain more than I had before. Now 26 days later right side of my neck and shoulder still very sore unable to keep up my normal routine. I will not do this treatment again and hopefully once this stuff wears off this pain will dissipate. Wish it had been a better experience.",JD
11,Botox,Cervical Dystonia,1.0,,"December 9, 2020",1,"I was diagnosed with cervical dystonia in 2009 and started having Botox injections every 3 months, initially I was getting a little relief, I needed a neck fusion a few years ago. Now my life is a nightmare occasionally I get Botox injections out of desperation but for me they’re only making me worse. Works for some, not me.",Arden
12,Botox,Cervical Dystonia,9.0,Taken for 10 years or more,"November 14, 2020",2,"I have had cervical dystonia for 28 years. Initially the pain in my head was so bad I was hospitalized.  But after getting botox, for the most part it is ok.  The key in my experience has been the quality of the neurologist administering it.  I have had many.  Mapping is essential. But then it necessary to know exactly where in the mapped muscle to inject. A well trained doctor can do this by feel.  Others resort to EMG machines, which adds unnecessary pain. Many just guess and shoot.  Botox is too dangerous and expensive to use haphazardly.  It is a terrific remedy when done properly. I get 400 units every 3 1/2 months. But I just lost my excellent neurologist to Covid and the new one has no sense of where to inject. I supplement with massage therapy which helps my neck and back, but not head pain.  Drugs did nothing or had horrendous side affects.  Thinking of trying LLLT (cold laser).  Anyone have experience with this?",catlet1066
13,Botox,Cervical Dystonia,1.0,Taken for less than 1 month,"June 8, 2020",12,"I had my first round of neck botox injections around 10 days. I had moderate neck and shoulder pain for months. The doctor which I saw recommend botox without mentioning anything about side effects. Now my neck is too stiff with limited mobility. Also, I am experiencing swallowing difficulties occasionally. Overall, my neck feels weak all the time. My doctor is now suggesting physiotherapy with hot/ice packs everyday. I hope this disappears fast and not in months. I am done with botex for good.",Mojo
14,Botox,Cervical Dystonia,1.0,Taken for less than 1 month,"May 28, 2020",7,I had botox injections into my neck supposedly to help cervical dystonia and I have found no difference at all.,Nicky
15,Botox,Cervical Dystonia,6.0,Taken for 1 to 6 months,"January 15, 2020",15,"I am a 54 year old female and was diagnosed with cervical dystonia in May 2019.  I’ve had Botox injections twice, and my 3rd set today.  The previous ones didn’t do much so hoping these ones will.  I also am going to physio.  The tremors are getting worse and becoming embarrassing.  Especially at work.  Praying  these injections work finally.  ",Nipper
16,Botox,Cervical Dystonia,,,"January 9, 2020",9,"I am advised to take these  Botox injections, but undecided at present.  Want to hear comments of those who received botox for cervical dystonia",Lucy
