,drug,condition,rating,duration,review_date,upvotes,review,username
0,VESIcare,Urinary Incontinence,2.0,Taken for 1 to 2 years,"October 29, 2021",1,I have Urge incontinence and this does not seem to work at all only change is sharpens my stream of urine.,Arcal
1,VESIcare,Urinary Incontinence,10.0,Taken for 2 to 5 years,"April 7, 2021",4,"I have been using Vasicare 10mg for more than 3 years. They helped me a lot, I live with them without worries. Before that I tried various pills and none of them helped me like these. I don't have any side effects. Urination problems when laughing I have had my whole life though they help me I hope I won't need to use them my whole life.",Lili99
2,VESIcare,Urinary Incontinence,2.0,,"December 31, 2020",1,"This drug VESIcare gave me uncontrollable diarrhea. It really affected my quality of life. I couldn’t walk my dogs without suddenly feeling like I needed to use the bathroom. Same with grocery shopping. It’s like the more I walked, the more I needed to use the bathroom. I did not find this drug at being very effective with urinary incontinence either.",Evelette
3,VESIcare,Urinary Incontinence,1.0,,"August 9, 2020",20,"Just started taking Vesicare for Light Incontinence and it does not help.  Have urges to pee all night, and cannot get to sleep at all. I start to rest really well and then before I get to sleep I have to pee again. I cut back on liquids at night, but vesicare is making all symptoms worse. I cannot do this one more night.  This will be last night I take it.  Its 1:20 in the morning and not being able to sleep again. I will just have to stop it as I need rest.",Susie
4,VESIcare,Urinary Incontinence,8.0,Taken for 2 to 5 years,"April 29, 2020",12,I've been using Vesicare for years and just started having  trouble holding my urine.  My doctor has increased the dosage. I hope this helps. It's very humiliating to wear disposable underwear.,Cat Lady
5,VESIcare,Urinary Incontinence,1.0,Taken for 1 to 6 months,"January 24, 2020",18,My incontinence has returned since taking generic for Vesicare.,Randy
6,VESIcare,Urinary Incontinence,9.0,Taken for 1 to 2 years,"October 13, 2019",54,Just want to add my experience into the mix. I started having leakage when I sneezed and that sort and then the urge incontinence where I would pee myself before I could make it to the bathroom. ALL that changed with Vesicare. It is a miracle. Dry underwear !! YAY ! The only downfall is that my vision is SO blurry. I am using eye drops like crazy and my eye doctor says he does not think its the Vesicare but what else ?? SO I am going off Vesicare for awhile and see if my vision improves. Will update.,MA
7,VESIcare,Urinary Incontinence,8.0,Taken for 1 to 6 months,"February 12, 2019",25,"I was put on Vesicare after experiencing urinary incontinence while running. To the point that I could not hold it in before I got home. I also loss my urine during sex and was starting to have to rush to the bathroom within 2 minutes of feeling the need to go. Vesicare worked great! I go half as often, can wait up to 45 minutes before finding a toilet and can run home free! However, the side effects are horrible. Feeling bloated, constipated and feeling like I drank an ocean of salt water - all the time, day and night. Nothing could relieve this. I tried everything from laxatives to curcuma to fibre and water to changing my diet. The pharmacist said that was to be expected. But it was too much for me so I quit the meds. Two days later, side effects are still in full swing but all my symptoms are back! Quite discouraging. I am a fit person, 46, no kids and sexually active. If this medication had less severe side effects I would give it a 10.",46fitnokids
8,VESIcare,Urinary Incontinence,4.0,Taken for 1 to 6 months,"October 7, 2018",16,Vesicare seems to help better than Mybetric but I cant take the side effects. I have a constant sore throat and bronchitis like symptoms.,Sam
9,VESIcare,Urinary Incontinence,1.0,,"May 9, 2018",28,"I want to give this a 0).  Vesicare worked amazing for first few days - my bladder felt ""strong"" and pelvic floor exercises were actually fun and easy to do (my bladder seemed to want me to do them).  However, after only a week drug stopped working, at all.  Gave it 6-7 good months trial period, put on 5-6kgs excess weight without explanation.  Product also gave me severe headaches, dry mouth and was useless.  After going off of it I lost the weight without any change to diet in about 3 months (thank Gaawwwwdddd).   Too scared to get Bladder sling, still thinking about that one.  No other options now other than to go wee wee all the way home in my Icon undies and use a pad when peeing myself really cannot be tolerated any longer.  I am in a safe/normal weight range, healthy and fit;  humiliating.",DFM
10,VESIcare,Urinary Incontinence,10.0,,"January 18, 2018",14,"After years of bladder leakage I have finally found a new lease on life thanks to vesicare. I feel like a different woman and the side effects have been minimal, dry mouth and slight dizziness....",Fifer68
11,VESIcare,Urinary Incontinence,,Taken for 5 to 10 years,"December 2, 2017",16,"I have used Vesicare for over nine years. Only recently did it become ineffective. Also, I have glaucoma, and my eye doctor said I was just fine to use it. I had no side effects, maybe a tiny bit of vision blurriness, but nothing significant and my eyes adjusted; I also attributed it to the glaucoma and cataracts which have since been removed. Within the last few months (after nine years) I have had several accidents which I attribute to stressful situations. My doctor has decided I need to try another drug (I am SO anti drugs!) that he feels will be more effective. He gave me a week's samples. I will try tomorrow.Yes, Vesicare used to be $45 a month; now, it's $135. The new drug -$140 . I am blessed to afford it. So worth it.",#1grammy
12,VESIcare,Urinary Incontinence,7.0,Taken for 6 months to 1 year,"October 9, 2017",11,"Do not take if you have high blood pressure. It shot mine through the roof....215/135. Please monitor your BP. Other then that, it did help the urinary incontinence when I stand up. I did not leak  very much at all. The headaches associated with the increase blood pressure were unbearable. The dryness in my sinuses was annoying but manageable.",Peppercorns
