,drug,condition,rating,duration,review_date,upvotes,review,username
0,Advair Diskus,Asthma Maintenance,10.0,Taken for 1 to 2 years,"August 25, 2021",0,"I used Advair, back in 2001 & 2002, and then weanes off, and relied on Albuterol up until this year again, until it was too frequent. So, then Flovent, (hated the side effects); so was approved finally for Advair 250/50 twice a day.RE: Thrush I am always rinsing/swishing thoroughly after each use with water, and gargling! 4-5x really not a big deal.Also, use a pH balanced mouthwash called: **Smart Mouth Clinical DDS ** NEVER had thrush issues!If/when I have had any vocal rasp, it it temporary, and goes away within a short time.Hope this helps someone! I am so active, and while corticosteroids have their flaws, it has given me back my freedom :)",Julie
1,Advair Diskus,Asthma Maintenance,8.0,Taken for 1 to 6 months,"March 16, 2021",13,"It definitely helped me to breathe better, but puts me at risk for thrush. Once in a while I get thrush in the throat, which is annoying and I have to stop using Advair for a few days, and I struggle to breathe again about two days later. Clears up pretty quick. It’s a good idea to eat yogurt after rinsing your mouth, so now I eat yogurt all the time.",Alex
2,Advair Diskus,Asthma Maintenance,1.0,,"February 22, 2021",3,"I left the office with my mom and tried it and immediately felt like I had ingested the smoke of 20 cigarettes (I'm super-square, I've had one inhalation of a cigarette in my life), making my chest feel constricted. She said to try it for a few days; I did and felt progressively worse. She also has mild asthma, so she tried it and also felt awful. We went back to the doctor pronto. He told us we were wrong, that Advair was in fact helping me and that I should keep using it. ""Can I just have another prescription for my  Proventil inhaler?"" ""As your doctor, I really think Advair is better for you"". I trashed the Advair inhaler/Disk and found another doctor who happily gave me my appropriate prescription for Proventil. I'm so glad I didn't have real health repercussions. Gross. Again, every other encounter I've had with a medical professional has been entirely on the up & up, brimming with care and knowledge.",s.gordon
3,Advair Diskus,Asthma Maintenance,6.0,Taken for 1 to 2 years,"February 22, 2021",7,"Used it for years successfully, then one day l started wheezing and getting worse every time I used it. Apparently, I had become allergic to the fluticasone in it. Not fun.",Mel
4,Advair Diskus,Asthma Maintenance,7.0,Taken for 2 to 5 years,"May 14, 2020",9,I’ve been using advair for 5 years works great for asthma first time asthma felt controlled but side effects of a tight throat and change in voice is concerning. Now I had to stop this medicine as throat issues have become worse the occasional sore throat is now at least once a week and my throat feels like it’s working so hard like the muscles in the neck are actually sore from the tightness. Not really sure what is happening and not sure what to do with an asthma prevention alternative now.  Also had a major asthma attack and took about a month to recover so if your throat starts feeling funny and you voice box and larynx feels sore beware and talk to your doctor it just came on so fast,Life time asthma person
5,Advair Diskus,Asthma Maintenance,9.0,Taken for 1 to 6 months,"March 1, 2020",6,"I had a really bad asthma flare up recently. Albuterol by itself was not cutting it. Since starting this daily medication, I've found that I don't need the Albuterol as much. It took some time for the complete benefits but, I'm satisfied!",C Scott
6,Advair Diskus,Asthma Maintenance,2.0,Taken for 10 years or more,"December 1, 2019",44,"I have used this medication for about 20 years give or take a year or so. It works, I guess, though I am finding out, more and more it is contraindicated with many meds I take. The price is ABSOLUTELY RIDICULOUS! Most especially for seniors on Medicare Part D where, when in the donut hole, or at the beginning of the year, are expect to pay WAY over 300.00! WHO has that kind of money at the first of the year when they are 70, disabled and on  Social Security (unless have a very high income)? This diskus w/ meds and equipment  amounts to a plastic disk and 60 little packets of power that can't be an eighth tsp of medication probably costs GSK a whopping 10 cents! RIDICULOUS and just WRONG!!",WenInOh
7,Advair Diskus,Asthma Maintenance,9.0,Taken for less than 1 month,"November 14, 2019",13,"I'm a 48 years old - never had asthma. Multiple respiratory infections left me wheezing daily. Doc prescribed Albuterol  plus Advair. I was scared to start meds and didn't for a few weeks. Wheezing got bad enough I went back to doc., talked about concerns, and they explained importance of use. I started it in the office 3 weeks ago- I feel so much better now. I didn't realize how bad my breathing was. I haven't needed the Albuterol since. (knocking on wood!) Side effects for me= nervousness for ~hour after use; intermittent mild throat irritation; increased # of heart palpitations (have had for years). I wish I would have started it sooner.",lady m
8,Advair Diskus,Asthma Maintenance,3.0,Taken for less than 1 month,"July 18, 2019",11,My asthma condition got worse after being changed to Advair.  Cough and breathing got worse.,Deb
9,Advair Diskus,Asthma Maintenance,9.0,Taken for 10 years or more,"July 17, 2019",13,"I have suffered with asthma my entire life so I am familiar with many drugs used to treat this disease.  Advair was prescribed to me 30 years ago and I have loved it from the beginning.  I no longer had to suffer with the jitters and hyper behavior, like ALL of my prior medications.  I take this daily/as prescribed and have no complaints or awful side effects.  Sometimes my breath smells bad as a result but I can breathe so I can't really complain.  Thank you-now if only I could get my insurance provider to cover it.",Anonymous
